audit_id,layer,record_type,metric,value,value_text,currency,period,geography_or_endpoint,source_receipt_ids,exact_locator,status,semantic_conflict_id,allowed_claim,prohibited_inference,review_status,package_scope,frontend_status,central_writeback,notes
W2B2-FA001,award,award_overview,total_obligation,72000000,"USD 72,000,000",USD,2023-09-30/2028-09-29,"DoD/WHS -> United Service Organizations, Inc.",W2B2-SR006,$.total_obligation; $.recipient,official_award_level,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,The award-level cumulative obligation is USD 72 million to the national prime recipient.,"Do not call it cash paid, expenditure, Indo-Pacific allocation or USO Okinawa funding.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-FA002,award,place_of_performance,place_of_performance,,United States / MULTI-STATE,,award overview current,USA/MULTI-STATE,W2B2-SR006,$.place_of_performance,official_award_level,,The public award record codes place of performance as U.S. multi-state.,This field neither proves nor disproves overseas use within USO's internal program operations.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FA003,award,assistance_listing,applicant_and_beneficiary_eligibility,,generic organization eligibility; no award-specific geography,,current catalog text,Assistance Listing 12.599,W2B2-SR006,$.cfda_info[0].applicant_eligibility and beneficiary_eligibility,official_generic_program_field,,"The catalog text supplies generic applicant/beneficiary categories, not a Japan/Okinawa allocation rule.",Do not convert generic eligibility into an overseas eligible-geography finding.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FA004,transaction_history,award_action,federal_action_obligation,24000000,"USD 24,000,000",USD,2023-07-14,"USO, Inc.; modification 0",W2B2-SR007,$.results[action_date=2023-07-14],official_transaction_history,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,"The transaction history reports a new action of USD 24,000,000.","Do not infer action-level geography, cash outlay or Okinawa share.",ai_seeded,research_only,not_frontend_ready,no,program services description
W2B2-FA005,transaction_history,award_action,federal_action_obligation,0,USD 0,USD,2024-02-13,"USO, Inc.; modification P00001",W2B2-SR007,$.results[action_date=2024-02-13],official_transaction_history,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,The transaction history reports a revision action of USD 0.,"Do not infer action-level geography, cash outlay or Okinawa share.",ai_seeded,research_only,not_frontend_ready,no,zero-dollar revision
W2B2-FA006,transaction_history,award_action,federal_action_obligation,0,USD 0,USD,2024-05-28,"USO, Inc.; modification P00002",W2B2-SR007,$.results[action_date=2024-05-28],official_transaction_history,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,The transaction history reports a revision action of USD 0.,"Do not infer action-level geography, cash outlay or Okinawa share.",ai_seeded,research_only,not_frontend_ready,no,zero-dollar revision
W2B2-FA007,transaction_history,award_action,federal_action_obligation,24000000,"USD 24,000,000",USD,2024-07-26,"USO, Inc.; modification P00003",W2B2-SR007,$.results[action_date=2024-07-26],official_transaction_history,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,"The transaction history reports a continuation action of USD 24,000,000.","Do not infer action-level geography, cash outlay or Okinawa share.",ai_seeded,research_only,not_frontend_ready,no,exercises option one
W2B2-FA008,transaction_history,award_action,federal_action_obligation,24000000,"USD 24,000,000",USD,2025-07-31,"USO, Inc.; modification P00004",W2B2-SR007,$.results[action_date=2025-07-31],official_transaction_history,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,"The transaction history reports a continuation action of USD 24,000,000.","Do not infer action-level geography, cash outlay or Okinawa share.",ai_seeded,research_only,not_frontend_ready,no,USO support to members of the military
W2B2-FA009,federal_account_reporting,funding_rollup,total_transaction_obligated_amount,41212463.29,"USD 41,212,463.29",USD,reporting records through FY2024 in retrieved endpoint,same award; one funding/awarding agency and one federal account,W2B2-SR026;W2B2-SR029,JSON root,official_same_award_account_reporting_view,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,"For the same award, the account-linked reporting view reports USD 41.21246329m in transaction obligations for its reporting perimeter.","Do not relabel this as a second award, the award total, cash paid, a downstream funding stage or an amount available to Okinawa.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-FA010,federal_account_reporting,account_listing,account_linked_obligation,41212463.29,"USD 41,212,463.29",USD,retrieved current,"same award; 097-0100 Operation and Maintenance, Defense-Wide, Defense",W2B2-SR027;W2B2-SR030,$.results[0],official_same_award_account_linked_record,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,The parallel account-reporting view associates the same award with federal account 097-0100.,"Do not infer a separate award, a sequential money-flow stage or a geographic program allocation.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-FA011,federal_account_reporting,periodic_funding_record,transaction_obligated_amount,24000000,"USD 24,000,000",USD,2023/FY month 12,097-0100; object class 41.0; program activity 0004,W2B2-SR025;W2B2-SR028,$.results[2023/FY month 12; transaction_obligated_amount],official_periodic_account_record,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,This is one typed periodic account-reporting record.,Do not sum gross-outlay snapshots across periods or equate periodic account records with transaction-history actions.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FA012,federal_account_reporting,periodic_funding_record,gross_outlay_amount,7611993.84,"USD 7,611,993.84",USD,2024/FY month 6,097-0100; object class 41.0; program activity 0004,W2B2-SR025;W2B2-SR028,$.results[2024/FY month 6; gross_outlay_amount],official_periodic_account_record,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,This is one typed periodic account-reporting record.,Do not sum gross-outlay snapshots across periods or equate periodic account records with transaction-history actions.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FA013,federal_account_reporting,periodic_funding_record,gross_outlay_amount,6787536.71,"USD 6,787,536.71",USD,2024/FY month 9,097-0100; object class 41.0; program activity 0004,W2B2-SR025;W2B2-SR028,$.results[2024/FY month 9; gross_outlay_amount],official_periodic_account_record,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,This is one typed periodic account-reporting record.,Do not sum gross-outlay snapshots across periods or equate periodic account records with transaction-history actions.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FA014,federal_account_reporting,periodic_funding_record,transaction_obligated_amount,-6787536.71,"USD -6,787,536.71",USD,2024/FY month 9,097-0100; object class 41.0; program activity 0004,W2B2-SR025;W2B2-SR028,$.results[2024/FY month 9; transaction_obligated_amount],official_periodic_account_record,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,This is one typed periodic account-reporting record.,Do not sum gross-outlay snapshots across periods or equate periodic account records with transaction-history actions.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FA015,federal_account_reporting,periodic_funding_record,transaction_obligated_amount,24000000,"USD 24,000,000",USD,2024/FY month 12,097-0100; object class 41.0; program activity 0004,W2B2-SR025;W2B2-SR028,$.results[2024/FY month 12; transaction_obligated_amount],official_periodic_account_record,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,This is one typed periodic account-reporting record.,Do not sum gross-outlay snapshots across periods or equate periodic account records with transaction-history actions.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FA016,subaward,award_overview,subaward_count,0,0,count,retrieved current,prime award,W2B2-SR006,$.subaward_count,bounded_official_zero,,The award overview reports zero subawards.,"Zero public subawards does not mean zero internal allocation, procurement, reimbursement or interoffice transfer.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-FA017,subaward,bounded_search,matching_subaward_rows,0,0,rows,2023-01-01/2026-12-31,FAIN HQ00342310002,W2B2-SR008,$.results,bounded_search_empty,,The saved bounded search returned no public subaward rows.,Do not generalize the empty result beyond this public subaward data route and period.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-FA018,regional_allocation,negative_allocation_result,Japan_IndoPacific_Okinawa_allocation,,not disclosed in inspected award/transaction/account/subaward fields,,award period and current records,Indo-Pacific / Japan / Okinawa,W2B2-SR006;W2B2-SR007;W2B2-SR008;W2B2-SR025;W2B2-SR026;W2B2-SR027,Cross-endpoint audit,allocation_layer_missing,USO_SAME_AWARD_PARALLEL_REPORTING_VIEWS_72M_41_21246329M,"The public award chain closes at USO, Inc. and does not disclose a regional or Okinawa amount.","Do not estimate a local share by centers, population, uses or equal division.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-FA019,award,period_of_performance,performance_period,,2023-09-30 to 2028-09-29,date_range,2023-09-30/2028-09-29,national prime award,W2B2-SR006,$.period_of_performance,official_award_level,,The award record gives a five-year performance period.,Do not call the USD 72 million an annual budget.,ai_seeded,research_only,not_frontend_ready,no,
