receipt_id,publisher,title,source_family,url,retrieved_at,artifact_path,sha256,mime_type,exact_locator,supports_row_ids,archive_status,notes,review_status,package_scope,frontend_status,central_writeback
W2B2-SR001,United Service Organizations,2024 Global Impact Report,official_impact_report,https://myimpact.uso.org/wp-content/uploads/sites/95/2025/08/USO-Impact-Report.pdf,2026-08-22T09:00:00Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/uso_2024_global_impact_report.pdf,94496574e12fc77c3fdc62058f98ab46deb0e868075ac1f2fa39a7431daa581b,application/pdf,pp.12-14 impact counts; pp.26-27 Indo-Pacific narrative,W2B2-HS001;W2B2-SC005;W2B2-SC006;W2B2-SC007,reused_w2_00_frozen,Research receipt only; it does not create a central source ID or approve a central relation.,ai_seeded,research_only,not_frontend_ready,no
W2B2-SR002,United Service Organizations,USO Okinawa homepage and current directory,official_website,https://okinawa.uso.org/,2026-08-22T09:00:00Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/uso_okinawa_homepage.html,0ffbc5e4c629afffb9e841e6cbdc6cabf1eb4cebf4a1ea5c24488db373647ca3,text/html,"Locations, Programs and Sponsors sections",W2B2-HS004;W2B2-HS005;W2B2-HS006;W2B2-HS007;W2B2-HS008;W2B2-HS009;W2B2-HS010;W2B2-HS011;W2B2-HS012;W2B2-SC008;W2B2-SP001;W2B2-SP002;W2B2-SP003;W2B2-SP004;W2B2-SP005;W2B2-SP006,reused_w2_00_frozen,Research receipt only; it does not create a central source ID or approve a central relation.,ai_seeded,research_only,not_frontend_ready,no
W2B2-SR003,United Service Organizations,Volunteer Spotlight: USO Okinawa,official_website,https://pacific.uso.org/stories/800,2026-08-22T09:00:00Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/uso_pacific_volunteer_spotlight_okinawa.html,67c6f953d34844f08eea14e608e4c7e7fa999e1964c5d8bdbc0c65b3758506e1,text/html,Published 2025-04-24; paragraph beginning 'The USO Okinawa team',W2B2-HS004;W2B2-SC001;W2B2-SC002;W2B2-SC003,reused_w2_00_frozen,Research receipt only; it does not create a central source ID or approve a central relation.,ai_seeded,research_only,not_frontend_ready,no
W2B2-SR004,United Service Organizations,"Scott P. Maskery, Regional Vice President",official_website,https://pacific.uso.org/about/scott-p-maskery-regional-vice-president,2026-08-22T09:00:00Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/uso_pacific_regional_vp.html,72f42d9b71564a4e8d82ec3206bb4c51a416e3c540715427bb8aa0ab5f2f6042,text/html,First biography paragraph,W2B2-HS002,reused_w2_00_frozen,Research receipt only; it does not create a central source ID or approve a central relation.,ai_seeded,research_only,not_frontend_ready,no
W2B2-SR005,United Service Organizations,USO Japan homepage and location directory,official_website,https://japan.uso.org/,2026-08-22T09:00:00Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/uso_japan_homepage.html,19a784265df99f9e1abdc6e9d0fd3f50256cc0f2ab9bc2efc731ab53c3b8d48b,text/html,"Site title, locations and Japan Area Office",W2B2-HS003,reused_w2_00_frozen,Research receipt only; it does not create a central source ID or approve a central relation.,ai_seeded,research_only,not_frontend_ready,no
W2B2-SR006,USAspending.gov,Award overview API: ASST_NON_HQ00342310002_097,official_federal_award_api,https://api.usaspending.gov/api/v2/awards/ASST_NON_HQ00342310002_097/,2026-08-22T09:00:00Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/usaspending_award_overview.json,0fb07fc3ffcfad1720c4158293718da4ac74c4d5848bbda15c990e46686024d1,application/json,"JSON root: total_obligation, period_of_performance, recipient, place_of_performance, cfda_info",W2B2-FA001;W2B2-FA002;W2B2-FA003;W2B2-FA018;W2B2-FA019;W2B2-WF001,reused_w2_00_frozen,Research receipt only; it does not create a central source ID or approve a central relation.,ai_seeded,research_only,not_frontend_ready,no
W2B2-SR007,USAspending.gov,Award transaction history API response,official_federal_award_api,https://api.usaspending.gov/api/v2/transactions/,2026-08-22T09:00:00Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/usaspending_transactions_response.json,a59509475f7c0663024ec2321940b2b5463f6418761ef4c664fda018026dc21a,application/json,"$.results, five award actions",W2B2-FA004;W2B2-FA005;W2B2-FA006;W2B2-FA007;W2B2-FA008,reused_w2_00_frozen,Research receipt only; it does not create a central source ID or approve a central relation.,ai_seeded,research_only,not_frontend_ready,no
W2B2-SR008,USAspending.gov,Bounded subaward search for FAIN HQ00342310002,official_federal_award_api,https://api.usaspending.gov/api/v2/search/spending_by_award/,2026-08-22T09:00:00Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/usaspending_subawards_response.json,dfba40606c2c13eb717076624daa9b62107b189d753e76813d33ee626d6188a6,application/json,$.results and $.page_metadata,W2B2-FA016;W2B2-FA017,reused_w2_00_frozen,Research receipt only; it does not create a central source ID or approve a central relation.,ai_seeded,research_only,not_frontend_ready,no
W2B2-SR009,United Service Organizations,USO Okinawa Recognizes Service Members of the Year,official_website,https://okinawa.uso.org/stories/123,2026-08-22T09:00:00Z,outputs/us_presence_network_wave2_w2_b_v1/artifacts/uso_okinawa_story_2021_service_salute.html,edfde2b9d7c409015d138e3d252e782205620b7d2387dedee6fb3104787bfa64,text/html,Paragraph naming seven Okinawa locations and ten outreach sites; event identifies 2021 honorees,W2B2-HS013;W2B2-HS014,local_frozen_research_only,Research receipt only; it does not create a central source ID or approve a central relation.,ai_seeded,research_only,not_frontend_ready,no
W2B2-SR010,United Service Organizations,Here For Those Who Serve: How USO Okinawa Centers Are Uplifting Units Across The Island,official_website,https://pacific.uso.org/stories/1097,2026-08-22T09:00:00Z,outputs/us_presence_network_wave2_w2_b_v1/artifacts/uso_pacific_story_center_service_examples.html,ca213578ab7559687ca0bb240699b82d7ccff6eccbf1641cc38297c7951f2356,text/html,Published 2025-07-10; six center subsections,W2B2-SC009;W2B2-SC010;W2B2-SC011;W2B2-SC012;W2B2-SC013;W2B2-SC014;W2B2-FB006,local_frozen_research_only,Research receipt only; it does not create a central source ID or approve a central relation.,ai_seeded,research_only,not_frontend_ready,no
