rule_id,jurisdiction,official_authority,official_url,accessed_on,rule_or_entry,verified_operational_meaning,design_consequence,boundary,status
IDP-R001,US,US Department of Justice Office of Information Policy,https://www.justice.gov/oip/make-foia-request-doj,2026-08-22,"Typical/all-other requester: first two search hours and first 100 copied pages; fee estimate and narrowing process; fee waiver public-interest test","The ordinary noncommercial fallback is not the same as educational/scientific status.","Use actual requester category; state a fee cap and ask for an estimate before work beyond the cap.","Do not assert that any project member automatically qualifies for a waiver.",official_rule_checked
IDP-R002,US,US Department of Justice Office of Information Policy,https://www.justice.gov/oip/template-agency-foia-regulations,2026-08-22,"Educational/noncommercial scientific/news-media requesters pay duplication beyond first 100 pages and are not charged search fees; all-other requesters receive first two hours search plus first 100 pages duplication","Fee categories depend on requester identity and purpose; fee waiver is separate.","Do not label a company or unaffiliated individual educational/scientific merely because the subject is research.","This is DOJ rulemaking guidance; live component handling may require proof and category confirmation.",official_rule_checked
IDP-R003,US,WHS OSW/JS FOIA Requester Service Center,https://www.esd.whs.mil/FOID/Submit-Request/,2026-08-22,"Electronic submission preferred; mail/fax alternatives; full contact details, record description and maximum fee required; waiver points to 32 CFR 286.28(d)","WHS is a viable initial route for records in OSW/JS control, including its own award-management records.","Ask for referral or custody notice if responsive material lies with another component.","WHS does not process all DoD records.",official_rule_checked
IDP-R004,US,WHS OSW/JS FOIA Requester Service Center,https://www.esd.whs.mil/FOID/FOIA-FAQs/,2026-08-22,"Advance payment may be sought for assessable fees above USD 250 from requesters without established payment history; electronic or mail submission","A USD 50 cap with consultation/narrowing instruction is a low-risk initial setting.","Do not claim a component-wide zero-fee threshold from this page.","Fee estimate is not a refusal or a substantive record result.",official_rule_checked
IDP-R005,US,Headquarters US Marine Corps FOIA,https://www.foia.marines.mil/Instructions/,2026-08-22,"Direct request to command that generated/maintains records where known; require identity/contact, specific description, fee willingness and waiver basis if applicable","MCIPAC micro-request should name the installation/custodian and one fiscal period, rather than seek a generic global MCCS account.","Use real-time command routing and preserve the selected route.","The exact portal state may change; verify before sending.",official_rule_checked
IDP-R006,US,Department of the Air Force FOIA Public Access Link,https://efoia.cce.af.mil/app/Home.aspx,2026-08-22,"PAL is for FOIA requests where Air Force owns the record; registration and status functions shown","USAF has a usable official electronic entry if later evidence points to an Air Force custodian.","It is not a fallback for WHS or MCIPAC records without a custody basis.","No USAF request is designed or sent in this pilot.",official_rule_checked
IDP-R007,Japan,防衛省,https://www.mod.go.jp/j/presiding/joho/index.html,2026-08-22,"Anyone may request; local-defense-bureau records are addressed to the relevant bureau head; no telephone/fax/email filing; request count generally follows document/custodian/year; fee JPY300 per administrative document","Japan pilot must be one fiscal year and one confirmed custodian/document first.","Pre-filing consultation is not a formal request.","Electronic delivery is not promised merely because a record is electronic.",official_rule_checked
IDP-R008,Japan,防衛省,https://www.mod.go.jp/j/presiding/joho/q_a.html,2026-08-22,"Request form with JPY300 revenue stamp per item; counter or postal filing; written decision ordinarily within 30 days, extendable; partial non-disclosure categories listed","Save the formal decision, extension, correction request and stated non-disclosure basis as separate procedural records.","A denial/partial disclosure records the response of this process, not the real-world absence of expenditure.","The page is Defense Ministry procedure; custodian-specific outcomes remain unknown.",official_rule_checked
IDP-R009,Japan,沖縄防衛局,https://www.mod.go.jp/rdb/okinawa/procedure/disclosure/index.html,2026-08-22,"Provides Okinawa form, example, e-Gov file-management-register link, information-disclosure desk, phone and address","Use the bureau desk only to identify custodian, exact title, count and copying route before a paper/counter request.","Request is addressed to 沖縄防衛局長 for its held documents.","Phone call cannot substitute for formal filing.",official_rule_checked
IDP-R010,Japan,e-Gov 法令検索,https://laws.e-gov.go.jp/law/411AC0000000042/,2026-08-22,"Administrative Information Disclosure Act official law text and downloadable formats","The law is the governing statutory basis; MOD pages operationalize its intake and fee rules.","Retain electronic-record wording separately from mode of submitting a request.","Do not infer a duty to create new compilations from the right to request held records.",official_rule_checked
