entity_id_or_provisional,entity_name,entity_category,places,F_GW_count,F_AUT_count,F_FTE_count,F_LIFE_count,F_ENV_count,safe_fact_count,fact_ids,interpretation_limit
PROV_R4_611_EXECUTIVE_COMMITTEE,「宮古島いのちの水を守ろう！ 6・11自衛隊配備を止める市民集会」実行委員会,provisional_entity,Miyako,1,0,0,0,0,1,R4E001,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
GOV_MIYAKO_CITY,宮古島市,external_institution,Miyako,1,0,1,0,0,2,R4E006;R4E007,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
PROV_COUNCILOR_KUGAI_MINAKO,宮古島市議会議員 久貝美奈子,provisional_entity,Miyako,0,1,1,0,0,2,R4E008;R4E009A,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
GOV_MIYAKO_CITY_ADMIN,宮古島市行政（総務部長 上地俊暢答弁）,external_institution,Miyako,0,0,1,0,0,1,R4E009B,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
GOV_ISHIGAKI_CITY,石垣市,external_institution,Ishigaki,0,1,1,0,0,2,R4E012;R4E013,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
LEG_ISHIGAKI_COUNCIL,石垣市議会,external_institution,Ishigaki,0,1,0,1,0,2,R4E014;R4E015,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
EVENT_R4S015_ANONYMOUS_COMMENT_UNITS,2024-08-02 伊原間意见交换会匿名意见主题块,provisional_entity,Ishigaki,0,1,1,0,0,2,R4E016;R4E017,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
A014,住民投票を成功させるための実行委員会,registry_actor,Yonaguni,0,1,0,0,0,1,R4E018,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
A016,与那国島の明るい未来を願うイソバの会,registry_actor,Yonaguni,0,0,1,0,0,1,R4E021,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
GOV_YONAGUNI_TOWN,与那国町,external_institution,Yonaguni,0,0,1,0,0,1,R4E022,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
MOD_JAPAN,防衛省・陸上自衛隊,external_institution,Yonaguni,0,0,1,0,0,1,R4E023,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
MOD_JAPAN,防衛省,external_institution,Yonaguni,0,0,1,0,0,1,R4E024,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
GOV_OKINAWA_PREF,沖縄県,external_institution,Sakishima,0,0,0,1,0,1,R4E025,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
GOV_CABINET_SAGA,内閣官房・佐賀県,external_institution,Yonaguni,0,0,1,0,0,1,R4E026,"Cells count bounded frame observations; they do not encode co-occurrence, inter-entity ties, stable alliances, resident consensus, or political agreement."
