proposal_id,candidate_id,title,url,publisher,source_type,publication_or_record_date,locator,support_scope,suggested_evidence_level,source_log_match,relation_or_claim_approved,caveat
RV2SP001,RV2C001,宮古島地下水研究会・研究会について,https://miyakojima-tikasui.com/about_us.html,宮古島地下水研究会,organization_website,2018-03-31 profile; accessed 2026-07-13,"設立趣旨; lines/paragraphs naming 2018 co-representatives, rules and secretariat","Exact identity, founding purpose, formal rules, named leadership and local secretariat",E4,S158,no,"The profile's 2018 representatives are a dated leadership observation, not a permanent roster."
RV2SP002,RV2C001,宮古島地下水研究会 公式サイト,https://miyakojima-tikasui.com/,宮古島地下水研究会,organization_website,2019-2025 activity archive; accessed 2026-07-13,"top page activity, report and news indexes","Current operation and repeated research, petition and public-learning outputs",E4,S204,no,Self-published continuity evidence; individual scientific claims require claim-level review.
RV2SP003,RV2C001,地下水の危機とは？,https://miyakojima-tikasui.com/crisis.html,宮古島地下水研究会,organization_issue_page,current page; accessed 2026-07-13,自衛隊施設の排水 section,The group's explicit framing of SDF-facility water use/wastewater as a groundwater-risk category,E3,,no,"Supports the group's public position, not a finding that contamination or a health effect occurred."
RV2SP004,RV2C001,水道水源保全区域を宮古島市全域に拡大する理由,https://miyakojima-tikasui.com/report_activity/2021-10-08-04.pdf,宮古島地下水研究会,organization_policy_document,2021-10-08,"p.1, items 1 and 3-5",A dated ordinance/monitoring proposal explicitly covering SDF-facility wastewater risks,E3,,no,Policy advocacy evidence; it does not independently verify the asserted environmental risk level.
RV2SP005,RV2C001,宮古島地下水研究会の見解に対する回答書,https://www.city.miyakojima.lg.jp/kurashi/seikatsu/kankyohozen/files/tikasui.pdf,宮古島市,municipal_official_response,2023-02,title and response sections,Independent municipal recognition of the group as a repeated administrative interlocutor,E4,,no,"Supports identity and recipient-side procedure, not agreement with the group's scientific interpretation."
RV2SP006,RV2C001,宮古島の地下水施策 市長選立候補予定者の回答公表,https://ryukyushimpo.jp/news/entry-1254033.html,琉球新報,local_news,2020-12-27,lead naming three co-representatives and three-question questionnaire,"Independent 2020 identity, leadership and local-policy intervention",E3,,no,"An election questionnaire is a dated public intervention, not proof of later policy effect."
RV2SP007,RV2C002,宜野湾市議会 福祉教育常任委員会審査記録（請願第1号）,https://www.city.ginowan.lg.jp/material/files/group/61/hukusi_202212.pdf,宜野湾市議会,municipal_legislative_record,2022-12 hearings; report dated 2023-08-31,"pp.5-8, especially testimony naming 町田直美・仲松典子 and activity history","Exact identity, named co-representatives, PFAS work history and health-investigation request",E4,,no,The testimony says work began with the 2016 PFOS disclosure; it does not give a precise legal formation date.
RV2SP008,RV2C002,有機フッ素化合物PFOS及びPFOA汚染の対策を求める意見書,https://www.city.ginowan.lg.jp/material/files/group/61/ikensyo1.pdf,宜野湾市議会,municipal_resolution,2022-11-25,full one-page resolution,Official recognition of the group's sampling and its consequence for a municipal opinion,E4,,no,The resolution uses probability language for a base source; do not strengthen it to established causation.
RV2SP009,RV2C002,学校敷地から化学物質PFOS 沖縄米軍基地に隣接,https://www.asahi.com/articles/ASQ9S5J0LQ96TPOB004.html,朝日新聞,national_news,2022-09-25,"paragraphs describing fundraising, commissioned sampling and published results",Independent direct-role evidence for resident-funded field sampling,E3,,no,Paywalled after the visible evidence; preserve the visible locator and do not infer beyond it.
RV2SP010,RV2C002,米軍PFAS汚染で血液検査を要請 宜野湾ちゅら水会,https://ryukyushimpo.jp/news/entry-1421139.html,琉球新報,local_news,2021-11-09,lead naming 仲松典子共同代表 and city request,2021 organization identity and request for disclosure/health investigation,E3,,no,A request does not establish that the requested blood testing was performed.
RV2SP011,RV2C002,PFAS汚染 米軍との意見交換に市民の参加を,https://ryukyushimpo.jp/news/entry-1730706.html,琉球新報,local_news,2023-06-17,lead and image caption naming 町田直美共同代表,2023 continuity and request for citizen participation in a city-base meeting,E3,,no,"Documents a request, not its acceptance or an institutional partnership."
RV2SP012,RV2C002,泡が消えた後に残った白い粉からPFAS検出,https://newsdig.tbs.co.jp/articles/-/2642471?display=1,琉球放送／TBS NEWS DIG,broadcast_news,2026-05-05,paragraph naming 照屋正史事務局長 and commissioned expert analysis,Current 2026 identity/continuity and a bounded sampling role,E3,,no,The expert explicitly says the sample cannot be converted to foam volume or sewer concentration.
RV2SP013,RV2C002,沖縄の米軍基地PFAS汚染 全国交流集会,https://www.jcp.or.jp/akahata/aik25/2026-02-16/2026021611_01_0.php,しんぶん赤旗,party_news,2026-02-16,paragraph separately naming A099 and 宜野湾ちゅら水会,Name-level evidence that the two PFAS groups were treated as separate organizations in one event,E3,,no,Use only for identity separation and attributed participation; co-participation is not an alliance.
RV2SP014,RV2C003,新婦人の紹介,https://www.shinfujin.gr.jp/about/organization/,新日本婦人の会中央本部,organization_website,current page; accessed 2026-07-13,"name, purposes, 1962 formation and nationwide structure",National association identity and prefectural-headquarters organizational structure,E4,,no,National identity alone does not transfer every national action to the Okinawa headquarters.
RV2SP015,RV2C003,沖縄県知事選で圧勝の民意に応え ただちに新基地建設中止を,https://www.shinfujin.gr.jp/2943/,新日本婦人の会中央本部,organization_statement,2014-11-19,paragraph explicitly describing Okinawa-headquarters member action,Official national-body attribution of dated Okinawa-headquarters anti-new-base activity,E4,,no,Supports the branch's attributed activity; election commentary must not become a causal claim.
RV2SP016,RV2C003,沖縄米兵少女暴行事件とその隠蔽につよく抗議し根本的対策を求める要請,https://www.shinfujin.gr.jp/wp-content/uploads/2024/06/%E7%B1%B3%E5%85%B5%E5%B0%91%E5%A5%B3%E6%9A%B4%E8%A1%8C%E4%BA%8B%E4%BB%B6%E3%80%80%E5%86%85%E9%96%A3%E7%B7%8F%E7%90%86%E5%A4%A7%E8%87%A3%E5%B2%B8%E7%94%B0%E6%96%87%E9%9B%84%E6%A7%981.pdf,新日本婦人の会中央本部・沖縄県本部,organization_request,2024-06-27,signature block and request text,"Exact local-unit name, chair and direct military-violence/human-rights request role",E4,,no,"Joint signature with the central body proves a bounded request, not all-purpose identity equivalence."
RV2SP017,RV2C003,沖縄県行政記録 平成20年,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/014/905/h20gyouseikiroku.pdf,沖縄県,prefectural_administrative_record,2008,"p.4, 2008-02-14 entry",Independent official record of an Okinawa-headquarters request over a U.S.-Marine sexual-assault case,E4,,no,"An administrative diary entry confirms a request, not the full content or outcome."
RV2SP018,RV2C003,沖縄県民投票条例へ 新婦人が署名開始,https://www.jcp.or.jp/akahata/aik18/2018-06-18/2018061801_03_1.html,しんぶん赤旗,party_news,2018-06-18,lead and chair quotation,Okinawa-headquarters organization identity and Henoko referendum-signature campaign role,E3,,no,Use for the dated public role only; do not code party affiliation or a stable alliance.
RV2SP019,RV2C004,中央労働委員会命令書 沖縄セメント工業事件,https://www.mhlw.go.jp/churoi/meirei_db/mei/pdf/m11367.pdf,中央労働委員会／厚生労働省,official_labor_decision,2014-03-13,"pp.1-2, party identity",Formal exact identity and regional-union party status,E4,,no,Use for identity and legal procedure only; the merits are unrelated to Phase-1 issue coding.
RV2SP020,RV2C004,争議行為の届出と予告,https://www.pref.okinawa.lg.jp/shigoto/koyorodo/1012030/1012056.html,沖縄県,prefectural_labor_record,2020-2026 records; accessed 2026-07-13,沖縄県公表 list naming the headquarters repeatedly,Current exact identity and repeated organizational operation through official notices,E4,,no,"Generic strike notices establish continuity, not Phase-1 political positions."
RV2SP021,RV2C004,全港湾沖縄が安保法案反対訴え抗議集会,https://ryukyushimpo.jp/news/prentry-249100.html,琉球新報,local_news,2015-09-18,lead naming the Okinawa headquarters and workplace action,Direct anti-Henoko/security-law labor action and port-workplace framing,E3,,no,Participant count is organizer-reported; the event does not establish alliance ties.
RV2SP022,RV2C004,米海軍ミサイル駆逐艦ラファエル・ペラルタ寄港反対決議,https://www.city.ishigaki.okinawa.jp/material/files/group/33/giin-2024-3.pdf,石垣市議会,municipal_resolution,2024-03-04,"p.2, paragraph naming the union strike decision and worker-safety rationale",Official recipient-side record of the union's Ishigaki/Naha port action plan and stated safety frame,E4,,no,The resolution recounts the plan; it is not a union membership record or legal judgment.
RV2SP023,RV2C004,第213回国会参議院特別委員会 第5号,https://kokkai.ndl.go.jp/simple/detail?minId=121315359X00520240524,国立国会図書館 国会会議録検索システム,official_parliamentary_record,2024-05-24,statements 133-134,Independent official acknowledgment that the Okinawa headquarters carried out the Ishigaki Port strike,E4,,no,The record contains contested characterizations of legality; this gate records occurrence and attributed rationale only.
RV2SP024,RV2C004,2025 5.15平和行進 全港湾沖縄地方本部報告,https://www.zenkowan.org/wp-content/uploads/2025/06/%E6%B2%96%E7%B8%84%E5%9C%B0%E6%96%B9%E3%80%80%E6%AF%94%E5%98%89%E5%8B%81%E5%B8%8C.pdf,全日本港湾労働組合,union_activity_report,2025-05-17 to 2025-05-18,full one-page participant report,Current branch-level peace-march and base-issue learning activity,E3,,no,"A participant report supports a bounded activity observation, not the position of every union member."
RV2SP025,RV2C005,やいまタイム地域年表 2015年12月23日,https://yaimatime.com/schedule/archive/2302/12/23/,やいまタイム,local_chronology,2015-12-23 event entry; accessed 2026-07-13,entry stating 八重山大地会 was formed to oppose SDF deployment through cultural activity,A formation-date lead and issue purpose,E2,,no,Archive URL metadata is unusual; verify the original local-newspaper record before freezing the formation date.
RV2SP026,RV2C005,陸自配備反対を決議 石垣、住民180人が緊急集会,https://ryukyushimpo.jp/news/entry-209354.html,琉球新報,local_news,2016-01-24,paragraph naming 八重山大地会 and 八重洋一郎代表,"Exact identity, representative and anti-deployment organizer role",E3,,no,The wider meeting had multiple organizers; do not infer a stable alliance.
RV2SP027,RV2C005,陸自配備で受け入れ表明 住民裏切りの石垣市長,https://www.kinyobi.co.jp/kinyobinews/2017/01/25/%E9%99%B8%E8%87%AA%E9%85%8D%E5%82%99%E3%81%A7%E3%80%8C%E5%8F%97%E3%81%91%E5%85%A5%E3%82%8C%E3%80%8D%E8%A1%A8%E6%98%8E%E2%80%95%E2%80%95%E4%BD%8F%E6%B0%91%E8%A3%8F%E5%88%87%E3%82%8A%E3%81%AE%E7%9F%B3/,週刊金曜日,magazine_news,2017-01-25,paragraph naming 潮平正道共同代表,2017 identity/leadership and war-memory framing of SDF deployment,E3,,no,Attributed statement only; publisher has an advocacy position.
RV2SP028,RV2C005,石垣島市政と陸自ミサイル部隊配備を語るバガケーラの集い,https://iwj.co.jp/wj/open/archives/374937,IWJ Independent Web Journal,event_report,2017-04-21,event metadata naming 八重山大地会 as co-organizer,A second 2017 organizer observation tied directly to SDF deployment,E3,,no,Co-organization is event-level and does not establish a permanent alliance.
RV2SP029,RV2C005,石垣島への陸上自衛隊配備をめぐる組織関係図,https://researchmap.jp/teppy/presentations/10378736/attachment_file.pdf,researchmap academic presentation attachment,academic_presentation_material,undated attachment; accessed 2026-07-13,organization map listing やいま大地会 and A010's component composition,Alias lead and possible component relation to A010,E2,,no,"Analytical diagram, not an official membership roster; the component relation needs human or primary confirmation."
