candidate_id,candidate_name,gate,status,pass_rule,evidence_summary,source_proposal_refs,boundary
RV2C001,宮古島地下水研究会,formal_identity,pass,"Exact organization name plus organizational form, named office/representative, rules, official record or equivalent organization-level evidence; an event label is insufficient.","Official profile dated 2018-03-31 gives the exact name, founding purpose, rules, named co-representatives and a Miyakojima secretariat; the city later addresses the group by the same exact name.",RV2SP001;RV2SP002;RV2SP003;RV2SP004;RV2SP005;RV2SP006,"Do not merge with C015, A012 or A097. Do not convert the group's stated wastewater risk into a finding of actual SDF-caused contamination. Human review should freeze the representative timeline and decide the narrow issue scope."
RV2C001,宮古島地下水研究会,continuity,pass,"At least two dated organization-level observations separated in time, or formal current status plus recent activity; one signature/event is insufficient.","The official activity archive spans 2018-2025; a 2020 local-news record, a 2023 city response and 2024-2025 petitions show repeated public operation. Representative names change over time and should be treated as a leadership timeline, not an identity contradiction.",RV2SP001;RV2SP002;RV2SP003;RV2SP004;RV2SP005;RV2SP006,"Do not merge with C015, A012 or A097. Do not convert the group's stated wastewater risk into a finding of actual SDF-caused contamination. Human review should freeze the representative timeline and decide the narrow issue scope."
RV2C001,宮古島地下水研究会,direct_phase1_connection,pass,"At least one dated public role directly tied to a Phase-1 issue such as base/SDF, PFAS/health, groundwater, autonomy, legal procedure or military violence.","The group explicitly identifies Self-Defense Force facility wastewater as a groundwater-risk category and proposed ordinance/monitoring coverage for such facilities. This supports an advocacy and administrative-interface role, not proof that contamination occurred.",RV2SP001;RV2SP002;RV2SP003;RV2SP004;RV2SP005;RV2SP006,"Do not merge with C015, A012 or A097. Do not convert the group's stated wastewater risk into a finding of actual SDF-caused contamination. Human review should freeze the representative timeline and decide the narrow issue scope."
RV2C001,宮古島地下水研究会,module_repair_value,pass,"Adds a missing place, actor function, issue bridge, venue or action mechanism that can change a named module explanation; number-filling is insufficient.","Repairs R1/R2 groundwater and health thin layers and gives R3/R4 a sustained Miyako organization connecting hydrogeology, life safety, monitoring and municipal procedure.",RV2SP001;RV2SP002;RV2SP003;RV2SP004;RV2SP005;RV2SP006,"Do not merge with C015, A012 or A097. Do not convert the group's stated wastewater risk into a finding of actual SDF-caused contamination. Human review should freeze the representative timeline and decide the narrow issue scope."
RV2C002,宜野湾ちゅら水会,formal_identity,pass,"Exact organization name plus organizational form, named office/representative, rules, official record or equivalent organization-level evidence; an event label is insufficient.","Ginowan City Council committee records name the group, its two co-representatives and a spokesperson; city and national news repeatedly use the same exact organization name.",RV2SP007;RV2SP008;RV2SP009;RV2SP010;RV2SP011;RV2SP012;RV2SP013,A099 and this group are separately named in the same 2026 exchange record; do not merge or infer an alliance. Record sampling/request roles without asserting epidemiological effects or a proven military source beyond each source's wording.
RV2C002,宜野湾ちゅら水会,continuity,pass,"At least two dated organization-level observations separated in time, or formal current status plus recent activity; one signature/event is insufficient.","Observable public requests, commissioned sampling, council testimony, administrative-procedure use and current testing span 2021-2026; testimony says the group had worked on the water issue since the 2016 PFOS disclosure without establishing a precise formation date.",RV2SP007;RV2SP008;RV2SP009;RV2SP010;RV2SP011;RV2SP012;RV2SP013,A099 and this group are separately named in the same 2026 exchange record; do not merge or infer an alliance. Record sampling/request roles without asserting epidemiological effects or a proven military source beyond each source's wording.
RV2C002,宜野湾ちゅら水会,direct_phase1_connection,pass,"At least one dated public role directly tied to a Phase-1 issue such as base/SDF, PFAS/health, groundwater, autonomy, legal procedure or military violence.","The group commissioned PFAS soil testing beside Futenma, requested blood/health investigation and base access, and used a pollution-mediation route. These are source-backed public roles; health causation and pollution-source attribution remain outside this gate.",RV2SP007;RV2SP008;RV2SP009;RV2SP010;RV2SP011;RV2SP012;RV2SP013,A099 and this group are separately named in the same 2026 exchange record; do not merge or infer an alliance. Record sampling/request roles without asserting epidemiological effects or a proven military source beyond each source's wording.
RV2C002,宜野湾ちゅら水会,module_repair_value,pass,"Adds a missing place, actor function, issue bridge, venue or action mechanism that can change a named module explanation; number-filling is insufficient.","Adds a hyperlocal PFAS actor whose mechanism is resident-funded sampling plus municipal/procedural requests, complementing rather than duplicating A099's prefecture-wide coordination layer.",RV2SP007;RV2SP008;RV2SP009;RV2SP010;RV2SP011;RV2SP012;RV2SP013,A099 and this group are separately named in the same 2026 exchange record; do not merge or infer an alliance. Record sampling/request roles without asserting epidemiological effects or a proven military source beyond each source's wording.
RV2C004,全日本港湾労働組合沖縄地方本部,formal_identity,pass,"Exact organization name plus organizational form, named office/representative, rules, official record or equivalent organization-level evidence; an event label is insufficient.",A Central Labour Relations Commission order formally names the Okinawa headquarters as a union party; prefectural strike-notice records repeatedly use the same exact name.,RV2SP019;RV2SP020;RV2SP021;RV2SP022;RV2SP023;RV2SP024,"Do not infer a stable alliance from common marches or statements. The 2024 strike's existence and stated rationale can be recorded; its legal status, public effects and political efficacy are not adjudicated here."
RV2C004,全日本港湾労働組合沖縄地方本部,continuity,pass,"At least two dated organization-level observations separated in time, or formal current status plus recent activity; one signature/event is insufficient.",Official labor records document the Okinawa headquarters in 2014 and repeated strike notices from 2020 through 2026; an official union document records a 2025 Okinawa peace-march activity.,RV2SP019;RV2SP020;RV2SP021;RV2SP022;RV2SP023;RV2SP024,"Do not infer a stable alliance from common marches or statements. The 2024 strike's existence and stated rationale can be recorded; its legal status, public effects and political efficacy are not adjudicated here."
