place_id,place_label,frame_id,frame_name,wide_upper_bound_actor_count,same_source_e3plus_actor_count,human_reviewed_same_source_actor_count,strict_retention_ratio,same_source_actor_ids,reviewed_actor_ids
P002,边野古,F1,基地／反军事,20,20,2,1.0,A001;A004;A006;A007;A019;A021;A022;A023;A024;A025;A027;A028;A029;A047;A051;A059;A067;A068;A069;A110,A019;A110
P002,边野古,F2,生态／环境,24,24,2,1.0,A001;A002;A003;A004;A005;A006;A009;A020;A021;A022;A023;A027;A029;A030;A031;A033;A034;A042;A045;A046;A061;A062;A067;A069,A002;A046
P002,边野古,F3,生命／健康,0,0,0,,,
P002,边野古,F4,自治／公投,3,3,0,1.0,A051;A059;A068,
P002,边野古,F5,法律／程序,4,2,0,0.5,A009;A039,
P002,边野古,F6,国际路径,20,20,3,1.0,A001;A002;A007;A009;A028;A032;A033;A034;A035;A036;A037;A038;A039;A040;A041;A042;A043;A044;A045;A046,A002;A040;A046
P002,边野古,F7,前线／台海,0,0,0,,,
P003,大浦湾,F1,基地／反军事,3,3,0,1.0,A001;A004;A069,
P003,大浦湾,F2,生态／环境,6,6,1,1.0,A001;A002;A004;A009;A020;A069,A002
P003,大浦湾,F3,生命／健康,0,0,0,,,
P003,大浦湾,F4,自治／公投,0,0,0,,,
P003,大浦湾,F5,法律／程序,2,1,0,0.5,A009,
P003,大浦湾,F6,国际路径,3,3,1,1.0,A001;A002;A009,A002
P003,大浦湾,F7,前线／台海,0,0,0,,,
P012,石垣,F1,基地／反军事,3,3,0,1.0,A010;A011;A114,
P012,石垣,F2,生态／环境,1,1,0,1.0,A010,
P012,石垣,F3,生命／健康,1,1,0,1.0,A114,
P012,石垣,F4,自治／公投,2,2,0,1.0,A010;A011,
P012,石垣,F5,法律／程序,0,0,0,,,
P012,石垣,F6,国际路径,0,0,0,,,
P012,石垣,F7,前线／台海,0,0,0,,,
P013,宫古,F1,基地／反军事,3,3,0,1.0,A012;A013;A065,
P013,宫古,F2,生态／环境,3,3,0,1.0,A012;A013;A112,
P013,宫古,F3,生命／健康,3,3,0,1.0,A012;A013;A112,
P013,宫古,F4,自治／公投,0,0,0,,,
P013,宫古,F5,法律／程序,0,0,0,,,
P013,宫古,F6,国际路径,0,0,0,,,
P013,宫古,F7,前线／台海,1,1,0,1.0,A065,
P011,与那国,F1,基地／反军事,2,2,1,1.0,A016;A065,A016
P011,与那国,F2,生态／环境,0,0,0,,,
P011,与那国,F3,生命／健康,0,0,0,,,
P011,与那国,F4,自治／公投,0,0,0,,,
P011,与那国,F5,法律／程序,0,0,0,,,
P011,与那国,F6,国际路径,0,0,0,,,
P011,与那国,F7,前线／台海,3,3,0,1.0,A017;A018;A065,
P005,嘉手纳,F1,基地／反军事,2,2,1,1.0,A052;A109,A109
P005,嘉手纳,F2,生态／环境,0,0,0,,,
P005,嘉手纳,F3,生命／健康,4,3,2,0.75,A052;A109;X006,A109;X006
P005,嘉手纳,F4,自治／公投,0,0,0,,,
P005,嘉手纳,F5,法律／程序,2,2,1,1.0,A052;A109,A109
P005,嘉手纳,F6,国际路径,0,0,0,,,
P005,嘉手纳,F7,前线／台海,0,0,0,,,
P004,普天间,F1,基地／反军事,1,1,0,1.0,A053,
P004,普天间,F2,生态／环境,1,1,0,1.0,A113,
P004,普天间,F3,生命／健康,2,2,0,1.0,A053;A113,
P004,普天间,F4,自治／公投,0,0,0,,,
P004,普天间,F5,法律／程序,2,2,1,1.0,A053;A113,A113
P004,普天间,F6,国际路径,0,0,0,,,
P004,普天间,F7,前线／台海,0,0,0,,,
P018,宜野湾,F1,基地／反军事,1,1,0,1.0,A053,
P018,宜野湾,F2,生态／环境,1,1,0,1.0,A113,
P018,宜野湾,F3,生命／健康,3,2,0,0.667,A053;A113,
P018,宜野湾,F4,自治／公投,0,0,0,,,
P018,宜野湾,F5,法律／程序,2,2,1,1.0,A053;A113,A113
P018,宜野湾,F6,国际路径,1,0,0,0.0,,
P018,宜野湾,F7,前线／台海,0,0,0,,,
P020,那霸,F1,基地／反军事,4,3,0,0.75,A050;A066;A074,
P020,那霸,F2,生态／环境,0,0,0,,,
P020,那霸,F3,生命／健康,1,0,0,0.0,,
P020,那霸,F4,自治／公投,2,2,0,1.0,A050;A066,
P020,那霸,F5,法律／程序,2,2,0,1.0,A050;A066,
P020,那霸,F6,国际路径,0,0,0,,,
P020,那霸,F7,前线／台海,0,0,0,,,
P001,冲绳全县,F1,基地／反军事,23,22,4,0.957,A008;A023;A028;A029;A047;A048;A049;A050;A051;A056;A057;A058;A059;A060;A063;A064;A066;A070;A074;A107;A111;A115,A008;A051;A107;A111
P001,冲绳全县,F2,生态／环境,6,6,0,1.0,A003;A023;A029;A056;A060;A061,
P001,冲绳全县,F3,生命／健康,6,5,3,0.833,A049;X004;X005;X007;X017,X004;X005;X007
P001,冲绳全县,F4,自治／公投,5,5,2,1.0,A050;A051;A059;A066;A115,A051;A115
P001,冲绳全县,F5,法律／程序,2,2,0,1.0,A050;A066,
P001,冲绳全县,F6,国际路径,3,3,0,1.0,A028;A064;A070,
P001,冲绳全县,F7,前线／台海,3,3,1,1.0,A017;A018;A108,A108
