triple_id,actor_id,actor_name,place_edge_id,place_id,place_name,issue_edge_id,issue_id,issue_label,frame_id,frame_name,shared_source_id,document_year,document_title,event_ids,event_names,event_dates,place_review_status,issue_review_status,place_evidence_level,issue_evidence_level,triple_layer,interpretation_limit
SPI0001,A001,Okinawa Environmental Justice Project,AP001,P002,Henoko,AI001,I004,dugong,F2,生态／环境,S006,2020,OEJP 71 organizations MMC request,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0002,A001,Okinawa Environmental Justice Project,AP001,P002,Henoko,AI001,I004,dugong,F2,生态／环境,S007,2020,The Plight of the Okinawa Dugong,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0003,A001,Okinawa Environmental Justice Project,AP001,P002,Henoko,AI001,I004,dugong,F2,生态／环境,S008,2020,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0004,A001,Okinawa Environmental Justice Project,AP001,P002,Henoko,AI002,I012,international_advocacy,F6,国际路径,S006,2020,OEJP 71 organizations MMC request,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0005,A001,Okinawa Environmental Justice Project,AP001,P002,Henoko,AI002,I012,international_advocacy,F6,国际路径,S007,2020,The Plight of the Okinawa Dugong,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0006,A001,Okinawa Environmental Justice Project,AP001,P002,Henoko,AI002,I012,international_advocacy,F6,国际路径,S008,2020,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0007,A001,Okinawa Environmental Justice Project,AP001,P002,Henoko,AI003,I003,Henoko,F1,基地／反军事,S006,2020,OEJP 71 organizations MMC request,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0008,A001,Okinawa Environmental Justice Project,AP001,P002,Henoko,AI003,I003,Henoko,F1,基地／反军事,S007,2020,The Plight of the Okinawa Dugong,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0009,A001,Okinawa Environmental Justice Project,AP001,P002,Henoko,AI003,I003,Henoko,F1,基地／反军事,S008,2020,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0010,A001,Okinawa Environmental Justice Project,AP002,P003,Oura Bay,AI001,I004,dugong,F2,生态／环境,S006,2020,OEJP 71 organizations MMC request,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0011,A001,Okinawa Environmental Justice Project,AP002,P003,Oura Bay,AI001,I004,dugong,F2,生态／环境,S007,2020,The Plight of the Okinawa Dugong,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0012,A001,Okinawa Environmental Justice Project,AP002,P003,Oura Bay,AI001,I004,dugong,F2,生态／环境,S008,2020,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0013,A001,Okinawa Environmental Justice Project,AP002,P003,Oura Bay,AI002,I012,international_advocacy,F6,国际路径,S006,2020,OEJP 71 organizations MMC request,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0014,A001,Okinawa Environmental Justice Project,AP002,P003,Oura Bay,AI002,I012,international_advocacy,F6,国际路径,S007,2020,The Plight of the Okinawa Dugong,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0015,A001,Okinawa Environmental Justice Project,AP002,P003,Oura Bay,AI002,I012,international_advocacy,F6,国际路径,S008,2020,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0016,A001,Okinawa Environmental Justice Project,AP002,P003,Oura Bay,AI003,I003,Henoko,F1,基地／反军事,S006,2020,OEJP 71 organizations MMC request,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0017,A001,Okinawa Environmental Justice Project,AP002,P003,Oura Bay,AI003,I003,Henoko,F1,基地／反军事,S007,2020,The Plight of the Okinawa Dugong,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0018,A001,Okinawa Environmental Justice Project,AP002,P003,Oura Bay,AI003,I003,Henoko,F1,基地／反军事,S008,2020,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0019,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,AP003,P002,Henoko,AI004,I004,dugong,F2,生态／环境,S007,2020,The Plight of the Okinawa Dugong,,,,human_revised,human_revised,E4,E4,human_reviewed_same_source,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0020,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,AP003,P002,Henoko,AI004,I004,dugong,F2,生态／环境,S057,2026,ジュゴン保護キャンペーンセンター公式サイト,,,,human_revised,human_revised,E4,E4,human_reviewed_same_source,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0021,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,AP003,P002,Henoko,AI004,I004,dugong,F2,生态／环境,S058,2026,IUCN member page: Save the Dugong Campaign Center,,,,human_revised,human_revised,E4,E4,human_reviewed_same_source,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0022,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,AP003,P002,Henoko,AI004,I004,dugong,F2,生态／环境,S059,2019,GEOC団体情報: ジュゴン保護キャンペーンセンター,,,,human_revised,human_revised,E4,E4,human_reviewed_same_source,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0023,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,AP003,P002,Henoko,AI005,I012,international_advocacy,F6,国际路径,S007,2020,The Plight of the Okinawa Dugong,,,,human_revised,human_revised,E4,E4,human_reviewed_same_source,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0024,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,AP003,P002,Henoko,AI005,I012,international_advocacy,F6,国际路径,S058,2026,IUCN member page: Save the Dugong Campaign Center,,,,human_revised,human_revised,E4,E4,human_reviewed_same_source,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0025,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,AP004,P003,Oura Bay,AI004,I004,dugong,F2,生态／环境,S007,2020,The Plight of the Okinawa Dugong,,,,human_revised,human_revised,E4,E4,human_reviewed_same_source,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0026,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,AP004,P003,Oura Bay,AI004,I004,dugong,F2,生态／环境,S057,2026,ジュゴン保護キャンペーンセンター公式サイト,,,,human_revised,human_revised,E4,E4,human_reviewed_same_source,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0027,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,AP004,P003,Oura Bay,AI004,I004,dugong,F2,生态／环境,S058,2026,IUCN member page: Save the Dugong Campaign Center,,,,human_revised,human_revised,E4,E4,human_reviewed_same_source,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0028,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,AP004,P003,Oura Bay,AI004,I004,dugong,F2,生态／环境,S059,2019,GEOC団体情報: ジュゴン保護キャンペーンセンター,,,,human_revised,human_revised,E4,E4,human_reviewed_same_source,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0029,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,AP004,P003,Oura Bay,AI005,I012,international_advocacy,F6,国际路径,S007,2020,The Plight of the Okinawa Dugong,,,,human_revised,human_revised,E4,E4,human_reviewed_same_source,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0030,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,AP004,P003,Oura Bay,AI005,I012,international_advocacy,F6,国际路径,S058,2026,IUCN member page: Save the Dugong Campaign Center,,,,human_revised,human_revised,E4,E4,human_reviewed_same_source,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0031,A003,ジュゴンネットワーク沖縄,AP005,P001,Okinawa Prefecture,AI006,I004,dugong,F2,生态／环境,S003,2010,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,needs_second_source,needs_second_source,E3,E3,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
