task_family,object_id,decision,approved_formulation,scope_boundary,source_report,human_reviewer,review_date
HR016,HR016-001,revise,只保留 2016 年具名集会执行委员会，不 crosswalk 到 A012,仅冻结该来源中的 speaker、frame 与 locator；不得把个人、匿名意见或行政答复升级为组织／地区总体立场。,docs/human_review_return_HR016_sakishima_batch35A_v1.md,项目负责人,2026-07-20
HR016,HR016-006,revise,R4E024 改为 MOD_JAPAN 的 F_FTE 说明会事件，删除 F_PROC,仅冻结该来源中的 speaker、frame 与 locator；不得把个人、匿名意见或行政答复升级为组织／地区总体立场。,docs/human_review_return_HR016_sakishima_batch35A_v1.md,项目负责人,2026-07-20
HR016,HR016-007,revise,R4E025 改为 place=Sakishima 的县级区域观察，不计为与那国特有事实,仅冻结该来源中的 speaker、frame 与 locator；不得把个人、匿名意见或行政答复升级为组织／地区总体立场。,docs/human_review_return_HR016_sakishima_batch35A_v1.md,项目负责人,2026-07-20
HR016,HR016-008,revise,p.6 是环境部长宣读的行政处理方针，不是陈情者原文，不回指 A013,仅冻结该来源中的 speaker、frame 与 locator；不得把个人、匿名意见或行政答复升级为组织／地区总体立场。,docs/human_review_return_HR016_sakishima_batch35A_v1.md,项目负责人,2026-07-20
HR016,HR016-009,accept,Pattern 1 稳定印刷页码已定位为 pp.27–29，可加入 R4S007／R4E007 source_ref,仅冻结该来源中的 speaker、frame 与 locator；不得把个人、匿名意见或行政答复升级为组织／地区总体立场。,docs/human_review_return_HR016_sakishima_batch35A_v1.md,项目负责人,2026-07-20
HR016,HR016-012,revise,R4S024 只保留 F_FTE source scope，拒绝 procedural_fairness,仅冻结该来源中的 speaker、frame 与 locator；不得把个人、匿名意见或行政答复升级为组织／地区总体立场。,docs/human_review_return_HR016_sakishima_batch35A_v1.md,项目负责人,2026-07-20
HR016,HR016-002,revise,R4E008 改归具名议员久貝美奈子，不归整个宫古岛市议会,仅冻结该来源中的 speaker、frame 与 locator；不得把个人、匿名意见或行政答复升级为组织／地区总体立场。,docs/human_review_return_HR016_sakishima_batch35B_v1.md,项目负责人,2026-07-20
HR016,HR016-003,revise,F_FTE 拆为议员问题与市行政答复两条不同 observation,仅冻结该来源中的 speaker、frame 与 locator；不得把个人、匿名意见或行政答复升级为组织／地区总体立场。,docs/human_review_return_HR016_sakishima_batch35B_v1.md,项目负责人,2026-07-20
HR016,HR016-004,revise,F_FTE 只保留为该次意见交换会中的匿名发言单元，不建立居民 actor,仅冻结该来源中的 speaker、frame 与 locator；不得把个人、匿名意见或行政答复升级为组织／地区总体立场。,docs/human_review_return_HR016_sakishima_batch35B_v1.md,项目负责人,2026-07-20
HR016,HR016-005,revise,F_AUT 只保留意见 1、4、7 的匿名程序／地方意见疑问，不概括为全市立场,仅冻结该来源中的 speaker、frame 与 locator；不得把个人、匿名意见或行政答复升级为组织／地区总体立场。,docs/human_review_return_HR016_sakishima_batch35B_v1.md,项目负责人,2026-07-20
