candidate_event_id,actor_id,date_or_period,event_name,action_type,place,target_or_recipient,source_refs,review_status,central_aev_status,interpretation_limit
HR027E001,A112,2020-12,Miyako mayoral-candidate public questionnaire,questionnaire,Miyako,municipal election candidates,S272,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E002,A112,2022-07/2023-02,Groundwater opinion and Miyako City written response,administrative_exchange,Miyako,Miyako City,S271,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E003,A112,2025-02,"6,524-signature submission and request to new mayor",petition_request,Miyako,Miyako mayor/city,S204,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E004,A113,2022-08/09,Futenma No.2 Elementary School soil sampling,resident_sampling,Ginowan;Futenma,school/community environment,S274;S275,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E005,A113,2022-12,Ginowan City Council Petition No.1 review,petition,Ginowan,Ginowan City Council,S273;S274,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E006,A113,2024-07/09,PFAS reporting through EMRIP and CEDAW mechanisms,international_reporting,international,UN mechanisms,S273,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E007,A113,2025-10-27,Pollution mediation application,legal_administrative_procedure,Okinawa,Okinawa Pollution Examination Commission,S273,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E008,A113,2026-01/03,Isa foam-event sampling and municipal request,sampling_request,Ginowan,Ginowan City,S278,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E009,A114,2015-09-18,Naha port-worker protest rally,rally,Naha,security legislation/Henoko policy,S286,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E010,A114,2024-03-11/13,Ishigaki Port strike,strike,Ishigaki,military use of civilian port,S287;S288,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E011,A114,2024-10,Keen Sword 25 Naha Port protest,protest,Naha,Japan-U.S. exercise port use,S289,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E012,A114,2025-05,5.15 Peace March participation,march,Okinawa,base burden/peace public,S289,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E013,A115,2008-02-14,Prefectural request concerning U.S.-Marine sexual assault,request,Okinawa,Okinawa governor's office,S282,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E014,A115,2018-06-17,Henoko prefectural-referendum signature launch,signature_mobilization,Okinawa,prefectural referendum ordinance process,S283,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E015,A115,2022-09-20,Request to 41 municipalities and education heads,request_letter,Okinawa,41 municipalities and education authorities,S280,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E016,A115,2024-06/07,National-plus-prefectural joint requests on military sexual violence,joint_request,Tokyo/Okinawa,national ministries,S281,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
HR027E017,A115,2025-10-17,Protest letter to prefectural assembly speaker,protest_letter,Okinawa,Okinawa Prefectural Assembly speaker,S280,needs_human_review,not_inserted,Candidate from HR-027 return §5.1; verify exact date/role/target before AEV insertion. Event participation does not establish stable alliance or causal effect.
