path,sha256_before_run,sha256_after_run,unchanged
data/interim/01_actor_registry_initial_v0.csv,71594d94e094c8228f2c5e4f328e2dd2e4d16240743a62d7229d6a73c74c1e94,71594d94e094c8228f2c5e4f328e2dd2e4d16240743a62d7229d6a73c74c1e94,yes
data/interim/02_actor_aliases_initial_v0.csv,50d2a3cb24cc9820bf3b36c2d7a301dcf29612410a0a7d359676193ac5160098,50d2a3cb24cc9820bf3b36c2d7a301dcf29612410a0a7d359676193ac5160098,yes
data/interim/07_actor_issue_edges_initial_v0.csv,1b24420136d98c43064102db0b96f7e212c14814ca38c26aa69934907c25bff7,1b24420136d98c43064102db0b96f7e212c14814ca38c26aa69934907c25bff7,yes
data/interim/08_actor_place_edges_initial_v0.csv,9535e653378ef22e98d6f2707d41528c943bd66fce1571660b4f9362d47be935,9535e653378ef22e98d6f2707d41528c943bd66fce1571660b4f9362d47be935,yes
data/interim/09_actor_event_venue_edges_v0.csv,c80f769d1b24e5d9520a9d8d4f936828959987a650c9f3535e35a177313107ed,c80f769d1b24e5d9520a9d8d4f936828959987a650c9f3535e35a177313107ed,yes
data/interim/15_funding_or_support_edges_sample_v0.csv,c26ceb6b598be986caf86cbbce9ba65d655a4b89dbe8da3abc255bfe47daf6c3,c26ceb6b598be986caf86cbbce9ba65d655a4b89dbe8da3abc255bfe47daf6c3,yes
data/interim/18_legal_policy_actor_roles_v0.csv,b319e01e57d0d00e1e6a47d1af4ac28562aa90d893e5a24b9382ab825d842b0d,b319e01e57d0d00e1e6a47d1af4ac28562aa90d893e5a24b9382ab825d842b0d,yes
data/interim/21_admin_collaboration_relations_v0.csv,6a2c474fb33c6f0d7eb50234811da62526f87d3e72253b9386b8612a3469b08a,6a2c474fb33c6f0d7eb50234811da62526f87d3e72253b9386b8612a3469b08a,yes
data/interim/22_admin_amount_observations_v0.csv,55b2699a34da921d3c5aa7631f32c048d4acccb6ea10601da2f4d452bdf367c3,55b2699a34da921d3c5aa7631f32c048d4acccb6ea10601da2f4d452bdf367c3,yes
data/interim/23_admin_function_observations_v0.csv,6737475592cd580d184b50be26f867f89b223a20acf3f4c88a71c60a12c13ee7,6737475592cd580d184b50be26f867f89b223a20acf3f4c88a71c60a12c13ee7,yes
data/interim/24_r01_r02_actor_issue_layered_v0.csv,965389bb063120e71617f259ab56a3a6ac3103cefc862f34b4d6e6e1b2868fe0,965389bb063120e71617f259ab56a3a6ac3103cefc862f34b4d6e6e1b2868fe0,yes
data/interim/25_coaction_event_participation_v0.csv,5b7516c7eb08ac86bdfc796b1561467600a550caa9dbccb5c090c92539fc8071,5b7516c7eb08ac86bdfc796b1561467600a550caa9dbccb5c090c92539fc8071,yes
data/interim/26_actor_event_venue_target_entry_modes_v0.csv,2bf42adc47cf47a6afaf46478c372843bba6e81f5e5f12191c5f8014e17b8748,2bf42adc47cf47a6afaf46478c372843bba6e81f5e5f12191c5f8014e17b8748,yes
data/interim/28_edge_activation_candidates_v1.csv,1879465cf35a7329f12d682b261db993e58f315a24b532f1a8160d779369401e,1879465cf35a7329f12d682b261db993e58f315a24b532f1a8160d779369401e,yes
