source_id,source_type,title,year,url,what_it_supports,evidence_level,bias_note,review_status,notes
S248,official_data,平成26年版 選挙管理委員会年報,2015,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/927/h26nenpou.pdf,2014 election-window date and official institutional context only,E4,Does not support any civic-actor role or causal effect.,ai_seeded,"NW2-H controlled source integration 2026-07-13; audit=NW2FS001; proposal refs=NW2-B_R09:R9EC_S001. Metadata is proposal-derived and remains ai_seeded. Source inclusion does not approve actor entry, relation, alliance, funding, causal interpretation, legal conclusion, electoral effect, or organization classification. Sensitive boundary tags=election_causality_not_inferred."
S249,organization_report,きちきちニュースレター Vol.6（島ぐるみ会議結成）,2014,https://www.ywca.or.jp/pdf/2014/0716.pdf,2014 Shimagurumi founding as issue-campaign window and non-endorsement boundary,E3,Participant/advocacy publication; exact crosswalk to A059 requires human review.,ai_seeded,"NW2-H controlled source integration 2026-07-13; audit=NW2FS002; proposal refs=NW2-B_R09:R9EC_S002. Metadata is proposal-derived and remains ai_seeded. Source inclusion does not approve actor entry, relation, alliance, funding, causal interpretation, legal conclusion, electoral effect, or organization classification. Sensitive boundary tags=election_causality_not_inferred;actor_crosswalk_requires_human_review."
S250,local_news,翁長那覇市長に保革双方が出馬を要請,2014,https://www.qab.co.jp/news/2014082157456.html,2014 women-group request to Takeshi Onaga to stand,E3,Does not provide the full member roster of either ad hoc request body.,ai_seeded,"NW2-H controlled source integration 2026-07-13; audit=NW2FS003; proposal refs=NW2-B_R09:R9EC_S003. Metadata is proposal-derived and remains ai_seeded. Source inclusion does not approve actor entry, relation, alliance, funding, causal interpretation, legal conclusion, electoral effect, or organization classification. Sensitive boundary tags=election_causality_not_inferred;ad_hoc_body_or_roster_not_generalized."
S251,party_news,翁長さんで新基地阻止／女性団体が出馬要請,2014,https://www.jcp.or.jp/akahata/aik14/2014-08-22/2014082204_01_1.html,2014 women request-body scale/context; second source to QAB,E2,Party-media framing; 52 is not a verified organization roster.,ai_seeded,"NW2-H controlled source integration 2026-07-13; audit=NW2FS004; proposal refs=NW2-B_R09:R9EC_S004. Metadata is proposal-derived and remains ai_seeded. Source inclusion does not approve actor entry, relation, alliance, funding, causal interpretation, legal conclusion, electoral effect, or organization classification. Sensitive boundary tags=election_causality_not_inferred;ad_hoc_body_or_roster_not_generalized."
S252,party_news,『新基地ノー』心一つ／沖縄知事選 女性29団体が集会,2014,https://www.jcp.or.jp/akahata/aik14/2014-10-11/2014101104_01_1.html,2014 public endorsement/mobilization meeting,E2,Single party-media report; full 29-group roster is not available online.,ai_seeded,"NW2-H controlled source integration 2026-07-13; audit=NW2FS005; proposal refs=NW2-B_R09:R9EC_S005. Metadata is proposal-derived and remains ai_seeded. Source inclusion does not approve actor entry, relation, alliance, funding, causal interpretation, legal conclusion, electoral effect, or organization classification. Sensitive boundary tags=election_causality_not_inferred;ad_hoc_body_or_roster_not_generalized."
S253,community_site,『ゆんたく』から始まった、沖縄・若者の抵抗,2015,https://www.magazine9.jp/article/yuntacrew/18975,2014 youth observation/dialogue intervention,E3,Retrospective first-person account; does not establish turnout or vote effects.,ai_seeded,"NW2-H controlled source integration 2026-07-13; audit=NW2FS006; proposal refs=NW2-B_R09:R9EC_S006. Metadata is proposal-derived and remains ai_seeded. Source inclusion does not approve actor entry, relation, alliance, funding, causal interpretation, legal conclusion, electoral effect, or organization classification. HR-030 metadata flags=source_type_human_choice. Sensitive boundary tags=election_causality_not_inferred;person_or_masked_actor_not_transferred."
S254,organization_statement,談話：沖縄県知事選で圧勝の民意に応え、ただちに新基地建設中止を,2014,https://www.shinfujin.gr.jp/2943,2014 organization public interpretation and bounded self-report | Official national-body attribution of dated Okinawa-headquarters anti-new-base activity,E4,Organizational self-report is not independent evidence of electoral effect. | Supports the branch's attributed activity; election commentary must not become a causal claim.,ai_seeded,"NW2-H controlled source integration 2026-07-13; audit=NW2FS007; proposal refs=NW2-B_R09:R9EC_S007;NW2-C_registry_gate:RV2SP015. Metadata is proposal-derived and remains ai_seeded. Source inclusion does not approve actor entry, relation, alliance, funding, causal interpretation, legal conclusion, electoral effect, or organization classification. HR-030 metadata flags=cross_batch_title_variant;cross_batch_publisher_label_variant. Sensitive boundary tags=election_causality_not_inferred;self_report_reach_or_effect_not_inferred;branch_parent_action_not_automatically_transferred;party_affiliation_not_inferred."
S255,official_data,平成30年沖縄県知事選挙 特設ページ,2018,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1021246.html,2018 election-window date and institutional context only,E4,Does not support any civic-actor role or causal effect.,ai_seeded,"NW2-H controlled source integration 2026-07-13; audit=NW2FS008; proposal refs=NW2-B_R09:R9EC_S008. Metadata is proposal-derived and remains ai_seeded. Source inclusion does not approve actor entry, relation, alliance, funding, causal interpretation, legal conclusion, electoral effect, or organization classification. Sensitive boundary tags=election_causality_not_inferred."
S256,local_news,『知事、頑張れ』緊急集会で撤回表明に喜びと決意,2018,https://ryukyushimpo.jp/news/entry-770040.html,2018 pre-election issue campaign supporting a gubernatorial administrative act,E3,Support for a policy act is not a candidate endorsement or vote-effect claim.,ai_seeded,"NW2-H controlled source integration 2026-07-13; audit=NW2FS009; proposal refs=NW2-B_R09:R9EC_S009. Metadata is proposal-derived and remains ai_seeded. Source inclusion does not approve actor entry, relation, alliance, funding, causal interpretation, legal conclusion, electoral effect, or organization classification. Sensitive boundary tags=election_causality_not_inferred;issue_event_not_automatic_endorsement."
S257,organization_event_record,8.11県民大会（辺野古新基地建設断念要求）,2018,https://all-okinawa.jp/492,2018 issue campaign and memorial rally; no candidate endorsement coded,E4,Election proximity does not convert the rally into an endorsement without explicit evidence.,ai_seeded,"NW2-H controlled source integration 2026-07-13; audit=NW2FS010; proposal refs=NW2-B_R09:R9EC_S010. Metadata is proposal-derived and remains ai_seeded. Source inclusion does not approve actor entry, relation, alliance, funding, causal interpretation, legal conclusion, electoral effect, or organization classification. Sensitive boundary tags=election_causality_not_inferred;issue_event_not_automatic_endorsement."
