record_audit_id,input_batch,proposal_id,candidate_id,audit_row_id,source_id,integration_status,normalized_url,source_review_status,archive_status,relation_or_claim_approved,caveat
NW2FR001,NW2-B_R09,R9EC_S001,,NW2FS001,S248,provisional_source_log_new,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/927/h26nenpou.pdf,ai_seeded,archived,no,Does not support any civic-actor role or causal effect.
NW2FR002,NW2-B_R09,R9EC_S002,,NW2FS002,S249,provisional_source_log_new,https://www.ywca.or.jp/pdf/2014/0716.pdf,ai_seeded,archived,no,Participant/advocacy publication; exact crosswalk to A059 requires human review.
NW2FR003,NW2-B_R09,R9EC_S003,,NW2FS003,S250,provisional_source_log_new,https://www.qab.co.jp/news/2014082157456.html,ai_seeded,archived,no,Does not provide the full member roster of either ad hoc request body.
NW2FR004,NW2-B_R09,R9EC_S004,,NW2FS004,S251,provisional_source_log_new,https://www.jcp.or.jp/akahata/aik14/2014-08-22/2014082204_01_1.html,ai_seeded,archived,no,Party-media framing; 52 is not a verified organization roster.
NW2FR005,NW2-B_R09,R9EC_S005,,NW2FS005,S252,provisional_source_log_new,https://www.jcp.or.jp/akahata/aik14/2014-10-11/2014101104_01_1.html,ai_seeded,archived,no,Single party-media report; full 29-group roster is not available online.
NW2FR006,NW2-B_R09,R9EC_S006,,NW2FS006,S253,provisional_source_log_new,https://www.magazine9.jp/article/yuntacrew/18975,ai_seeded,archived,no,Retrospective first-person account; does not establish turnout or vote effects.
NW2FR007,NW2-B_R09,R9EC_S007,,NW2FS007,S254,provisional_source_log_new,https://www.shinfujin.gr.jp/2943,ai_seeded,archived,no,Organizational self-report is not independent evidence of electoral effect.
NW2FR008,NW2-B_R09,R9EC_S008,,NW2FS008,S255,provisional_source_log_new,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1021246.html,ai_seeded,archived,no,Does not support any civic-actor role or causal effect.
NW2FR009,NW2-B_R09,R9EC_S009,,NW2FS009,S256,provisional_source_log_new,https://ryukyushimpo.jp/news/entry-770040.html,ai_seeded,archived,no,Support for a policy act is not a candidate endorsement or vote-effect claim.
NW2FR010,NW2-B_R09,R9EC_S010,,NW2FS010,S257,provisional_source_log_new,https://all-okinawa.jp/492,ai_seeded,archived,no,Election proximity does not convert the rally into an endorsement without explicit evidence.
NW2FR011,NW2-B_R09,R9EC_S011,,NW2FS011,S258,provisional_source_log_new,https://ryukyushimpo.jp/news/entry-789039.html,ai_seeded,failed,no,"The temporary council is an event node, not an NGO or stable alliance."
NW2FR012,NW2-B_R09,R9EC_S012,,NW2FS012,S259,provisional_source_log_new,https://www.jstage.jst.go.jp/article/isvsjapan/19/0/19_45/_pdf/-char/en,ai_seeded,archived,no,First-party academic record; candidates are kept as generic event nodes as the paper masks names.
NW2FR013,NW2-B_R09,R9EC_S013,,NW2FS013,S260,provisional_source_log_new,https://www.shinfujin.gr.jp/wp-content/uploads/2018/11/20181003_seimei_okinawatidisen.pdf,ai_seeded,archived,no,Does not independently prove participation scale or effect on votes.
NW2FR014,NW2-B_R09,R9EC_S014,,NW2FS014,S261,provisional_source_log_new,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1025046/index.html,ai_seeded,failed,no,Does not support any civic-actor role or causal effect.
NW2FR015,NW2-B_R09,R9EC_S015,,NW2FS015,S262,provisional_source_log_new,https://ryukyushimpo.jp/news/entry-1499534.html,ai_seeded,archived,no,Ad hoc body; membership and continuity are not inferred.
NW2FR016,NW2-B_R09,R9EC_S016,,NW2FS016,S263,provisional_source_log_new,https://www.min-iren.gr.jp/news-press/shinbun/20220816_46093.html,ai_seeded,failed,no,Self-reported attendance/access; does not prove voter reach or effect.
NW2FR017,NW2-B_R09,R9EC_S017,,NW2FS017,S264,provisional_source_log_new,https://all-okinawa.jp/2005,ai_seeded,archived,no,Organizer framing is issue campaign; classification remains HR-026 because election framing was disputed.
NW2FR018,NW2-B_R09,R9EC_S018,,NW2FS018,S265,provisional_source_log_new,https://www.okinawatimes.co.jp/articles/-/1000372,ai_seeded,archived,no,"Quoted partisan interpretations are observations, not adjudicated event purpose."
NW2FR019,NW2-B_R09,R9EC_S019,,NW2FS019,S266,provisional_source_log_new,https://www.shinfujin.gr.jp/up/newspaper/12908,ai_seeded,archived,no,Endorsement is observable; audience reach and electoral effect are not.
NW2FR020,NW2-B_R09,R9EC_S020,,NW2FS020,S267,provisional_source_log_new,https://ryukyushimpo.jp/news/entry-1579341.html,ai_seeded,archived,no,Named individuals do not transfer roles to their organizations; original response sheet was not located.
NW2FR021,NW2-B_R09,R9EC_S021,,NW2FS021,S268,provisional_source_log_new,https://www.jcp.or.jp/akahata/aik22/2022-08-14/2022081403_01_0.html,ai_seeded,archived,no,Organizer identity is not named on the available page; no stable coalition inferred.
NW2FR022,NW2-C_registry_gate,RV2SP001,RV2C001,NW2FS022,S158,provisional_source_log_reuse_existing,https://miyakojima-tikasui.com/about_us.html,human_checked,archived,no,"The profile's 2018 representatives are a dated leadership observation, not a permanent roster."
NW2FR023,NW2-C_registry_gate,RV2SP002,RV2C001,NW2FS023,S204,provisional_source_log_reuse_existing,https://miyakojima-tikasui.com/,human_checked,archived,no,Self-published continuity evidence; individual scientific claims require claim-level review.
