filename,bytes,sha256,cache_role,admission_status,notes
awwa_IRS990EZ.html,165802,33ec6fb1fe9cf20010efe5dc4e363756434f01fd2d6d42efa9e5e1c06101018e,third_party_visual_render,lead_cache_not_authoritative_receipt,"ProPublica-hosted IRS e-file visual render cached during reconnaissance; useful for locating fields, but not admitted as the official W2-00 receipt."
awwa_IRS990ScheduleA.html,233949,45e49218f91c1d8fd305904d0e8e70f458d77f2c8efbe939b65e7a4f35c0d00f,third_party_visual_render,lead_cache_not_authoritative_receipt,"ProPublica-hosted IRS e-file visual render cached during reconnaissance; useful for locating fields, but not admitted as the official W2-00 receipt."
awwa_IRS990ScheduleB.html,76462,3eb832db8a802c4ade3038fc0e23582aeacc7ed7d17f833a414f3063d6d3e067,third_party_visual_render,lead_cache_not_authoritative_receipt,"ProPublica-hosted IRS e-file visual render cached during reconnaissance; useful for locating fields, but not admitted as the official W2-00 receipt."
awwa_IRS990ScheduleO.html,27584,93ea8415cd355ed335fb9fb0c4e6d1bf97610a0d9436b40b8e357dc55202e8f5,third_party_visual_render,lead_cache_not_authoritative_receipt,"ProPublica-hosted IRS e-file visual render cached during reconnaissance; useful for locating fields, but not admitted as the official W2-00 receipt."
kosc_IRS990.html,508542,52a4185c26df2ce5c7fe0cbb8930630bd6df6ac1a08eb190b6a112af4e1a1ef9,third_party_visual_render,lead_cache_not_authoritative_receipt,"ProPublica-hosted IRS e-file visual render cached during reconnaissance; useful for locating fields, but not admitted as the official W2-00 receipt."
kosc_IRS990.html.txt,47840,41ecaab5a1d149f001c324218b9c8a5a52b5d6e9a2dbf968b736d7ec8c578384,derived_text_extract,lead_cache_not_authoritative_receipt,Derived text extraction from a third-party visual render.
kosc_IRS990ScheduleD.html,128500,fa371fe50310421e711d2584fbddb18a12f766b749edca6a07a9397f0d58f511,third_party_visual_render,lead_cache_not_authoritative_receipt,"ProPublica-hosted IRS e-file visual render cached during reconnaissance; useful for locating fields, but not admitted as the official W2-00 receipt."
kosc_IRS990ScheduleI.html,63549,bd980d6089016321884b80e6132ea3a95725acdcacb27723918220cfdc7aee51,third_party_visual_render,lead_cache_not_authoritative_receipt,"ProPublica-hosted IRS e-file visual render cached during reconnaissance; useful for locating fields, but not admitted as the official W2-00 receipt."
kosc_IRS990ScheduleI.html.txt,3377,f3d0e910a85cf41be5d4f7c1702fa4ceb9aa42b26d0605cb162717b292cb1dda,derived_text_extract,lead_cache_not_authoritative_receipt,Derived text extraction from a third-party visual render.
kosc_IRS990ScheduleO.html,32146,72df906f603d4da5a6c1a107691560ab4d3a6e73caef91699cf3c13b652df9ab,third_party_visual_render,lead_cache_not_authoritative_receipt,"ProPublica-hosted IRS e-file visual render cached during reconnaissance; useful for locating fields, but not admitted as the official W2-00 receipt."
kosc_IRS990ScheduleO.html.txt,4104,56c1b430c4645eda1ac4b1724d08cf824d5498c199c22f7e6aa1aeb16c76e407,derived_text_extract,lead_cache_not_authoritative_receipt,Derived text extraction from a third-party visual render.
