case_id,ein,tax_period_yyyymm,index_year,return_type,organization_name_as_indexed,object_id,official_index_url,bulk_archive_key,xml_receipt_status,local_artifact_path
AWWA,980227149,202105,2021,990EZ,AMERICAN WELFARE AND WORKS ASSOCIATION,202122889349200212,https://apps.irs.gov/pub/epostcard/990/xml/2021/index_2021.csv,,index_match_adjacent_period_not_extracted_this_round,
AWWA,980227149,202205,2022,990EZ,AMERICAN WELFARE AND WORKS ASSOCIATION,202202899349200300,https://apps.irs.gov/pub/epostcard/990/xml/2022/index_2022.csv,2022_TEOS_XML_01A,index_match_bulk_member_not_present_on_2026-08-22,
AWWA,980227149,202305,2024,990EZ,AMERICAN WELFARE AND WORKS ASSOCIATION,202410619349200461,https://apps.irs.gov/pub/epostcard/990/xml/2024/index_2024.csv,2024_TEOS_XML_03A,official_bulk_xml_member_frozen,raw/awwa_fy2023_202410619349200461.xml
AWWA,980227149,202405,2024,990EZ,AMERICAN WELFARE AND WORKS ASSOCIATION,202443189349200514,https://apps.irs.gov/pub/epostcard/990/xml/2024/index_2024.csv,2024_TEOS_XML_11A,official_bulk_xml_member_frozen,raw/awwa_fy2024_202443189349200514.xml
KOSC,980214323,202005,2021,990,KADENA OFFICERS SPOUSES CLUB,202111469349300626,https://apps.irs.gov/pub/epostcard/990/xml/2021/index_2021.csv,,index_match_adjacent_period_not_extracted_this_round,
KOSC,980214323,202105,2022,990,Kadena Officers' Spouses' Club,202202769349300500,https://apps.irs.gov/pub/epostcard/990/xml/2022/index_2022.csv,,index_match_adjacent_period_not_extracted_this_round,
KOSC,980214323,202305,2024,990,Kadena Officers' Spouses' Club,202430969349301028,https://apps.irs.gov/pub/epostcard/990/xml/2024/index_2024.csv,2024_TEOS_XML_04A,official_bulk_xml_member_frozen,raw/kosc_fy2023_202430969349301028.xml
KOSC,980214323,202405,2025,990,Kadena Officers' Spouses' Club,202500669349300300,https://apps.irs.gov/pub/epostcard/990/xml/2025/index_2025.csv,2025_TEOS_XML_03A,official_bulk_xml_member_frozen,raw/kosc_fy2024_202500669349300300.xml
KOSC,980214323,202505,2026,990,Kadena Officers Spouses Club,202630129349300153,https://apps.irs.gov/pub/epostcard/990/xml/2026/index_2026.csv,2026_TEOS_XML_01A,official_bulk_xml_member_frozen,raw/irs_202630129349300153_public.xml
MOSCO,460598583,202105,2021,990EZ,MARINE OFFICERS SPOUSES CLUB OKINAWA,202132639349200408,https://apps.irs.gov/pub/epostcard/990/xml/2021/index_2021.csv,,index_match_adjacent_period_not_extracted_this_round,
MOSCO,460598583,202205,2023,990EZ,MARINE OFFICERS SPOUSES CLUB OKINAWA,202300259349200905,https://apps.irs.gov/pub/epostcard/990/xml/2023/index_2023.csv,2023_TEOS_XML_01A,index_match_adjacent_period_not_extracted_this_round,
MOSCO,460598583,202305,2024,990EZ,MARINE OFFICERS SPOUSES CLUB OKINAWA,202410719349201281,https://apps.irs.gov/pub/epostcard/990/xml/2024/index_2024.csv,2024_TEOS_XML_03A,official_bulk_xml_member_frozen,raw/mosco_fy2023_202410719349201281.xml
MOSCO,460598583,202405,2025,990EZ,MARINE OFFICERS SPOUSES CLUB OKINAWA,202501019349201215,https://apps.irs.gov/pub/epostcard/990/xml/2025/index_2025.csv,2025_TEOS_XML_04A,official_bulk_xml_member_frozen,raw/mosco_fy2024_202501019349201215.xml
MOSCO,460598583,202505,2026,990EZ,MARINE OFFICERS SPOUSES CLUB OKINAWA,202621539349200807,https://apps.irs.gov/pub/epostcard/990/xml/2026/index_2026.csv,2026_TEOS_XML_06A,official_bulk_xml_member_frozen,raw/mosco_fy2025_202621539349200807.xml
NOSCO,980210979,202106,2022,990,Naval Officers' Spouses' Club of Okinawa,202223199349301707,https://apps.irs.gov/pub/epostcard/990/xml/2022/index_2022.csv,,index_match_adjacent_period_not_extracted_this_round,
NOSCO,980210979,202206,2022,990,Naval Officers' Spouses' Club of Okinawa,202243219349300204,https://apps.irs.gov/pub/epostcard/990/xml/2022/index_2022.csv,,index_match_adjacent_period_not_extracted_this_round,
NOSCO,980210979,202306,2024,990,Naval Officers' Spouses' Club of Okinawa,202411349349304281,https://apps.irs.gov/pub/epostcard/990/xml/2024/index_2024.csv,2024_TEOS_XML_05A,official_bulk_xml_member_frozen,raw/nosco_fy2023_202411349349304281.xml
NOSCO,980210979,202406,2025,990,Naval Officers' Spouses' Club of Okinawa,202530159349302288,https://apps.irs.gov/pub/epostcard/990/xml/2025/index_2025.csv,2025_TEOS_XML_01A,official_bulk_xml_member_frozen,raw/nosco_fy2024_202530159349302288.xml
NOSCO,980210979,202506,2025,990,Naval Officers' Spouses' Club of Okinawa,202533199349301708,https://apps.irs.gov/pub/epostcard/990/xml/2025/index_2025.csv,2025_TEOS_XML_11B,official_bulk_xml_member_frozen,raw/nosco_fy2025_202533199349301708.xml
OESC,980346507,202006,2022,990,OKINAWA ENLISTED SPOUSES CLUB,202200619349300520,https://apps.irs.gov/pub/epostcard/990/xml/2022/index_2022.csv,,index_match_adjacent_period_not_extracted_this_round,
