seed_id,canonical_name,actor_class,origin_or_affiliation,okinawa_relevance,relationship_or_funding_lead,evidence_level,source_url,phase1_treatment,notes
X001,USO Okinawa,base_community_service_actor,US nonprofit,Centers and programs on multiple Okinawa bases,Serves U.S. service members and families; has corporate sponsors,E3,https://okinawa.uso.org/sponsors,include_actor,"Official page confirms sponsor categories and not-for-profit status; separate donation edges need source-by-source verification."
X002,Phoenix Corporation / Phoenix Park Hotel,local_business_sponsor,Local Okinawa business linked to U.S. military hospitality,Donation to USO Okinawa,USO story reports JPY 1000000 donation,E4,https://okinawa.uso.org/stories/172,include_edge,"Good example of confirmed local business -> foreign-origin service NGO support edge."
X003,American Engineering Corporation AEC,corporate_sponsor,US/Okinawa base-related contractor or company,Listed as USO Okinawa silver sponsor,Sponsorship to USO Okinawa,E3,https://okinawa.uso.org/sponsors,include_edge,"Need company profile and amount/year if used beyond sponsor edge."
X004,American Women's Welfare Association / American Welfare & Works Association,base_spouse_charity_network,US Forces spouse organizations on Okinawa,Coordinates spouse clubs and supports American/Okinawan charities,Charity coordination and donations,E3,https://www.dvidshub.net/news/87854/american-womens-welfare-association-celebrates-40-years,include_actor,"Name/alias needs cleanup: DVIDS uses American Women's Welfare Association; NOSCO page uses American Welfare & Works Association."
X005,Naval Officers' Spouses' Club of Okinawa NOSCO,base_spouse_club,US Forces spouse club on Okinawa,Member/related club in AWWA network,Charitable/social service; possible AWWA edge,E3,https://nosco.wildapricot.org/awwa,include_actor,"Need direct NOSCO financial/charity recipient records for funding edges."
X006,Kadena Officers' Spouses' Club KOSC,base_spouse_club,Kadena Air Base spouse club,Supports/promotes military community in Okinawa,Non-profit social/educational/charitable activities,E3,https://www.kadenaofficersspousesclub.com/,include_actor,"Potential edge to AWWA and charity recipients; needs annual grant recipient list."
X007,Okinawa Enlisted Spouses Club OESC,base_spouse_club,US military enlisted spouse club on Okinawa,Donation to USO and local/military community work,Reported 501(c)(3) and donation to USO,E3,https://okinawa.stripes.com/community-news/okinawa-enlisted-spouses-club-uso-okinawa.html,include_actor,"Stripes is useful but should be cross-checked with OESC official records."
X008,American Red Cross Okinawa,base_community_service_actor,American Red Cross / base office,Volunteer and emergency support in Camp Foster / U.S. Naval Hospital Okinawa,Manages hospital volunteer program,E4,https://okinawa.tricare.mil/About-Us/Employment-Opportunities/Volunteer-Red-Cross,include_actor,"Service/welfare node, not movement actor."
X009,Navy-Marine Corps Relief Society Okinawa,base_community_service_actor,US Navy-Marine nonprofit relief society,Camp Foster office and relief services,Emergency assistance and financial counseling,E4,https://installations.militaryonesource.mil/military-installation/camp-s-d-butler-camp-foster-kinser-courtney-hansen-schwab-and-mcas-futenma/base-essentials/emergency-assistance,include_actor,"Service/welfare node; check NMCRS official location page later."
X010,沖縄NGOセンター,local_international_cooperation_ngo,Okinawa NPO / MOFA NGO consultant,International cooperation/development education/multicultural coexistence,MOFA NGO consultant and JICA Okinawa related actor,E4,https://www.mofa.go.jp/mofaj/gaiko/oda/about/shimin/pagew_000001_00002.html,include_actor,"Important bridge between Okinawa NPO ecology and MOFA/JICA international cooperation."
X011,JICA沖縄,public_institution_partner,Japanese public development agency,Okinawa international cooperation hub,Partner/context node for ONC and development education,E4,https://www.jica.go.jp/domestic/okinawa/activities/kaihatsu/festival/syutten/31.html,include_context_node,"Institutional node, not NGO."
X012,TOMODACHI Initiative,public_diplomacy_or_exchange_actor,U.S.-Japan Council / U.S. Embassy Tokyo / Government of Japan,Potential Okinawa youth/exchange network relevance,Public-private partnership,E4,https://www.usjapancouncil.org/tomodachi/,include_watchlist,"Include only when Okinawa-specific event/participant/implementer is confirmed."
X013,U.S. Consulate General Naha Okinawa Youth Council Program,public_diplomacy_grant_program,U.S. Mission to Japan / Department of State,Okinawa youth/public diplomacy program,Grant opportunity; recipient organization not yet confirmed,E3,https://grants.gov/search-results-detail/351830,include_watchlist,"Do not infer recipient or completed funding until award/result is found."
X014,NED National Endowment for Democracy,funder_or_intermediary,US democracy foundation,No direct Okinawa recipient found in quick scan,General Asia/regional grantmaking and Japan-related regional activity,E2,https://www.ned.org/wp-content/uploads/2025/04/Asia-Grant-Listing-FY24.pdf,watchlist_only,"Do not claim Okinawa funding without specific recipient evidence."
X015,Peace Winds Japan,international_ngo,Japan-based international NGO,Possible Okinawa/Sakishima relevance through separate projects; not base-issue confirmed,USAID funding demonstrated for disaster relief,E4,https://en.peace-winds.org/1790/,include_watchlist,"Use as method example for USAID funding evidence; include in main sample only if Okinawa issue link is confirmed."
