action_id,phase,target,action_kind,object_id,field_or_record,current_value,proposed_value,decision_basis,authorization,blocking_condition,non_inference,disposition,hold_code,write_eligible
USI-005,actor,actor registry,conditional_insert,X018,canonical_name;actor_class;origin_type;legal_status,absent,Marine Thrift Shop Okinawa;base_community_service_actor;us_origin;us_501c3_nonprofit,SR-HR-001,principal_decision_complete_writeback_not_authorized,X018 occupied or baseline drift,Identity approval does not approve relations stance or funding,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-006,actor,actor registry,conditional_insert,X019,canonical_name;actor_class;origin_type;legal_status,absent,Marine Gift Shop;base_community_service_actor;us_origin;unresolved,SR-HR-002,principal_decision_complete_writeback_not_authorized,X019 occupied or source identity mismatch,Historical charter does not prove current affiliation,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-007,actor,actor registry,conditional_insert,X020,canonical_name;actor_class;origin_type;legal_status,absent,Neighborhood Pantry – Camp Butler;base_community_service_actor;us_origin;unknown,SR-HR-003,principal_decision_complete_writeback_not_authorized,X020 occupied or actor autonomy contradiction,MTS CARES and CLR-37 are not parent organizations,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-008,actor,actor registry,conditional_insert,X021,canonical_name;actor_class;origin_type,absent,North Island Okinawa Spouses Club;base_spouse_club;us_origin,SR-HR-004,principal_decision_complete_writeback_not_authorized,X021 occupied,Positive contribution language is LEG1 not social effect,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-009,actor,actor registry,conditional_insert,X022,canonical_name;actor_class;origin_type;scope,absent,Army Emergency Relief;military_family_relief_actor;us_origin;national_actor,SR-HR-005,principal_decision_complete_writeback_not_authorized,X022 occupied,Torii presence is not a separate Okinawa legal actor,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-010,actor,actor registry,conditional_insert,X023,canonical_name;actor_class;origin_type;scope,absent,Air & Space Forces Aid Society;military_family_relief_actor;us_origin;national_actor,SR-HR-005,principal_decision_complete_writeback_not_authorized,X023 occupied,Kadena presence is not a separate Okinawa legal actor,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-011,actor,actor admission overlay,preserve_defer,SA016;SA017,admission decision,defer_second_source,defer_second_source,SR-HR-006,design_only,none,Names do not establish Okinawa service relations,hold,DEFER_SECOND_SOURCE,no
USI-012,lifecycle,actor lifecycle overlay,insert_observation,X017,last_observed;current_status;end_date,FY2018 filing;needs_second_source;blank,last_observed=FY2018;current_status=unknown;end_date=blank,SR-HR-007,principal_decision_complete_writeback_not_authorized,source or actor mismatch,Roster or BMF absence does not prove dissolution,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-017,money,money flows,insert_typed_fact,RF002,provider;recipient;amount;currency;period;semantics,candidate,X007;X004;8479;USD;2024-07-01/2025-06-30;exact_reported,SR-HR-009,principal_decision_complete_writeback_not_authorized,source receipt or endpoint mismatch,No downstream use political influence or other-year inference,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-018,money,money flows,hold,RF001,flow creation,candidate 2580 USD,no flow,SR-HR-008,must_remain_deferred,recipient filing structure unresolved,F025 and F007 remain separate historical observations,hold,DEFER_UNDERLYING_FILING_OR_CROSSWALK,no
USI-019,affiliation,affiliation control,insert_typed_fact,SA010-X004-MEM,relation family and direction,absent,X004 to X018 network_membership,SR-HR-010,principal_decision_complete_writeback_not_authorized,X018 admission not applied,Membership does not prove control or funding,hold,ACTOR_SOURCE_AND_SELECTION_FRAME_PENDING,no
USI-020,affiliation,affiliation control,insert_typed_fact,SA010-X004-CHANNEL,relation family and direction,absent,X018 to X004 contributing_member_to_grant_selection_distribution_channel,SR-HR-010,principal_decision_complete_writeback_not_authorized,X018 admission not applied,Channel is not exclusive permanent or a generic partnership,hold,ACTOR_SOURCE_AND_SELECTION_FRAME_PENDING,no
USI-021,accounting,resource accounting observations,insert_typed_fact,USAR001,amount;currency;period;semantics,276345.50 USD candidate receipt wording,276345.50;USD;2020-07-01/2021-06-30;court_award_amount_reported_on_accrual_filing,USHR001,principal_decision_complete_writeback_not_authorized,fee order or filing identity contradiction,Not cash receipt donation grant budget or case expenditure,hold,SOURCE_AND_SELECTION_FRAME_PENDING,no
USI-022,accounting,resource accounting observations,insert_typed_fact,USAR001-JF,amount;currency;date;semantics,absent,280000;USD;2021-03-05;Judgment_Fund_payment_mechanism_record,USHR001,principal_decision_complete_writeback_not_authorized,Treasury locator missing,Do not merge with 276345.50 or infer full direct payment to Earthjustice,hold,FORMAL_SOURCE_RECEIPT_AND_SELECTION_FRAME_PENDING,no
USI-023,person,person actor time,insert_observations,USAPN008;USAPN009,person;actor;role;role_observed_at,candidate,Hideki Yoshikawa;A002 and A001;two sourced roles;2021-02-08,USHR004;USN-ARCH-04,principal_decision_complete_writeback_not_authorized,person identity or source mismatch,Shared person does not generate A001-A002 organization edge,hold,SELECTION_FRAME_PENDING,no
USI-024,person,person actor time,revise_time_semantics,USAPN006;USAPN007;USAPN010;USAPN011,role_start;role_observed_at,candidate mixed semantics,role_start blank unless explicit;retain observed dates,USHR002,principal_decision_complete_writeback_not_authorized,non-target field drift,Repeated observation does not prove uninterrupted tenure,hold,SELECTION_FRAME_PENDING,no
USI-025,action,action institution,revise_endpoint,USAA005,target endpoint,A019,EO_R5_FUTAMI_TEN_DISTRICTS or raw source label,USHR003;USN-ARCH-04,principal_decision_complete_writeback_not_authorized,direct source identity cannot resolve,Off graph; no membership funding stable alliance or continuity,hold,EVENT_ONLY_ENDPOINT_AND_SELECTION_FRAME_PENDING,no
USI-026,action,action institution,revise_endpoint,USAA004,target endpoint,A028,Network for Okinawa research endpoint,USHR005,principal_decision_complete_writeback_not_authorized,endpoint actor gate incomplete,Historical member or works-with observation only,hold,RESEARCH_ENDPOINT_AND_SELECTION_FRAME_PENDING,no
USI-027,action,action institution,normalize_endpoint,USAA006;USAA007,target endpoint,candidate labels,Protect Henoko and Takae NGO Network event-only; ZHAP research endpoint,USHR006,principal_decision_complete_writeback_not_authorized,identity crosswalk incomplete,No registry actor dyad or stable alliance,hold,ENDPOINT_CROSSWALK_AND_SELECTION_FRAME_PENDING,no
USI-028,action,action institution,insert_event_observation,A033-2019,bounded role,absent,FoE Japan co-organizer and submitter in 2019 Henoko petition,USHR007,principal_decision_complete_writeback_not_authorized,source locator mismatch,Does not prove continuous project or complete partnership,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-033,sponsor,affiliation or resource observation,insert_snapshot,SA001,observed_at and tier,current page candidate,2026-08-19 dated sponsor roster with exact reported tiers,SR-HR-011,principal_decision_complete_writeback_not_authorized,duplicate of F002 F034 or F035,Tier does not imply amount start date governance or stance,hold,SPONSOR_SNAPSHOT_SCHEMA_SEAM_MISSING,no
USI-035,source,source admission plan,dedupe_before_ids,USNSRC-P*,normalized URL and official receipt,58 candidate refs;57 URLs;4 existing exact;53 new upper bound,freeze exact source plan before any S-ID,architecture checkpoint,design_only,IRS interface substitution and near-duplicate review incomplete,Source inclusion approves no relation or claim,hold,SOURCE_PLAN_NOT_FROZEN,no
USI-037,publication,publication adapter and frontend,prohibit,ALL_USN_RESEARCH_ROWS,publication eligibility,not_frontend_ready,remain absent,architecture checkpoint,explicitly_not_authorized,separate publication approval missing,No research-only row leaks into client release,exclude,PUBLICATION_NOT_AUTHORIZED,no
