hr_id,task_name_cn,namespace_state,priority_lane,work_lane,csv_paths,csv_file_count,actual_row_count_total,decision_row_count,blank_decision_row_count,completed_decision_row_count,ancillary_row_count,local_flagged_row_count,decision_schema,hard_prerequisites,recommended_predecessors,central_tables_or_state_affected,module_figure_or_brief_effects,report_figure_assets,report_nonfigure_assets,missing_asset_gates,rerun_or_merge_after_review,namespace_or_count_issue,non_inference_boundary
HR016,先岛框架语义与来源定位,active_unique_live_queue,P1,online_human,outputs/R04_sakishima_frame_corpus_v0/hr016_review_items_v0.csv,1,12,12,12,0,0,0,hr016_review_items_v0.csv:review_decision,none,before final Sakishima dossier assembly,R4 formal safe-fact/entity–frame/source-locator layer; no automatic registry merge,R4 entity–frame figure; three-place source/frame figure; R4 brief,none_current_report_gate,none_current_report_gate,MA020,"merge accepted/revised R4 facts and locators, then regenerate R4 figures/brief and MA020",none,"Named legislators, anonymous residents, administrative nodes and persistent organizations remain distinct."
HR017,公投程序阶段与角色扩展层,active_unique_live_queue,P1,mixed_online_local,outputs/R09_referendum_process_v0/hr017_review_queue_v0.csv,1,18,18,18,0,0,9,hr017_review_queue_v0.csv:decision,per-row local evidence for 9 flagged rows,review online half before optional expanded R9 regeneration; local half may remain queued,R9 formal stage/role tables only if accepted; reviewed-all provenance retained,optional expanded R9 timeline/gate layer only; accepted-only F027/F028 remain ready and unblocked,none_current_report_gate,none_current_report_gate,none,"if rows are accepted/revised, merge bounded stages/roles and regenerate only the expanded R9 layer",none,Opinion ads or opposition movements are not referendum initiators/administrators; person and organization roles stay separate.
HR018,行政协作、金额与服务关系,active_unique_live_queue,P0,mixed_online_local,outputs/R10_administrative_collaboration_v0/HR018_relation_review_v0.csv;outputs/R10_administrative_collaboration_v0/HR018_source_prerequisites_v0.csv,2,34,26,26,0,8,2,"HR018_relation_review_v0.csv:one_of(accept,revise,reject);HR018_source_prerequisites_v0.csv:ancillary_no_decision",resolve 8 HR018 source prerequisites before their affected relation rows,complete before HR021 items 001–007 and before final R10/schema freeze,R10 annual relation layer and approved proposals to central support/relation sample; source-log prerequisites,F008; F031; F032; R10 mechanism/amount figures and brief,F008;F031;F032,A032;A033;A034;A037,MA007;MA017,"merge only human-accepted/revised relation rows, then regenerate R10 tables/figures; release HR021-001–007","decision schema uses three blank accept/revise/reject columns rather than one decision field; 8 source rows are prerequisites, not extra decisions","Project cost, aggregate, NOFO, sponsor tier, membership and service presence are not actor payments or political stance evidence."
HR019,R1/R2 分类词、桥梁机制与议题边范围,active_unique_live_queue,P0,mixed_online_local,outputs/R01_R02_actor_issue_v1/HR019/HR019_review_v0.csv;outputs/R01_R02_actor_issue_v1/HR019/HR019_bridge_actor_review_queue_v0.csv;outputs/R01_R02_actor_issue_v1/HR019/HR019_edge_scope_review_queue_v0.csv,3,104,104,104,0,0,3,HR019_review_v0.csv:review_decision;HR019_bridge_actor_review_queue_v0.csv:review_decision;HR019_edge_scope_review_queue_v0.csv:review_decision,none within HR016–032; external HR010 decisions remain part of final central freeze,decide 9 controlled-term rules before 30 bridge and 65 scope rows; merge before regenerating HR029,actor_class controlled mapping; actor–issue scope/classification and accepted edge layer,F009–F012; R1/R2 tables and explanatory brief,F009;F010;F011;F012,A001;A002;A003;A004;A005,MA001;MA002;MA003;MA008;MA012;MA017;MA021;MA022,"merge rules and accepted/revised edge scopes, regenerate R1/R2, then regenerate HR029 candidate packet","docs/human_review_tasks_v0.md says 63 edge-scope rows, but the live CSV and current control docs contain 65",Cross-issue appearance is not stable brokerage; actor–issue edges do not become actor–actor alliances.
HR020,R5 名称、别名与名单切分,active_unique_live_queue,P1,online_human,outputs/R05_coaction_v1/hr020_review_queue_v0.csv,1,14,14,14,0,0,0,hr020_review_queue_v0.csv:decision,none,complete before final alias/schema freeze to avoid a second entity-crosswalk rerun,event-participant entity crosswalk and alias/segmentation layer; no automatic actor-registry additions,"F018/F019 participation, repeat-bridge and overlap outputs",F018,A013,MA009,"regenerate participation edges, overlap/repeat counts, figures and brief while preserving source_name",task book review-package list omits the live hr020_review_queue_v0.csv path even though it is the 14-row decision queue,Alias acceptance changes crosswalk/counts only; co-signing and repeat appearance are not alliances.
HR021,R6/R7/R11 下游纳入与 analytical seed,active_unique_live_queue,P1,dependent_online_human,outputs/R06_R07_R11_pathways_v1/HR021_review_items_v0.csv,1,8,8,8,0,0,0,HR021_review_items_v0.csv:review_decision,HR018 for items HR021-001–007; item HR021-008 has no HR018 dependency,review seed item 008 independently; hold items 001–007 until HR018 merge,R6/R11 entry-mode inclusion layer and analytical-seed disposition; no re-review of HR018 facts,optional R6/R7 pathway and R11 entry expansion; current accepted figures remain bounded,none_current_report_gate,none_current_report_gate,none,"after HR018, include/revise/exclude downstream observations and regenerate affected pathway/entry outputs",none,Analytical seeds require independent factual directed-edge evidence before promotion.
HR022,跨模块来源元数据与支持范围,active_unique_live_queue,P0,online_human,outputs/phase1_source_integration_v1/HR022_source_metadata_review_v0.csv,1,49,49,49,0,0,0,HR022_source_metadata_review_v0.csv:decision,none,complete before source/public-data/report freeze; may run parallel with fact review,"source-log metadata, evidence level and bounded support scope only",no fact figure approval; downstream citations/locators only,none_current_report_gate,none_current_report_gate,MA012;MA017;MA021,"merge metadata/support-scope decisions, refresh source crosswalks and public-data/report indexes",none,"Archive success or source inclusion does not approve an actor, edge, amount, role or interpretation."
HR023,覆盖审计（保留编号，无人审任务）,reserved_no_live_task,no_task,mechanical_only,,0,0,0,0,0,0,0,none,none,none,none; coverage audit is mechanical aggregation,coverage figures may be regenerated mechanically after final data freeze,none_current_report_gate,none_current_report_gate,none,no human decision merge,"intentional reserved namespace; status artifact exists, but no live CSV queue",Do not invent blank review items for mechanical aggregation.
HR024,既有 actor 议题边补证,active_unique_live_queue,P0,online_human_with_exhausted_item,outputs/edge_activation_v1/HR024_edge_activation_review_v0.csv,1,8,8,8,0,0,0,HR024_edge_activation_review_v0.csv:decision,prior HR014 anchors already satisfied for A076/A086; A073 still lacks identity closure,merge before R1/R2 final regeneration and before regenerating HR029,accepted/revised actor–issue edge evidence for A073/A076/A086,R1/R2 and place–issue downstream figures after central edge merge,none_current_report_gate,none_current_report_gate,MA001;MA002;MA012;MA017;MA021;MA022,merge accepted/revised edges only; keep A073 inactive unless identity evidence closes; regenerate R1/R2 and HR029 inputs,none,A073 is online_exhausted/E0 and cannot be activated from name similarity or legacy-list appearance.
HR025,actor–place 语义与 AP123 键冲突,active_unique_live_queue,P0,online_human,outputs/R03_spatial_dossier_v1/HR025_actor_place_semantics_review_v0.csv,1,41,41,41,0,0,0,HR025_actor_place_semantics_review_v0.csv:decision,none,complete AP123 and all 41 semantics before regenerating HR029/place outputs,actor–place semantic field and AP123 place key (P006 Camp Schwab vs P007 Camp Foster),F013–F015; R3 semantic tables/dossier; MA020,F013;F014;F015,A006;A007;A008,MA002;MA004;MA012;MA017;MA020;MA021;MA022,"apply human decision to AP123 and accepted semantics, regenerate R3 outputs, then regenerate HR029; HR029 must not repair AP123",exclusive decision authority for AP123; any HR029 mechanical correction would be a task-scope conflict,"Target, site presence, event location, headquarters and institutional scope remain distinct."
