batch_order,batch_id,batch_name_cn,priority_lane,work_lane,hr_scope,row_scope,decision_rows,ancillary_rows,entry_condition,why_this_order,merge_or_rerun_after,unblocks,do_not_do
00,B00_SOURCE_PREFLIGHT,来源前置与元数据清理（可并行）,P0,online_human/source_only,HR018-source;HR022;HR030,HR018 source prerequisites=8; HR022=49; HR030=22,71,8,now,"fix locators/metadata/archive prerequisites before relation, election and registry citations to avoid reopening source questions",merge source metadata/support-scope and resolve HR018 source prerequisites; refresh source crosswalk only,HR018 affected rows; MA012/MA021 source freeze; cleaner HR026/HR027 review context,"source inclusion/archive success does not approve actors, roles, relations, amounts or interpretations"
01,B01_REGISTRY_GATE,registry 价值门槛先决批,P0_first,online_human,HR027,all 4 decision rows,4,0,now,HR029 is dynamic over registry state; deciding HR027 first prevents freezing the current 118-actor snapshot,"main thread assigns A IDs only to accepted candidates, merges registry, then regenerates HR029 inputs",registry minimum decision; dynamic actor/schema audits; MA001/MA002/MA008/MA012/MA021/MA022,do not accept candidates merely to reach 120; do not auto-create central edges
02,B02_CORE_FACT_INPUTS,中央 actor／issue／place 冻结输入批,P0,online_human with explicit local exceptions,HR019;HR024;HR025,HR019 non-local=101 (rules 9 first); HR024 A076/A086=7; HR025=41 including AP123,149,0,may start now; final central merge follows HR027 actor-ID assignment,"these decisions change classifications, issue edges, place semantics and the inputs used to regenerate HR029",merge accepted/revised central values once; apply AP123 only from HR025; regenerate R1/R2/R3 and HR029 inputs,"MA001–MA004, MA008, MA012, MA020–MA022 and schema regeneration",HR029 must not repair AP123; candidate issue edges are not stable actor–actor ties
03,B03_ELECTION_INTERFACE,选举—市民组织接口事实批,P0,online_human,HR026,all 19 decision rows,19,0,prefer after/alongside HR030 metadata cleanup; no hard fact dependency,freeze bounded actor–event roles before rebuilding R9 election tables/figures and drafting report claims,regenerate F029/F030 and A029–A031 from accepted/revised rows only,"MA006, MA011 and the R9 election part of MA017","do not infer votes, turnout, winners' causality, policy effects or registry status for candidates/parties"
04,B04_R10_RELATIONS,R10 敏感关系批,P0,mixed_online_local,HR018-relations-online,24 non-local relation decisions after 8 source prerequisites; 2 local rows move to B07,24,0,affected source prerequisite must be resolved first,HR018 is the factual gate for R10 and for seven downstream HR021 inclusion decisions,merge only human-accepted/revised relations; regenerate R10 once; then release HR021-001–007,"F008/F031/F032, MA007, R10 portion of MA017, HR021-001–007","do not turn project cost, NOFO, aggregate, service presence or sponsor tier into payment/funding/stance"
05A,B05A_SEED_INDEPENDENT,独立 analytical seed 判断,P1,online_human,HR021-008,1 independent seed decision,1,0,now,item 008 has no HR018 prerequisite and should not be held behind sensitive relation review,retain as seed unless independent factual directed-edge evidence supports promotion,bounded R6/R7 pathway interpretation,do not promote an analytical construction into a factual or causal edge without independent evidence
05B,B05B_HR018_DOWNSTREAM,HR018 后的 R6/R11 纳入批,P1_dependent,online_human_after_HR018,HR021-001–007,7 dependent inclusion decisions,7,0,corresponding HR018 relation is accepted or revised,these rows decide downstream use only and must not duplicate or pre-empt the HR018 fact review,include/revise/exclude downstream observations and regenerate affected R6/R11 outputs once,optional R6/R11 expansion layer,do not re-review the same relation fact or infer funding direction/government endorsement/political stance
06,B06_MODULE_ALIAS_PRE_FREEZE,模块语义与别名预冻结批,P1,online_human,HR016;HR020;HR032;HR017-online,HR016=12; HR020=14; HR032=8; HR017 online=9,43,0,now; exclude rows lacking required local evidence,resolve online module semantics and entity crosswalks before one final schema/alias freeze; HR032 remains independent of current R10 source-label figures,regenerate R4/R5 and optional R9 expansion layers; apply HR032 only to a future canonical actor/JV/member crosswalk; feed only accepted alias/crosswalk changes into final freeze,"MA009, online portion of MA020, cleaner HR029 alias inputs and future actor-level R10 crosswalks","do not turn event-only names or S002 source labels into actors, opinion-ad participation into referendum administration, co-signing into alliance, or JV project cost into member payment"
07,B07_LOCAL_LANE,当地／线上耗尽保留队列,local,local_or_new_primary_evidence,HR017-local;HR018-local;HR019-local;HR024-A073,explicit local flags: HR017=9; HR018=2; HR019=3; plus A073 online-exhausted conditional item,15,0,required local/primary material obtained; A073 identity closure obtained,keep genuinely local gaps visible without blocking safe accepted-only online figures or forcing unsupported decisions,merge only after source-specific human review; otherwise retain local/online-exhausted status,"expanded R9 layer, residual R10/R1/R2 items and fuller local dossier","do not fill decisions from AI summaries, unavailable archives or name similarity"
08,B08_MERGE_REGENERATE_HR029,中央合并与 HR029 重生闸门,P0_process_gate,main_thread_mechanical_merge,HR027→HR029;HR019;HR024;HR025;external HR010;recommended HR018/HR020,0 human decisions; regeneration step,0,0,HR027 accepted actors assigned/merged; HR019/HR024/HR025 and external HR010 merged; AP123 resolved by HR025,"prevents reviewing a stale 118-actor, pre-AP123, pre-edge snapshot and minimizes repeated global regeneration",rerun dynamic schema/alias audit and replace the HR029 review packet with the regenerated current-state packet,valid HR029 review; final global count/schema/alias/place/venue/relation/action freeze,do not execute decisions from the current pre-regeneration HR029 snapshot
09,B09_SCHEMA_FREEZE,重生后的 schema／alias 冻结批,P0_after_regeneration,online_human_after_dependencies,HR029,current packet has 34 rows but must be regenerated before review,34,0,B08 completed and regenerated packet identity/count verified,one final controlled-vocabulary and alias decision pass after actor/edge/place state is stable,freeze schema/alias/place/venue/relation/action vocabularies; run cross-table lint; regenerate schema-sensitive figures,"MA001–MA004, MA007/MA008, MA012, MA017, MA021/MA022","do not merge national/local organizations, predecessors/successors, litigation rounds, counsel/plaintiff groups; do not touch AP123"
10,B10_INTERPRETATION_LOCK,报告解释强度终审批,P0_final_wording,principal_investigator_judgment,HR031,all 3 interpretation decisions,3,0,factual/source/schema gates frozen enough to draft final report wording,locking interpretive strength last avoids rewriting the report after factual changes,apply to report/paper prose and rerun claim audit only,MA017 and MA018 wording lock,"HR031 changes interpretation strength only; it cannot approve central facts, roles, edges, funding or causality"
11,B11_RESERVED_NO_TASK,保留零任务编号,no_task,do_not_schedule,HR023;HR028,0 rows,0,0,HR023/HR028 remain no-task unless genuinely new facts arise,preserves the two mechanical namespaces without fabricating review work,none,none,do not create blank decisions for mechanical audits
