removal_id,scenario_id,dropped_source_ids,edge_id,actor_id,issue_id,issue_label,evidence_level,source_ref,stated_support_ref_count,removal_reason,research_status,display_tier,claim_status,review_status,interpretation_limit
H1RE0001,SOURCE_DROP_S003,S003,AI006,A003,I004,dugong,E3,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0002,SOURCE_DROP_S003,S003,AI007,A003,I005,biodiversity,E3,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0003,SOURCE_DROP_S003,S003,AI010,A005,I004,dugong,E4,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0004,SOURCE_DROP_S003,S003,AI011,A005,I005,biodiversity,E4,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0005,SOURCE_DROP_S003,S003,AI012,A006,I005,biodiversity,E4,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0006,SOURCE_DROP_S003,S003,AI013,A006,I001,anti_base,E4,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0007,SOURCE_DROP_S003,S003,AI149,A062,I005,biodiversity,E4,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0008,SOURCE_DROP_S004,S004,AI008,A004,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0009,SOURCE_DROP_S004,S004,AI009,A004,I003,Henoko,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0010,SOURCE_DROP_S004,S004,AI069,A021,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0011,SOURCE_DROP_S004,S004,AI070,A021,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
