incidence_id,actor_id,actor_name,source_ref_token,source_id,source_title,source_type,source_year,source_resolution_status,incidence_basis,proposed_host_role,host_mapping_status,producer_role_status,self_produced_or_external,source_language,research_status,display_tier,claim_status,review_status,interpretation_limit
H1AS0001,A001,Okinawa Environmental Justice Project,S006,S006,OEJP 71 organizations MMC request,international_advocacy,2020,resolved_source_id,actor_registry.source_refs,source_page_host_candidate,proposal_not_human_reviewed,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0002,A001,Okinawa Environmental Justice Project,S007,S007,The Plight of the Okinawa Dugong,academic_article,2020,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0003,A001,Okinawa Environmental Justice Project,S008,S008,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,local_news,2020,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0004,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,S007,S007,The Plight of the Okinawa Dugong,academic_article,2020,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0005,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,S057,S057,ジュゴン保護キャンペーンセンター公式サイト,organization_site,2026,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0006,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,S058,S058,IUCN member page: Save the Dugong Campaign Center,ngo_directory,2026,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0007,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,S059,S059,GEOC団体情報: ジュゴン保護キャンペーンセンター,ngo_directory,2019,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0008,A003,ジュゴンネットワーク沖縄,S003,S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,ngo_statement,2010,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0009,A004,日本自然保護協会,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,source_page_host_candidate,proposal_not_human_reviewed,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0010,A005,WWFジャパン,S003,S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,ngo_statement,2010,resolved_source_id,actor_registry.source_refs,source_page_host_candidate,proposal_not_human_reviewed,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
