compatibility_id,package_id,component,dependency_type,old_snapshot,current_snapshot,compatibility_status,impact,reason,required_action,research_status,claim_status,review_status,frontend_eligibility,central_writeback,interpretation_limit
H1C01,H1_v1_v2,actor_issue_current_gate,central actor-issue counts and connected actors,238 active / 103 connected,283 active / 116 connected,recompute_required,high,"All H1 degree, review-layer and graph-size denominators changed.",Use the overlay; keep v1/v2 as historical snapshots.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Compatibility classification only; no fact, relation, or interpretive claim is promoted."
H1C02,H1_v1_v2,review_layer_split,reviewed versus candidate actor-issue edges,65 reviewed / 173 candidate,125 reviewed / 158 candidate,recompute_required,high,The human-review selection layer changed materially.,Generate dynamic layer labels in H1 v3.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Compatibility classification only; no fact, relation, or interpretive claim is promoted."
H1C03,H1_v1_v2,source_dependency_s004,E3/E4 S004 support deletion,234 baseline; 41 removed; 25 fully lost,271 baseline; 40 removed; 25 incident; 24 fully lost,recompute_required,high,Edge loss and actor incidence must be kept separate.,Use current source-dependency and scenario tables.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Compatibility classification only; no fact, relation, or interpretive claim is promoted."
H1C04,H1_v1_v2,method_literature_and_noninference,method references and source/actor deletion boundary,fixed,unchanged,invariant,none,No central count is embedded in the non-inference rule.,Carry forward unchanged.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Compatibility classification only; no fact, relation, or interpretive claim is promoted."
H1C05,H1_v2,strict_triple_graph_object,same-source actor-place-issue triples,312 rows,305 rows; 298 E3/E4; 71 dual-reviewed; 97 event-attached,recompute_required,medium,The graph-object denominator and input hash changed.,Refresh H1 graph-object table in v3.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Compatibility classification only; no fact, relation, or interpretive claim is promoted."
H2C01,H2_two_ecologies_v1,service_core,registry-defined service comparison subset,9 actors / 11 issue edges,9 actors / 11 issue edges,invariant,none,The service-core rule and its issue rows are byte-equivalent.,"Retain as a bounded registry subset, not a census.",research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Compatibility classification only; no fact, relation, or interpretive claim is promoted."
H2C02,H2_two_ecologies_v1,accountability_comparison,anchor-selected comparison actors,65 total / 18 reviewed-anchor / 47 candidate-only,77 total / 35 reviewed-anchor / 42 candidate-only,recompute_required,high,Twelve actors entered through newly active anchor edges.,Issue H2 v2 with a new comparison table; do not overwrite v1.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Compatibility classification only; no fact, relation, or interpretive claim is promoted."
H2C03,H2_two_ecologies_v1,encoded_cross_ecology_relations,typed dyadic/event/R10 bounded inputs,0 direct encoded cross-group organization relations,0 dyadic / 0 event / 0 R10,invariant,low,The bounded relation observation remains zero after the comparison-set recomputation.,Keep the wording 'unencoded in bounded inputs'; do not infer no shared people or no relation.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Compatibility classification only; no fact, relation, or interpretive claim is promoted."
H2C04,H2_service_universe_v1,official_directory_and_person_rows,source-defined service universe and person-role observations,82 PO rows / 55 person-role rows,unchanged source-bound research rows,invariant,none,These rows do not derive from the actor-issue review split.,Preserve as a separate research-only input.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Compatibility classification only; no fact, relation, or interpretive claim is promoted."
H2C05,H2_service_universe_v1,accountability_reverse_search_coverage,bounded nonrandom search denominator,18 nonrandom accountability anchors,18 searched anchors versus current 77-actor comparison set,not_comparable,medium,The search was deliberately bounded and is not a full denominator.,Do not relabel 18 searches as coverage of the current group.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Compatibility classification only; no fact, relation, or interpretive claim is promoted."
H2C06,H2_recipient_permeability_v1,recipient_and_co_mention_package,source-defined recipients plus bounded search denominator,fixed recipient rows plus 18 nonrandom searches,recipient rows invariant; current-group coverage not comparable,not_comparable,medium,"Recipient observations remain valid candidates, but the search is not symmetric or closed.",Keep recipient rows; version any expanded search separately.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Compatibility classification only; no fact, relation, or interpretive claim is promoted."
