analysis_id,graph_object,subset,x_measure,y_measure,old_actor_count,current_actor_count,old_spearman_rho,current_spearman_rho,compatibility_status,impact,research_status,claim_status,review_status,frontend_eligibility,central_writeback,interpretation_limit
H1A001,actor_issue_bipartite,all_current_actors,linked_source_count,active_actor_issue_degree,121,121,0.331,0.401,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A002,actor_issue_bipartite,all_current_actors,linked_source_count,active_actor_issue_betweenness,121,121,0.215,0.26,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A003,actor_issue_bipartite,actor_issue_connected_only,linked_source_count,active_actor_issue_degree,103,116,0.368,0.409,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A004,actor_issue_bipartite,okinawa_local_only,linked_source_count,active_actor_issue_degree,57,57,0.469,0.57,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A005,actor_issue_bipartite,actors_without_accepted_case_role,linked_source_count,active_actor_issue_degree,109,109,0.22,0.347,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A006,actor_issue_bipartite,exclude_actors_with_any_S004_only_issue_edge,linked_source_count,active_actor_issue_degree,96,96,0.333,0.349,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A007,actor_issue_bipartite,all_current_actors,non_big3_linked_source_count,active_actor_issue_degree,121,121,0.34,0.475,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A008,actor_issue_bipartite,all_current_actors,non_issue_linked_source_count,active_actor_issue_degree,112,112,-0.138,0.103,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A009,actor_issue_bipartite,all_current_actors,source_channel_count,active_actor_issue_degree,121,121,0.345,0.38,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A010,strict_same_source_triples,all_current_actors,linked_source_count,strict_unique_place_issue_pair_count,121,121,0.179,0.102,recompute_required,low,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
