receipt_id,publisher,title,source_family,url,retrieved_at,artifact_path,sha256,mime_type,exact_locator,supports_row_ids,archive_status,notes,review_status,package_scope,frontend_status,central_writeback
W2D-SR001,A009,A009 official official_roster_or_team,official_roster_or_team,https://earthjustice.org/about/staff,2026-08-22,,,text/html,Current staff page; Abigail Dillen listed as President; not backdated,A009,blocked_403_or_external_only,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR002,A009,A009 official applicable_990_part_vii_schedule_i,applicable_990_part_vii_schedule_i,https://earthjustice.org/document/irs-form-990-fy2024,2026-08-22,,,text/html,FY2024 Form 990; Schedule I pp. 46-48,A009,blocked_403_or_external_only,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR003,A009,A009 official annual_report_or_financial,annual_report_or_financial,https://earthjustice.org/about/financial-statements,2026-08-22,outputs/us_presence_network_wave2_w2_d_v1/artifacts/a0_official/a009_financial_statements.html,c72870e6b42a3221c934fc9d15267222e45f0e3d997b85980ff85adc5a602769,text/html,FY2023/FY2024 reports and filings index,A009,archived_local,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR004,A009,A009 official case_or_event_role,case_or_event_role,https://earthjustice.org/case/okinawa-dugong-proposed-airbase,2026-08-22,outputs/us_presence_network_wave2_w2_d_v1/artifacts/a0_official/a009_okinawa_dugong_case.html,f1294bd015b72c8b68c41e70100680e1d502b69bcae19d5eba6333ae58eb3dea,text/html,Dugong case page names CBD and TIRN as clients; no 2023-2025 event date,A009,archived_local,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR005,A033,A033 official official_roster_or_team,official_roster_or_team,https://foe.org/about-us/our-president/,2026-08-22,,,text/html,Current president/board pages; not backdated,A033,blocked_403_or_external_only,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR006,A033,A033 official applicable_990_part_vii_schedule_i,applicable_990_part_vii_schedule_i,https://foe.org/about-us/accountability/,2026-08-22,,,text/html,FY2024 filing listed; Schedule I requires page-level extraction,A033,blocked_403_or_external_only,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR007,A033,A033 official annual_report_or_financial,annual_report_or_financial,https://foe.org/report/2024-annual-report/,2026-08-22,,,text/html,2024 annual report,A033,blocked_403_or_external_only,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR008,A042,A042 official official_roster_or_team,official_roster_or_team,https://www.pacificenvironment.org/about-us/who-we-are/leadership/,2026-08-22,,,text/html,Current leadership entry; not backdated,A042,blocked_403_or_external_only,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR009,A042,A042 official applicable_990_part_vii_schedule_i,applicable_990_part_vii_schedule_i,https://www.pacificenvironment.org/wp-content/uploads/2026/01/Pacific-Environment_990_23-24.pdf,2026-08-22,outputs/us_presence_network_wave2_w2_d_v1/artifacts/a0_official/a042_fy24_990.pdf,0e063e0752161e161c200dc4d67dafff381664e3e4a25c1eb619befead584bac,application/pdf,FY2024 Form 990; Part IV lines 21/22 No,A042,archived_local,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR010,A042,A042 official annual_report_or_financial,annual_report_or_financial,https://www.pacificenvironment.org/about-us/financials/,2026-08-22,outputs/us_presence_network_wave2_w2_d_v1/artifacts/a0_official/a042_financials.html,95a8fd606bf5d65b5686441acb8141778fde3e544fcafc825f840e5aa353839f,text/html,FY2024 financial statements and 990,A042,archived_local,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR011,A045,A045 official official_roster_or_team,official_roster_or_team,https://www.biologicaldiversity.org/about/staff/,2026-08-22,,,text/html,Current staff directory; not backdated,A045,blocked_403_or_external_only,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR012,A045,A045 official applicable_990_part_vii_schedule_i,applicable_990_part_vii_schedule_i,https://www.biologicaldiversity.org/support/pdfs/Center-for-Biological-Diversity-form-990-2023.pdf,2026-08-22,outputs/us_presence_network_wave2_w2_d_v1/artifacts/a0_official/a045_2023_990.pdf,ff1192bdd4f5b9a760cdfd5e24b521fd6e914a895e5fdb6d95fabd69fa0b442e,application/pdf,2023 Form 990; Schedule I pp. 29-30,A045,archived_local,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR013,A045,A045 official annual_report_or_financial,annual_report_or_financial,https://www.biologicaldiversity.org/support/financials.html,2026-08-22,outputs/us_presence_network_wave2_w2_d_v1/artifacts/a0_official/a045_financials.html,75078d5c095789ab23a014dfad709821f8b48c09df1d74205fff9d5ce9c628d1,text/html,2023/2024 990 and audited financials index,A045,archived_local,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR014,A045,A045 official case_or_event_role,case_or_event_role,https://www.biologicaldiversity.org/programs/international/japan.html,2026-08-22,outputs/us_presence_network_wave2_w2_d_v1/artifacts/a0_official/a045_japan_program.html,4e12089ca1ab8f05f172bec60afa39ddd76ddd48988b9160f3ddaab2cdd1416f,text/html,Current Japan program page lacks 2023-2025 Okinawa action date,A045,archived_local,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR015,A070,A070 official official_roster_or_team,official_roster_or_team,https://www.veteransforpeace.org/who-we-are/2025-online-business-meeting/resolution-2025-1-us-military-expansion-and-environmental-destruction-okinawa,2026-08-22,outputs/us_presence_network_wave2_w2_d_v1/artifacts/a0_official/a070_2025_resolution.html,6c90751bbcdc32d78ddd9d3dff3522053ea0f2f6651e9923d8ed7f1add059112,text/html,"2025 resolution names Makishi Yoshikazu, Pete Shimazaki Doktor and Douglas Lummis",A070,archived_local,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR016,A070,A070 official applicable_990_part_vii_schedule_i,applicable_990_part_vii_schedule_i,https://www.veteransforpeace.org/who-we-are/2025-online-business-meeting,2026-08-22,,,text/html,No separate chapter EIN/990 located; national 990 cannot substitute,A070,blocked_403_or_external_only,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR017,A070,A070 official annual_report_or_financial,annual_report_or_financial,https://www.veteransforpeace.org/who-we-are/member-highlights/2024/08/08/2024-vfp-okinawajapan-peace-speaking-tour-report-1,2026-08-22,outputs/us_presence_network_wave2_w2_d_v1/artifacts/a0_official/a070_2024_peace_tour.html,cda16b84c149991140ae341f67c376a9feb7abef1b105b05dcd5374504cb00f4,text/html,No chapter-specific annual report found,A070,archived_local,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR018,A086,A086 official official_roster_or_team,official_roster_or_team,https://seaturtles.org/category/eastern-tropical-pacific/,2026-08-22,outputs/us_presence_network_wave2_w2_d_v1/artifacts/a0_official/a086_2025_activity.html,c817b5cd49948a8695c005030d91aef9a2f734f170263bd65f31941f663cb366,text/html,2025 release names Todd Steiner and Ken Bouley,A086,archived_local,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
