claim_id,claim_family,claim_status,proposed_claim,evidence_refs,interpretation_limit,principal_decision_needed,review_status,package_scope,frontend_status,central_writeback
W2D-CL001,direct_relation,bounded_supported,S0×A0 的 54 个直接组织配对中，36 个达到有界公开资料零；其余 18 个仍因来源覆盖或同期可观察性不足而未决，其中 6 个涉及 X017 的同期不可观察。,bridge_audit_matrix_v1.csv,可写‘在声明的 2023–2025 来源窗口中未确认直接组织关系’，不可写现实中不存在关系。,yes,ai_seeded,research_only,not_frontend_ready,no
W2D-CL002,shared_person,unresolved,现有 104 条军属申报角色、15 条 USO/赞助人物端点与已提取的 A0 人名之间没有身份闭合的跨侧同名人物。,person_disambiguation_queue_v1.csv;negative_search_log_v1.csv,人物披露结构不对称，不能写 shared-person zero 或做全网中心性。,yes,ai_seeded,research_only,not_frontend_ready,no
W2D-CL003,shared_recipient,unresolved,六个 AWWA recipient 候选中三项有地方侧回应，但没有一项闭合到同一金额与税期，也没有一项确认同时连接问责侧 actor。,W2-A EH0110-EH0121,不把地方福利 recipient 自动改成问责组织或桥。,yes,ai_seeded,research_only,not_frontend_ready,no
W2D-CL004,shared_funder,not_testable_to_zero,尚未确认共同资助方；Schedule B 匿名性和部分 Schedule I/资助方提取缺口使负面判断不可成立。,source_family_actor_coverage_v1.csv,未来若命中共同资助方，也只表示资源来源相交，不表示协调。,yes,ai_seeded,research_only,not_frontend_ready,no
W2D-CL005,same_event,unresolved,所审 2023–2025 记录没有确认 S0 与 A0 同一公开事件。,negative_search_log_v1.csv,事件材料不穷尽；共同出现也不升格为联盟。,yes,ai_seeded,research_only,not_frontend_ready,no
W2D-CL006,shared_place,context_only,中央 actor-place 表出现若干同地点编码，但缺少同一时间、行动或组织关系闭合。,bridge_audit_matrix_v1.csv,地点只作背景，绝不计入 bridge。,no,ai_seeded,research_only,not_frontend_ready,no
W2D-CL007,system_interface,bounded_supported,DoD／WHS 是 USO 全国 prime award 的 awarding/funding agency，公开记录的累计 obligation 为 USD 72m；DoD 同时是儒艮诉讼中的被告／问责对象。这是同一驻军体系的共同制度端点。,W2D-EG012;W2D-EG016;W2B-A024;R8C01,这是系统接口，不是 USO Okinawa 与 Earthjustice/CBD/TIRN 的组织桥；USD 72m 是全国 award 的累计 obligation，不是现金支出或冲绳分配。,no,ai_seeded,research_only,not_frontend_ready,no
W2D-CL008,service_internal_structure,bounded_with_pending_relation,服务侧已确认 AWWA 伞状成员、反复输入与部分再分配；另有一条官方来源支持的有向候选：NMCRS 委托 ARC 提供非营业时段入口，并使用 NMCRS 资金，仍待负责人审定。,W2-A/W2-B endpoint handoffs,ARC—NMCRS 关系在审定前不得写成已确认服务中介；内部结构也不能自动解释政治立场、地方接受或合法性效果。,yes,ai_seeded,research_only,not_frontend_ready,no
W2D-CL009,ecology_screen,exploratory_only,S0×A1R 与 S0×A1C 的现行 typed-input screen 没有产生确认的跨侧组织桥，但没有完成逐 actor 的对称来源审计。,relation_family_coverage_v1.csv,不能把探索屏幕写成 41/36 actor 生态的零连接率。,no,ai_seeded,research_only,not_frontend_ready,no
W2D-CL010,s1_status,frame_gap,Marine Thrift Shop 有充分的渠道 tracer 材料，但仍是 X018 admission/selection-frame 候选，不进入 S1 确认计数。,W2-A handoff;integration plan hold,不得用它悄悄扩充 S0/S1 分母。,yes,ai_seeded,research_only,not_frontend_ready,no
