matrix_row_id,selection_frame_id,frame_role,service_actor_id,service_actor_name,accountability_actor_id,accountability_actor_name,relation_family,window_start,window_end,service_activity_status,accountability_activity_status,pair_observability,source_coverage_status,observed_endpoint_refs,audit_result,screening_disposition,reason,allowed_claim,prohibited_inference,review_status,package_scope,frontend_status,central_writeback
W2D-BM00001,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A009,Earthjustice,direct_organization_relation,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,declared_source_corpus_complete_for_direct_relation,,audited_public_record_zero,bounded_symmetric_name_and_relation_search_complete,Both endpoints are observable; A0 official sources and the service-side W2-A/W2-B corpus were searched symmetrically for names and direct relations with no confirmed hit.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00002,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A009,Earthjustice,shared_person,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,dated_roles_partial_not_full_roster,,unresolved,no_identity_resolved_cross_side_match,"No exact identity-resolved match appears in extracted roles, but roster coverage is incomplete.","Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00003,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A009,Earthjustice,shared_recipient_or_intermediary,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,recipient_endpoint_and_transaction_closure_incomplete,,unresolved,no_confirmed_endpoint_crosswalk,No recipient/intermediary is closed to both sides; W2-A has six candidate recipients and zero exact transaction closure.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00004,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A009,Earthjustice,shared_funder_or_sponsor,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,schedule_b_anonymity_and_funder_extraction_gap,,unresolved,structurally_unobservable_or_incomplete,Donor anonymity and incomplete funder extraction prevent a shared-funder zero.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00005,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A009,Earthjustice,same_public_event,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,event_corpora_bounded_not_exhaustive,,unresolved,no_confirmed_same_event,No same event is confirmed in the bounded records; event archives are not exhaustive.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00006,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A009,Earthjustice,shared_place_background,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,tracer_source_family_audit,,unresolved,no_confirmed_bridge_in_bounded_inputs,No confirmed S0-A0 relation in the declared official-source and endpoint corpus.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00007,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A033,Friends of the Earth U.S.,direct_organization_relation,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,declared_source_corpus_complete_for_direct_relation,,audited_public_record_zero,bounded_symmetric_name_and_relation_search_complete,Both endpoints are observable; A0 official sources and the service-side W2-A/W2-B corpus were searched symmetrically for names and direct relations with no confirmed hit.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00008,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A033,Friends of the Earth U.S.,shared_person,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,dated_roles_partial_not_full_roster,,unresolved,no_identity_resolved_cross_side_match,"No exact identity-resolved match appears in extracted roles, but roster coverage is incomplete.","Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00009,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A033,Friends of the Earth U.S.,shared_recipient_or_intermediary,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,recipient_endpoint_and_transaction_closure_incomplete,,unresolved,no_confirmed_endpoint_crosswalk,No recipient/intermediary is closed to both sides; W2-A has six candidate recipients and zero exact transaction closure.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00010,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A033,Friends of the Earth U.S.,shared_funder_or_sponsor,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,schedule_b_anonymity_and_funder_extraction_gap,,unresolved,structurally_unobservable_or_incomplete,Donor anonymity and incomplete funder extraction prevent a shared-funder zero.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00011,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A033,Friends of the Earth U.S.,same_public_event,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,event_corpora_bounded_not_exhaustive,,unresolved,no_confirmed_same_event,No same event is confirmed in the bounded records; event archives are not exhaustive.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
