edge_id,actor_id,issue_label,source_refs,exclusive_S003,exclusive_S004,exclusive_S006,exclusive_big3,review_status
AI001,A001,dugong,S006;S007;S008,no,no,no,no,ai_seeded
AI002,A001,international_advocacy,S006;S007;S008,no,no,no,no,ai_seeded
AI003,A001,Henoko,S006;S007;S008,no,no,no,no,ai_seeded
AI004,A002,dugong,S007;S057;S058;S059,no,no,no,no,human_revised
AI005,A002,international_advocacy,S007;S058,no,no,no,no,human_revised
AI006,A003,dugong,S003,yes,no,no,yes,needs_second_source
AI007,A003,biodiversity,S003,yes,no,no,yes,needs_second_source
AI008,A004,biodiversity,S004,no,yes,no,yes,ai_seeded
AI009,A004,Henoko,S004,no,yes,no,yes,ai_seeded
AI010,A005,dugong,S003,yes,no,no,yes,ai_seeded
AI011,A005,biodiversity,S003,yes,no,no,yes,ai_seeded
AI012,A006,biodiversity,S003,yes,no,no,yes,ai_seeded
AI013,A006,anti_base,S003,yes,no,no,yes,ai_seeded
AI014,A007,peace,S005,no,no,no,no,ai_seeded
AI015,A007,anti_base,S005,no,no,no,no,ai_seeded
AI016,A007,international_advocacy,S005,no,no,no,no,ai_seeded
AI017,A008,peace,S065;S066;S067,no,no,no,no,human_revised
AI018,A008,anti_base,S064,no,no,no,no,human_revised
AI019,A009,legal,S009,no,no,no,no,ai_seeded
AI020,A009,dugong,S009,no,no,no,no,ai_seeded
AI021,A009,international_advocacy,S009,no,no,no,no,ai_seeded
AI022,A010,anti_military,S016;S017,no,no,no,no,ai_seeded
AI023,A010,groundwater,S017,no,no,no,no,ai_seeded
AI024,A010,local_autonomy,S016,no,no,no,no,ai_seeded
AI025,A011,referendum,S018;S019,no,no,no,no,ai_seeded
AI026,A011,local_autonomy,S018;S019,no,no,no,no,ai_seeded
AI027,A011,anti_military,S018;S019,no,no,no,no,ai_seeded
AI028,A012,groundwater,S020,no,no,no,no,needs_second_source
AI029,A012,anti_military,S020,no,no,no,no,needs_second_source
AI030,A012,life_safety,S020,no,no,no,no,needs_second_source
AI031,A013,anti_military,S021,no,no,no,no,ai_seeded
AI032,A013,groundwater,S021,no,no,no,no,ai_seeded
AI033,A013,life_safety,S021,no,no,no,no,ai_seeded
AI038,A016,health_risk,S011;S052;S068,no,no,no,no,human_checked
AI039,A016,anti_military,S052;S068,no,no,no,no,human_checked
AI040,A017,Taiwan_contingency,S022,no,no,no,no,ai_seeded
AI041,A017,frontline_prevention,S022,no,no,no,no,ai_seeded
AI042,A017,peace,S022,no,no,no,no,ai_seeded
AI043,A018,frontline_prevention,S023;S024,no,no,no,no,ai_seeded
AI044,A018,Taiwan_contingency,S024,no,no,no,no,ai_seeded
AI045,A018,peace,S023,no,no,no,no,ai_seeded
AI046,A019,anti_base,S049;S008,no,no,no,no,human_checked
AI047,A019,Henoko,S049;S050;S008,no,no,no,no,human_checked
AI048,A020,legal,S006;S007,no,no,no,no,ai_seeded
AI049,A020,biodiversity,S006;S007,no,no,no,no,ai_seeded
AI050,A020,dugong,S006;S007,no,no,no,no,ai_seeded
AI051,X001,military_family_service,X001,no,no,no,no,ai_seeded
AI052,X001,base_community_welfare,X001,no,no,no,no,ai_seeded
AI053,X002,base_community_welfare,X002,no,no,no,no,ai_seeded
AI054,X003,base_community_welfare,X003,no,no,no,no,ai_seeded
AI055,X004,military_family_service,S041;S055;S072,no,no,no,no,human_checked
AI056,X004,base_community_welfare,S041;S055;S077;S078,no,no,no,no,human_checked
AI057,X005,military_family_service,S055,no,no,no,no,human_checked
AI058,X006,military_family_service,S075;S076,no,no,no,no,human_checked
AI059,X007,military_family_service,S053;S054,no,no,no,no,human_checked
AI060,X008,military_family_service,X008,no,no,no,no,ai_seeded
AI061,X009,military_family_service,X009,no,no,no,no,ai_seeded
AI062,X010,international_cooperation,X010;X011,no,no,no,no,ai_seeded
AI063,X010,public_diplomacy,X010;X011,no,no,no,no,ai_seeded
AI064,X011,international_cooperation,X011,no,no,no,no,ai_seeded
AI065,X012,public_diplomacy,X012,no,no,no,no,ai_seeded
AI066,X013,public_diplomacy,X013,no,no,no,no,needs_local_retrieval
AI068,X015,international_cooperation,X015,no,no,no,no,watchlist_only
AI069,A021,biodiversity,S004,no,yes,no,yes,ai_seeded
AI070,A021,anti_base,S004,no,yes,no,yes,ai_seeded
AI071,A022,biodiversity,S004,no,yes,no,yes,ai_seeded
AI072,A022,anti_base,S004,no,yes,no,yes,ai_seeded
AI073,A023,anti_base,S004,no,yes,no,yes,ai_seeded
AI074,A023,biodiversity,S004,no,yes,no,yes,needs_second_source
AI075,A024,anti_base,S004,no,yes,no,yes,ai_seeded
AI076,A024,Henoko,S004,no,yes,no,yes,ai_seeded
AI077,A025,anti_base,S004,no,yes,no,yes,ai_seeded
AI078,A025,Henoko,S004,no,yes,no,yes,ai_seeded
AI079,A026,peace,S004,no,yes,no,yes,needs_second_source
AI080,A027,biodiversity,S004,no,yes,no,yes,ai_seeded
AI081,A027,anti_base,S004,no,yes,no,yes,ai_seeded
AI082,A028,international_advocacy,S004,no,yes,no,yes,ai_seeded
AI083,A028,anti_base,S004,no,yes,no,yes,ai_seeded
AI084,A029,biodiversity,S004,no,yes,no,yes,ai_seeded
AI085,A029,Henoko,S004,no,yes,no,yes,ai_seeded
AI086,A030,biodiversity,S004,no,yes,no,yes,ai_seeded
AI087,A031,biodiversity,S004,no,yes,no,yes,ai_seeded
AI088,A032,international_advocacy,S004,no,yes,no,yes,ai_seeded
AI089,A032,peace,S004,no,yes,no,yes,ai_seeded
AI090,A033,international_advocacy,S004,no,yes,no,yes,ai_seeded
AI091,A033,biodiversity,S004,no,yes,no,yes,ai_seeded
AI092,A034,international_advocacy,S004,no,yes,no,yes,ai_seeded
AI093,A034,biodiversity,S004,no,yes,no,yes,ai_seeded
AI094,A035,international_advocacy,S004,no,yes,no,yes,ai_seeded
