"candidate_id","requirement","requirement_result","evidence_summary","source_proposal_refs","locator_summary","gap_or_limit"
"C010","organization_identity","met","Official operator page gives full legal name and official abbreviation.","GSP001","foundation page: first two foundation-history paragraphs","Input candidate name should be an alias, not the canonical legal name."
"C010","continuity_or_legal","met","1960 foundation, 1989 museum, 2011 public-interest transition and dated 2023–2024 programs.","GSP001;GSP002","foundation history; newsletter pp.3–5","No gap for organization-level continuity."
"C010","direct_phase1_non_signatory_link","met","Repeated peace-memory exhibitions, education, workshops and teacher training directly support peace.","GSP001;GSP002","museum purpose; newsletter 2024 program list","Does not support anti_base or anti_military."
"C011","organization_identity","met","National and prefectural records identify the current organization, chair and 22-member network.","GSP003;GSP004","2024 network table Okinawa row; prefectural leader rows 19/30","The prior candidate homepage belongs to another foundation."
"C011","continuity_or_legal","met","Program records recur from 2016 through 2024, with consecutive courses in 2022–2024.","GSP005","support page annual program sections","Informal network legal status remains a human classification question."
"C011","direct_phase1_non_signatory_link","met","The organization held a 2004 SOFA lecture and a 2023 security-documents course.","GSP005;GSP006","2023 course title; official SOFA-support action table","Member-network status cannot be converted to alliance edges."
"C015","organization_identity","met_with_alias_review","Independent reports name 岸本邦弘 as representative under closely related variants.","GSP007;GSP008;GSP009;GSP010","named representative in all four sources","Human must freeze exact canonical and aliases."
"C015","continuity_or_legal","met","Dated public action evidence spans 2015–2019.","GSP007;GSP008;GSP009;GSP010","2015 meeting/request; 2018 interview; 2019 protest","No evidence of formal incorporation or post-2019 continuity."
"C015","direct_phase1_non_signatory_link","met","The group hosted a water/deployment meeting and repeatedly articulated groundwater and deployment concerns.","GSP007;GSP009;GSP010","meeting lead; groundwater quotation; protest remarks","Joint activity with A095 is event-level, not identity or alliance."
"C029","organization_identity","met","Official NPO portal gives legal name, representative, office and corporate number.","GSP011","administrative information fields","No exact registry duplicate found."
"C029","continuity_or_legal","met_with_dormancy","Legal entity has filings through FY2024, but recent reports state no principal activity.","GSP011;GSP012","viewing-documents list; FY2024 report p.1","If included, active period/current dormancy must be explicit."
"C029","direct_phase1_non_signatory_link","met","Peace is the charter purpose and C029 hosted a 2014 Henoko symposium.","GSP011;GSP013","charter purpose; event organizer line","One historical event does not establish current movement activity."
"C030","organization_identity","met_historical","Official portal gives the exact former legal entity.","GSP014","administrative identity fields","Entity is now dissolved."
"C030","continuity_or_legal","historical_only","Authorized in 1999 but inactive by FY2021 and dissolved after authorization revocation in 2025.","GSP014;GSP015","dissolution fields; FY2021 report p.1","Fails current-expansion continuity gate."
"C030","direct_phase1_non_signatory_link","not_met_for_current_expansion","Only a broad waste-circulation/environment charter was found; no dated substantive module action was closed.","GSP014;GSP015","charter purpose; inactivity report","Keep for possible genealogy research, not registry-count repair."
"C031","organization_identity","met","Official NPO portal gives exact legal identity, representative and 2012 authorization.","GSP016","administrative identity fields","No gap."
"C031","continuity_or_legal","met","Annual reports exist for FY2020–FY2024 and association page describes continuing operation.","GSP016;GSP017","viewing-documents list; page description","No base-politics continuity is claimed."
"C031","direct_phase1_non_signatory_link","met","Charter purpose and regular beach-cleanup/coastal maintenance support environment.","GSP016;GSP017","purpose field; regular beach-clean description","General environmental comparison actor only."
"C032","organization_identity","met","Government corporate record and self-site close the legal/short-name crosswalk.","GSP018;GSP019","corporate number/name; website branding","Human should freeze canonical legal name."
"C032","continuity_or_legal","met","Authorized in 2005 and current pages describe 20-year conservation work.","GSP018;GSP019","government record; website 20-year statement","No gap for organization-level continuity."
"C032","direct_phase1_non_signatory_link","met","Sustained coral, planting and beach work support environment/biodiversity; prefectural record proposes groundwater.","GSP019;GSP020","activity list; prefectural table row","Groundwater edge needs human row/year crosswalk; no deployment stance."
"C033","organization_identity","met","Self-site gives legal name, officers, offices and 2002 NPO authorization.","GSP021","organization profile","No gap."
"C033","continuity_or_legal","met","Chronology records repeated programs since 1999 and a 2025 report documents current work.","GSP021;GSP022","chronology; report pp.207–208","No gap for organization-level continuity."
"C033","direct_phase1_non_signatory_link","met","Wetland restoration, biodiversity work and environmental education directly support Phase-1 issues.","GSP021;GSP022","program chronology; project purpose/activity","JICA role is functional, not funding or political stance."
"C034","organization_identity","met","Prefecture and council pages close the cross-sector council identity.","GSP023;GSP024","prefectural council section; formation chronology","Class/origin must preserve hybrid composition."
"C034","continuity_or_legal","met","Founded in 2008 and current notices/program documents show operation through 2026.","GSP024;GSP025;GSP026","formation chronology; 2024–2026 notices","No gap for network continuity."
"C034","direct_phase1_non_signatory_link","met","Formal principles and recurring Coral Reef Week/coordination support biodiversity/environment/admin collaboration.","GSP023;GSP025;GSP026","purpose; current notices; 2024 program","Member participation is not a stable alliance."
