source_row_number,pdf_page,department,office,official_mechanism_code,official_issue_field_code,program_name,program_description,partner_kind_code,partner_name,period,project_cost_thousand_jpy,planning主体,implementation主体,included_r10_relation_id,included_r10_amount_id,coverage_status,interpretation_limit
1,1,知事公室,基地対策課,2,10,在沖米軍基地問題に 関するシンポジウム等 開催業務,今一度、沖縄の基地問題に関する正確な 情報を県内外に発信することを目的に、こ れまでの在沖米軍基地問題を改めて共有 し、今後の展望を議論するシンポジウムを 開催する。,1,新外交イニシアティブ,R6.5.16 ～ R7.3.31,"12,843",行政,行政,R10R008,R10AM010,selected_in_r10_purposive_sample,Source-universe row extraction only; inclusion does not approve the relation or amount.
2,1,知事公室,消防学校,9,8,教育訓練,教育課程（初任教育）に講師を招聘し知識 向上を図る（１日）,1,沖縄災害救助犬協会,R6.8.6,35,行政,行政,,,not_selected,Source-universe row extraction only; inclusion does not approve the relation or amount.
3,1,知事公室,消防学校,9,8,教育訓練,教育課程（初任教育・救助科）に講師を招 聘し知識向上を図る（２日）,3,沖縄県消防設備協会,R6.5.22 R7.2.14,18,行政,行政,,,not_selected,Source-universe row extraction only; inclusion does not approve the relation or amount.
4,1,知事公室,消防学校,9,8,教育訓練,教育課程（救助科）に講師を招聘し知識向 上を図る（１日）,3,日本エレベーター協 会,R7.2.27,24,行政,行政,,,not_selected,Source-universe row extraction only; inclusion does not approve the relation or amount.
5,1,知事公室,消防学校,9,8,教育訓練,教育課程（初任教育・消防団初級幹部科） に講師を招聘し知識向上を図る（２日）,2,沖縄県消防協会,R6.8.14 R6.12.11,0,行政,行政,,,not_selected,Source-universe row extraction only; inclusion does not approve the relation or amount.
6,1,知事公室,消防学校,9,8,教育訓練,教育課程（初任教育・救助科）に講師を招 聘し知識向上を図る（２日）,3,沖縄県高圧ガス保安 協会,R6.6.17 R7.2.14,0,行政,行政,,,not_selected,Source-universe row extraction only; inclusion does not approve the relation or amount.
7,1,知事公室,消防学校,9,8,教育訓練,教育課程（予防査察科）に講師を招聘し知 識向上を図る（１日）,2,日本防炎協会,R6.7.4,0,行政,行政,,,not_selected,Source-universe row extraction only; inclusion does not approve the relation or amount.
8,1,知事公室,消防学校,9,8,教育訓練,教育課程（初任教育）に講師を招聘し知識 向上を図る（２日）,2,日本無線協会,R6.5.30,0,行政,行政,,,not_selected,Source-universe row extraction only; inclusion does not approve the relation or amount.
9,2,知事公室,平和祈念資 料館,1,10,沖縄県平和祈念資料 館施設管理・学芸業務,子ども・プロセス展示室及び情報ライブラ リーの施設・図書資料等の管理・整理及び 企画展の開催。沖縄戦に関するレファレン ス業務を行う。,2,公益財団法人沖縄県 平和祈念財団,R6.4.1 ～ R7.3.31,"13,499",行政,一緒に,,,not_selected,Source-universe row extraction only; inclusion does not approve the relation or amount.
10,2,知事公室,平和祈念資 料館,2,10,「平和への思い」発信・ 交流・継承事業,戦争体験を有する広島・長崎、アジア諸国 の若者が、オンライン及び対面形式で県 内の若者と共に沖縄の歴史と文化、沖縄 戦の実相と教訓を共に学び、平和構築の ためのネットワーク形成と平和教育活動の 推進を目的に実施する。,1,特定非営利活動法人 沖縄平和協力セン ター,R6.6.12 ～ R7.3.14,"25,547",行政,一緒に,R10R009,R10AM012,selected_in_r10_purposive_sample,Source-universe row extraction only; inclusion does not approve the relation or amount.
