relation_observation_id,source_record_ids,source_refs,source_universe_family,selection_design,s002_source_row_numbers,linked_amount_ids,linked_function_ids,current_review_status,external_completeness_claim_allowed,human_gate,interpretation_limit
R10R001,R10A001,S100,ONC_multi_source_case_and_selected_years,case-driven multi-source selection; not a continuous annual panel,,,R10FN001,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R002,R10A002,R10S05,ONC_multi_source_case_and_selected_years,case-driven multi-source selection; not a continuous annual panel,,R10AM001,,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R003,R10A003,R10S06,ONC_multi_source_case_and_selected_years,case-driven multi-source selection; not a continuous annual panel,,R10AM002,,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R004,R10A004;R10A005;R10A020;F033,R10S07;S099;R10S09;R10S10,ONC_multi_source_case_and_selected_years,case-driven multi-source selection; not a continuous annual panel,,R10AM003;R10AM004;R10AM005;R10AM006,R10FN002;R10FN003;R10FN004,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R005,R10A006;R10A007;R10A019;F032,S002;S099;R10S08;R10S12,S002_FY2024_selected_official_rows,purposive selection from a 616-row official table,431,R10AM007;R10AM008,R10FN005;R10FN006,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R006,R10A008;F031,S099,ONC_multi_source_case_and_selected_years,case-driven multi-source selection; not a continuous annual panel,,R10AM009,R10FN007,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R007,R10A009;F031,S101,ONC_multi_source_case_and_selected_years,case-driven multi-source selection; not a continuous annual panel,,,R10FN008,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R008,R10A010;R10V008,S002;R10S11;R10S12,S002_FY2024_selected_official_rows,purposive selection from a 616-row official table,1,R10AM010;R10AM011,R10FN009,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R009,R10A011;R10V009,S002;R10S11;R10S12,S002_FY2024_selected_official_rows,purposive selection from a 616-row official table,10,R10AM012;R10AM013,R10FN010,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R010,R10A012;R10V010,S002;R10S11;R10S12,S002_FY2024_selected_official_rows,purposive selection from a 616-row official table,11,R10AM014;R10AM015,R10FN011,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R011,R10A013,S002;R10S12,S002_FY2024_selected_official_rows,purposive selection from a 616-row official table,432,R10AM016,R10FN012,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R012,R10A014;R10V012,S002;R10S12,S002_FY2024_selected_official_rows,purposive selection from a 616-row official table,433,R10AM017,R10FN013,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R013,R10A015,S002;R10S12,S002_FY2024_selected_official_rows,purposive selection from a 616-row official table,434,R10AM018,R10FN014,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R014,R10A016;R10V014,S002;R10S12,S002_FY2024_selected_official_rows,purposive selection from a 616-row official table,435,R10AM019,R10FN015,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R015,R10A017,S002;R10S12,S002_FY2024_selected_official_rows,purposive selection from a 616-row official table,436,R10AM020,R10FN016,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R016,R10A018,S002;R10S12,S002_FY2024_selected_official_rows,purposive selection from a 616-row official table,437,R10AM021,R10FN017,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R017,F011,S095,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN018,human_checked,no,existing_human_decision_inherited,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R018,F003;F004;F005,S097,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN019;R10FN020;R10FN021;R10FN022;R10FN023;R10FN024;R10FN025;R10FN026,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R019,F002,S097;S098,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,R10AM022,R10FN027,human_checked,no,existing_human_decision_inherited,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R020,F034,S097,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN028,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R021,F035,S097,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN029,ai_seeded,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R022,F021,S053,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,R10AM023,R10FN030,human_checked,no,existing_human_decision_inherited,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R023,F026,S077,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN031,human_checked,no,existing_human_decision_inherited,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R024,F006,S041;S055;S072,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN032,human_revised,no,existing_human_decision_inherited,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R025,F007,S041;S055;S072;S075,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN033,human_revised,no,existing_human_decision_inherited,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R026,F022,S041;S055,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN034,human_revised,no,existing_human_decision_inherited,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R027,F023,S041;S055;S079,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN035,human_revised,no,existing_human_decision_inherited,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R028,F024,S041;S072;S081,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN036,needs_second_source,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R029,F025,S075,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,R10AM024,R10FN037,needs_local_retrieval,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R030,F027,S078,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,R10AM025,R10FN038,needs_local_retrieval,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R031,F028,S094,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,R10AM026,R10FN039,needs_second_source,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R032,F029,S072,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN040,needs_second_source,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R033,F030,S072,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN041,needs_second_source,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R034,F036,S102,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN042,needs_second_source,no,HR-018_required_before_relation_publication,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
R10R035,F012,S056;S082;S083;S084,central_relation_sample_recode,purpose-selected recode/consolidation of existing sample rows,,,R10FN043,human_checked,no,existing_human_decision_inherited,Row accounting is exact inside R10; source-universe coverage is purposive unless a separate bounded universe is stated.
