event_endorser_claim_id,event_id,event_date,publication_date,place_or_scope,organization_name_as_listed,actor_id,registry_crosswalk_status,analyst_issue_family_candidate,issue_family_classification_status,event_role,source_id,external_confirmation_source_id,first_joint_action_claim_status,stable_alliance_claim,independent_adoption_claim,interpretation_limit,data_layer,claim_status,review_status,frontend_eligibility,central_writeback
H3Q001,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Yonaguni,与那国の明るい未来を願うイソバの会,A016,candidate_alias_match,local_frontline_life_autonomy,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q002,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Ishigaki,石垣島の平和と自然を守る市民連絡会,A010,reported_exact_rename_crosswalk_central_lifecycle_human_pending,local_frontline_life_autonomy,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q003,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Ishigaki,基地いらないチーム石垣,,no_current_registry_match,local_frontline_life_autonomy,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q004,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Miyako,ミサイル基地いらない宮古島住民連絡会,A013,exact_name,local_frontline_life_autonomy,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q005,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Uruma,ミサイル配備から命を守るうるま市民の会,A100,exact_name,local_frontline_life_autonomy,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q006,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,沖縄平和サポート,,no_current_registry_match,peace_antiwar_civic,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q007,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,沖縄平和市民連絡会,A071,likely_alias_match,peace_antiwar_civic,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q008,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,沖縄県平和委員会,,no_current_registry_match,peace_antiwar_civic,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q009,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,ノーモア沖縄戦 命どぅ宝の会,A018,exact_name,peace_antiwar_civic,analyst_candidate_not_source_label,listed_endorser;publisher_site_owner,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q010,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa/transnational,沖縄・韓国民衆連帯,,no_current_registry_match,transnational_human_rights,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
