edge_id,analytic_layer,source_actor_id,source_label,target_actor_id,target_label,relation_type,event_or_program,place,evidence_level,funding_relation_confidence,source_ref,review_status,needs_local_retrieval,notes
F026,grant／donation,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),X001,USO Okinawa,grant,AWWA grant to USO Kinser kitchen refresh project,Camp Kinser,E3,confirmed_grant,S077,human_checked,no,HR-005: USO official story confirms AWWA grant to USO Kinser; amount not recorded in edge.
F028,grant／donation,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),R_yomitan_quegoen,读谷 Quegoen,in_kind_donation,Wheelchair van to Yomitan Quegoen disability facility,Yomitan/Okinawa,E3,confirmed_in_kind_donation,S094,ai_seeded,no,MT-005: named Okinawan recipient (facility for impaired adults); DVIDS reports 2 million yen wheelchair van 2015-12-02; military-PA source so E3 not E4.
F029,grant／donation,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),R_uruma_social_welfare,宇流麻社会福祉,in_kind_donation,Wheelchair-accessible van to Uruma City Social Welfare Meeting,Uruma/Okinawa,E3,confirmed_in_kind_donation,S072,ai_seeded,no,MT-005: named Okinawan recipient (elderly welfare serving ~300/day); DVIDS 40-year article; military-PA source E3.
F030,grant／donation,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),R_boy_scouts_far_east,Boy Scouts Far East,in_kind_donation,Kayaks to Boy Scouts of America Far East Council,Okinawa,E3,confirmed_in_kind_donation,S072,ai_seeded,no,MT-005: named recipient is a US military-community group (not Okinawan local); DVIDS 40-year article; coded by observed function.
F036,grant／donation,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,R_heshikiya_after_school_childcare,R_heshikiya_after_school_childcare,co_in_kind_donation,NOSCO joined delivery of three industrial cooling fans to an after-school childcare center in Heshikiya,Heshikiya/Uruma/Okinawa,E3,confirmed_in_kind_donation,S102,needs_second_source,no,W1 T1-A: DVIDS names NOSCO among four contributing groups; recipient legal name item value and NOSCO share are not stated. Record as joint event contribution and do not attribute the whole donation to NOSCO alone.
F001,sponsorship,X002,Phoenix Corporation / Phoenix Park Hotel,X001,USO Okinawa,donation,Phoenix Park Hotel donation to USO Okinawa,Okinawa,E4,confirmed_sponsorship,X002,ai_seeded,no,Source reports JPY 1000000 donation.
F002,sponsorship,X003,American Engineering Corporation AEC,X001,USO Okinawa,sponsorship,AEC longstanding USO Okinawa corporate sponsor,Okinawa,E4,confirmed_sponsorship,S097;S098,human_checked,no,LR-T1B: AEC (Silver sponsor) 52-year partner; built USO Camp Schwab center (2022) and Indo-Pacific office relocation; latest 16000 USD donation (Stripes S098).
F021,sponsorship,X007,Okinawa Enlisted Spouses' Club (OESC),X001,USO Okinawa,donation,OESC donates $3250 to USO Okinawa Dec 2025,Okinawa,E4,confirmed_sponsorship,S053,verified,no,Stripes Okinawa confirms amount and date. Direct charitable donation.
F025,sponsorship,X006,Kadena Officers' Spouses' Club KOSC,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),funding_contribution,KOSC reported prior-year donations to scholarships and AWWA,Kadena; Okinawa,E4,confirmed_sponsorship,S075,verified,yes,HR-005: KOSC charity page reports $102000 to scholarships and AWWA; split amount/recipient details need annual records.
F034,sponsorship,Mediatti_Broadband_MBC,Mediatti Broadband,X001,USO Okinawa,sponsorship,Mediatti Broadband (MBC) USO Okinawa Platinum sponsor,Okinawa,E3,confirmed_sponsorship,S097,ai_seeded,no,LR-T1B: MBC listed as Platinum sponsor on USO Okinawa sponsors page; amount/year not specified; corporate sponsor node not in registry.
F035,sponsorship,Matson,Matson,X001,USO Okinawa,sponsorship,Matson USO Okinawa Mission Partner,Okinawa,E3,confirmed_sponsorship,S097,ai_seeded,no,LR-T1B: Matson listed as Mission Partner on USO Okinawa sponsors page; representative of the wider sponsor list (UMGC/AIG/Billabong/AK Kogyo/Dominos); amount/year not specified.
F031,commission／designated role,X010,沖縄NGOセンター,MOFA_ngo_consultant_program,外务省 NGO 相談員制度,ngo_consultant_commission,ONC as MOFA-designated NGO consultant (NGO相談員) FY2024 project cost JPY 2894000,Okinawa/Japan,E4,confirmed_commission,S095;S096;S099;S101,ai_seeded,no,W1 T1-E: ONC FY2024 statutory report lists NGO相談員（外務省委託） project cost JPY 2.894m and 490 users/participants; FY2026 MOFA list confirms continuity. Project cost is not the same as year-end MOFA receivable JPY 412413; administrative not movement network.
F032,commission／designated role,X010,沖縄NGOセンター,Okinawa_Pref_multicultural_project,冲绳县多文化共生项目,commission,Okinawa Prefecture multicultural coexistence policy-conference support commission FY2024 project cost JPY 5530000,Okinawa,E4,confirmed_commission,S095;S099,ai_seeded,no,W1 T1-E: ONC FY2024 statutory report names the prefecture-commissioned multicultural coexistence policy-conference support work and JPY 5.53m project cost. Project cost is not the same as year-end Okinawa Prefecture receivable JPY 3038265; administrative not base-affairs movement network.
F033,commission／designated role,X010,沖縄NGOセンター,Okinawa_City,冲绳市,commission,Okinawa City Koza International Plaza management commission FY2024 project cost JPY 16040000,Okinawa,E4,confirmed_commission,S095;S099,ai_seeded,no,W1 T1-E: ONC FY2024 statutory report lists the Okinawa City-commissioned KIP management program and JPY 16.04m project cost. Project cost is not the same as year-end Okinawa City receivable JPY 1392307; administrative service relation.
F003,service／site presence,X001,USO Okinawa,P006,Camp Schwab,site_presence,USO Okinawa base center,Camp Schwab,E3,confirmed_service_role,X001,ai_seeded,yes,Service presence; not funding.
F004,service／site presence,X001,USO Okinawa,P007,Camp Foster,site_presence,USO Okinawa/related service ecosystem,Camp Foster,E3,confirmed_service_role,X001,ai_seeded,yes,Service presence; exact center/program needs source refinement.
F005,service／site presence,X001,USO Okinawa,P005,Kadena,site_presence,USO Okinawa Kadena presence,Kadena,E3,confirmed_service_role,X001,ai_seeded,yes,Service presence; exact center/program needs source refinement.
F009,service／site presence,X008,American Red Cross Okinawa,P007,Camp Foster,service,Red Cross volunteer program,U.S. Naval Hospital Okinawa / Camp Foster,E4,confirmed_service_role,X008,ai_seeded,no,Service role confirmed by official military health page.
F010,service／site presence,X009,Navy-Marine Corps Relief Society Okinawa,P007,Camp Foster,service,Emergency assistance / relief society office,Camp Foster,E4,confirmed_service_role,X009,ai_seeded,no,Service role confirmed by Military OneSource.
F006,non-funding relation,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),X005,Naval Officers' Spouses' Club of Okinawa NOSCO,network_membership,NOSCO as AWWA member club,Okinawa bases,E4,not_funding_relation,S041;S055;S072,verified,no,HR-005: upgraded from coordination to membership; proves umbrella/member structure only and not specific recipient funding.
F007,non-funding relation,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),X006,Kadena Officers' Spouses' Club KOSC,network_membership,KOSC as AWWA member club,Okinawa bases,E4,not_funding_relation,S041;S055;S072;S075,verified,no,HR-005: upgraded from coordination to membership; proves umbrella/member structure only and not specific recipient funding.
F011,non-funding relation,X010,沖縄NGOセンター,X011,JICA沖縄,event_collaboration,ONC and JICA Okinawa international-cooperation festival collaboration,Okinawa,E4,confirmed_collaboration,S095;X011,human_checked,no,MT-006: JICA Okinawa pages list ONC; event/organizational collaboration on the international-cooperation festival not a funding chain; administrative not movement network.
F014,non-funding relation,A047,沖縄平和運動センター,A048,沖縄一坪反戦地主会,coordination,Peace Movement Center and anti-war landowner coordination,Okinawa,E3,not_funding_relation,S031,ai_seeded,no,Movement coordination relation.
F015,non-funding relation,A059,島ぐるみ会議,A047,沖縄平和運動センター,coordination,All-island conference and Peace Movement Center coordination,Okinawa,E3,not_funding_relation,S029;S031,ai_seeded,yes,Verify specific coordination mechanism.
F016,non-funding relation,A066,新外交イニシアティブ（ND）,A050,沖縄弁護士会,partnership,ND and Okinawa Bar Association joint policy events,Okinawa; Tokyo,E3,not_funding_relation,S032,ai_seeded,yes,Verify specific joint activities.
F017,non-funding relation,A063,一坪反戦地主会関東ブロック,A048,沖縄一坪反戦地主会,solidarity_branch,Kanto branch of anti-war landowner movement,Tokyo; Okinawa,E3,not_funding_relation,S038,ai_seeded,no,Mainland branch of Okinawa-origin movement.
F018,non-funding relation,A067,辺野古土砂搬入反対全国協議会（辺野古土砂全協）,A025,辺野古への基地建設を許さない実行委員会,coordination,Henoko soil council and Henoko construction opposition coordination,Henoko; Japan,E3,not_funding_relation,S040,ai_seeded,yes,Cross-prefecture anti-Henoko coordination. Verify linkage.
F020,non-funding relation,A051,「辺野古」県民投票の会,A050,沖縄弁護士会,legal_support,Bar association support for referendum legal process,Okinawa,E3,not_funding_relation,S025;S037,ai_seeded,yes,Verify direct legal support for referendum initiative.
F022,non-funding relation,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),X007,Okinawa Enlisted Spouses' Club (OESC),network_membership,OESC as AWWA member club,Okinawa bases,E4,not_funding_relation,S041;S055,verified,no,OESC confirmed as one of 5 AWWA member clubs.
F023,non-funding relation,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),network_membership,MOSCO as AWWA member club,Okinawa bases,E4,not_funding_relation,S041;S055;S079,verified,no,HR-005 supplemental: MOSCO confirmed as AWWA member club; membership only and not recipient evidence.
F024,non-funding relation,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),X017,Army Community Group of Okinawa (ACGO),network_membership,Army Community Group as AWWA member club,Okinawa bases,E3,not_funding_relation,S041;S072;S081,needs_second_source,yes,HR-005 supplemental: ACGO member/gift shop lead supported by AWWA/community sources; independent identity needs confirmation.
F037,non-funding relation,A103,全国基地爆音訴訟原告団連絡会議,A052,嘉手納爆音訴訟原告団,network_membership,全国基地爆音訴訟原告団連絡会議 membership — Kadena plaintiffs,Japan;Kadena,E4,not_funding_relation,S122;S123,human_checked,no,"HR-010 batch 5: named member-group relationship; organizational coordination, not funding or alliance inference."
F038,non-funding relation,A103,全国基地爆音訴訟原告団連絡会議,A053,普天間爆音訴訟団,network_membership,全国基地爆音訴訟原告団連絡会議 membership — Futenma plaintiffs,Japan;Futenma,E4,not_funding_relation,S122;S123,human_checked,no,"HR-010 batch 5: named member-group relationship; organizational coordination, not funding or alliance inference."
F039,non-funding relation,A104,普天間基地爆音訴訟弁護団,A053,普天間爆音訴訟団,legal_counsel,Futenma base noise litigation,Futenma;Ginowan,E4,not_funding_relation,S124,human_checked,no,HR-010 batch 5: counsel-team to plaintiff-group role; A104 and A053 are distinct actors. Litigation generation crosswalk remains HR-011/HR-012.
F040,non-funding relation,A106,辺野古の海を土砂で埋めるな！首都圏連絡会,A025,辺野古への基地建設を許さない実行委員会,event_affiliation,Metropolitan Henoko soil-reclamation opposition actions from 2018,Tokyo;Henoko,E4,not_funding_relation,S126,human_checked,no,"HR-010 batch 5: publicly described action linkage; event-level affiliation only, not a stable alliance."
F041,non-funding relation,A106,辺野古の海を土砂で埋めるな！首都圏連絡会,A062,日本湿地ネットワーク（JAWAN）,partner_action,JAWAN-recorded metropolitan Henoko campaign action,Tokyo;Henoko,E4,not_funding_relation,S127,human_checked,no,"HR-010 batch 5: partner-action record; event-level public cooperation, not a stable alliance."
