search_id,target,question,queries_or_routes,date_searched,outcome,url_checked,locator,excerpt,evidence_level,claim_status,interpretation_limit,observed_at,review_status,package_scope,frontend_eligibility,url
NS001,Kadena private-organization universe,Is there a current public full roster comparable to MCIPAC's list?,Kadena FSS private organizations; current roster; base instruction,2026-08-19,No current full public roster located; only rules and named resale exceptions were found.,https://kadenafss.com/private-organizations,Private Organizations page,Research note: the page explains registration but does not publish a complete current roster.,E4,online_gap_after_targeted_search,Absence of a public roster does not mean other Kadena private organizations do not exist.,2026-08-19,ai_seeded,research_only,excluded_research_only,https://kadenafss.com/private-organizations
NS002,AWWA recipient yearbook,Can a complete 2012–2026 recipient-by-year table be built online?,AWWA recipients; awards; Form 990 Schedule I; spouse-club reports,2026-08-19,No complete recipient-by-year public table located; scattered club and public-affairs records remain.,https://projects.propublica.org/nonprofits/organizations/980227149,FY2024 Form 990-EZ record,Research note: the latest public AWWA return is an EZ filing without a Schedule I recipient table.,E4,online_gap_requires_annual_reports_or_returns,Do not treat observed recipients as the full AWWA distribution universe.,2026-08-19,ai_seeded,research_only,excluded_research_only,https://projects.propublica.org/nonprofits/organizations/980227149
NS003,ACGO continuity after 2018,"Did ACGO dissolve, rename or leave AWWA?",ACGO current site; MCIPAC roster; IRS filings; AWWA member pages,2026-08-19,No primary online record located that fixes a dissolution/successor date.,https://projects.propublica.org/nonprofits/organizations/261170858,Filing history ending FY2018,Research note: filing cessation and roster absence leave current status unresolved.,E4,online_exhausted_primary_status_gap,"Do not infer dissolution, successor or an exact end date.",2026-08-19,ai_seeded,research_only,excluded_research_only,https://projects.propublica.org/nonprofits/organizations/261170858
NS004,American Red Cross Okinawa leadership,Who currently leads the local Okinawa office?,official Red Cross overseas pages; Kadena directory; local domain,2026-08-19,"Current service location was confirmed, but no authoritative local leadership roster was located.",https://www.redcross.org/get-help/military-families/overseas-military-community-support.html,Overseas support page,Research note: services are described without an Okinawa officer list.,E4,online_gap,Do not populate people edges from social profiles or unverified directories.,2026-08-19,ai_seeded,research_only,excluded_research_only,https://www.redcross.org/get-help/military-families/overseas-military-community-support.html
NS005,NMCRS Okinawa leadership,Who currently leads the Okinawa office?,official NMCRS location/about pages; installation directories,2026-08-19,"Current office and services were confirmed, but no named local leadership roster was located.",https://www.nmcrs.org/locations/okinawa-japan,Okinawa location page,Research note: the page provides contact details but no named director.,E4,online_gap,Do not infer local leadership from general headquarters governance.,2026-08-19,ai_seeded,research_only,excluded_research_only,https://www.nmcrs.org/locations/okinawa-japan
NS006,NIOSC current board,Can the current full officer roster be verified?,NIOSC official site; board; leadership; event biographies,2026-08-19,"Official mission was found; only a dated 2025 president lead was located, not a full board.",https://www.niosc.org/about-us,About Us,Research note: the public page does not name the current board.,E4,needs_second_source,The 2025 president lead must not be treated as a current 2026 roster without confirmation.,2026-08-19,ai_seeded,research_only,excluded_research_only,https://www.niosc.org/about-us
NS007,Helping Japan International,Is the rostered organization an Okinawa service/charity actor?,MCIPAC roster; exact-name web search; IRS route,2026-08-19,"Only the current roster entry was resolved; function, geography and independent identity remain unclear.",https://www.okinawa.usmc-mccs.org/more/private-organizations,Active list,Research note: the roster name alone does not identify mission or locality.,E4,needs_second_source,Do not add the organization or any service relation from its name alone.,2026-08-19,ai_seeded,research_only,excluded_research_only,https://www.okinawa.usmc-mccs.org/more/private-organizations
NS008,Okinawa Area Office Civilian Welfare Council,"What services, officers and recipients does it have?",MCIPAC roster; exact-name search; OAO welfare council,2026-08-19,Only the current active roster line was found.,https://www.okinawa.usmc-mccs.org/more/private-organizations,Active list,"Research note: no separate profile, officer roster or recipient record was resolved.",E4,needs_second_source,The word welfare is not enough to infer a service flow or institutional role.,2026-08-19,ai_seeded,research_only,excluded_research_only,https://www.okinawa.usmc-mccs.org/more/private-organizations
NS009,Marine Gift Shop official profile,Can the current mission and board be verified on its own site?,marinegiftshop.org; MCIPAC roster; IRS filing,2026-08-19,The current site is a placeholder; identity rests on roster and filing records.,https://marinegiftshop.org/,Landing page,"Research note: no substantive mission, board or annual report is currently published there.",E3,online_gap_with_alternative_records,Resolve the exempt-status warning and organizational continuity before central addition.,2026-08-19,ai_seeded,research_only,excluded_research_only,https://marinegiftshop.org/
NS010,MCIPAC roster geography,Which of the 81 displayed entries are specifically Okinawa-based?,MCIPAC roster page and reporting labels,2026-08-19,The page states a combined Okinawa/Fuji/Iwakuni universe but does not label every row by geography.,https://www.okinawa.usmc-mccs.org/more/private-organizations,Page introduction and lists,Research note: row-level geography is absent for many entries.,E4,bounded_roster_gap,Do not report 81 as the number of Okinawa organizations.,2026-08-19,ai_seeded,research_only,excluded_research_only,https://www.okinawa.usmc-mccs.org/more/private-organizations
NS011,Actual legitimation effects,Did recipients or local publics become more accepting of the U.S. military presence?,"official/organization program pages, recipient reports, public-affairs coverage",2026-08-19,"No recipient survey, audience study or independent attitude measure was located in this pass.",https://okinawa.uso.org/stories/6,Organizer narrative contrasted with missing audience evidence,"Research note: relationship language is present, but reception and attitude change are not measured.",E4,L2_not_evidenced,L1 goodwill/friendship language must not be promoted to an L2 legitimacy effect.,2026-08-19,ai_seeded,research_only,excluded_research_only,https://okinawa.uso.org/stories/6
