dimension_type,dimension_code_or_name,dimension_label,official_mechanism_code,official_mechanism_label,source_row_count,distinct_partner_display_alias_count,source_row_numbers,fact_layer,human_gate,interpretation_limit
department_source_label,保健医療介護部,保健医療介護部,1,委託,86,51,217;218;219;221;222;224;225;230;231;232;234;238;239;240;243;244;245;247;248;250;252;254;255;256;257;263;264;265;266;267;268;269;270;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;295;296;297;303;304;305;306;307;308;309;310;311;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;334,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,保健医療介護部,保健医療介護部,2,提案型公募による委託,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,保健医療介護部,保健医療介護部,3,指定管理者制度による委任,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,保健医療介護部,保健医療介護部,4,補助,14,10,220;223;226;227;228;229;236;237;241;242;249;251;253;271,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,保健医療介護部,保健医療介護部,5,共催,3,2,258;259;299,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,保健医療介護部,保健医療介護部,6,後援,1,1,302,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,保健医療介護部,保健医療介護部,7,実行委員会等,3,3,214;293;294,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,保健医療介護部,保健医療介護部,8,事業協力,5,5,233;235;260;261;262,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,保健医療介護部,保健医療介護部,9,講師等,8,7,215;216;246;298;301;312;313;333,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,保健医療介護部,保健医療介護部,10,その他,1,1,300,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,教育庁,教育庁,1,委託,13,10,501;503;504;505;506;507;508;509;510;511;512;513;571,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,教育庁,教育庁,2,提案型公募による委託,3,3,500;502;573,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,教育庁,教育庁,3,指定管理者制度による委任,5,5,564;565;566;567;568,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,教育庁,教育庁,4,補助,7,6,517;520;531;535;536;539;551,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,教育庁,教育庁,5,共催,6,5,524;544;557;561;590;597,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,教育庁,教育庁,6,後援,52,44,514;515;516;518;519;521;522;523;525;526;527;528;529;530;532;533;534;537;538;540;541;542;543;545;546;547;548;549;550;552;555;556;560;574;575;576;577;578;579;580;581;582;583;584;585;586;587;588;591;595;596;598,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,教育庁,教育庁,7,実行委員会等,3,3,554;592;593,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,教育庁,教育庁,8,事業協力,6,6,498;553;569;570;572;589,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,教育庁,教育庁,9,講師等,5,5,499;558;559;562;594,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,教育庁,教育庁,10,その他,1,1,563,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,生活福祉部,生活福祉部,1,委託,51,33,60;64;65;68;71;72;76;77;82;90;91;92;93;94;95;97;98;99;100;101;102;103;104;105;106;107;108;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;139;141,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,生活福祉部,生活福祉部,2,提案型公募による委託,8,7,78;84;85;86;87;88;96;138,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,生活福祉部,生活福祉部,3,指定管理者制度による委任,1,1,73,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,生活福祉部,生活福祉部,4,補助,19,10,61;62;63;66;67;69;70;79;80;81;83;89;109;110;111;112;113;114;115,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,生活福祉部,生活福祉部,5,共催,2,2,140;142,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,生活福祉部,生活福祉部,6,後援,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,生活福祉部,生活福祉部,7,実行委員会等,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,生活福祉部,生活福祉部,8,事業協力,2,2,74;75,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,生活福祉部,生活福祉部,9,講師等,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
department_source_label,生活福祉部,生活福祉部,10,その他,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
