metric_id,metric_name,value,unit,claim_scope,fact_layer,human_gate,interpretation_limit
M01,official_source_rows,616,rows,S002 source universe,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M02,pdf_pages,86,pages,S002 archived PDF,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M03,departments,15,source labels,machine display cleanup only,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M04,offices,83,source labels,machine display cleanup only,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M05,official_issue_fields,19,codes,official codebook,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M06,official_mechanisms,10,codes,official codebook,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M07,distinct_partner_source_literals,390,strings,not organizations,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M08,distinct_partner_display_aliases_machine,365,display labels,not actor identities,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M09,display_aliases_repeated_two_or_more_rows,101,display labels,not centrality,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M10,display_aliases_spanning_two_or_more_departments,29,display labels,identity unresolved,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M11,mechanism_codes_1_to_4_rows,469,rows,delegated/subsidy-adjacent official categories; no payment inference,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M12,mechanism_codes_1_to_4_share,76.1,percent,row share,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M13,phase1_adjacent_official_fields_10_11,19,rows,human rights/peace + international cooperation/exchange,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M14,phase1_adjacent_fields_10_11_share,3.1,percent,row share,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M15,positive_project_cost_cells,501,rows,whole-program project cost; not actor payment,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M16,zero_project_cost_cells,113,rows,reported zero,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M17,dash_project_cost_cells,2,rows,not reported,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M18,top_five_departments_rows,443,rows,mechanical concentration,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M19,top_five_departments_share,71.9,percent,mechanical concentration,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
M20,r10_purposive_rows_inside_source_universe,10,rows,separate HR018-gated layer,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"No actor identity, relation, payment, award, alliance, or political stance inference."
