partner_display_label_id,partner_name_display_alias_machine,department_display_machine,source_row_count,mechanism_codes,issue_field_codes,source_row_numbers,edge_semantics,identity_status,human_gate,interpretation_limit
S002PL046,社会福祉法人沖縄県社会福祉協議会,こども未来部,2,1,1;13,163;191,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL050,一般社団法人沖縄県社会福祉士会,こども未来部,1,1,1,186,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL052,公益社団法人沖縄県看護協会,こども未来部,1,1,1,192,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL091,一般社団法人Co- Link,こども未来部,3,2,13,143;144;162,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL092,特定非営利活動法人侍学園スクオーラ・今人,こども未来部,2,1;2,13,145;160,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL093,特定非営利活動法人サポートセンターゆめさき,こども未来部,3,1,13,146;149;150,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL094,労働者協同組合ワーカーズコープ・センター事業団,こども未来部,2,1,13,147;148,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL095,要支援家庭寄り添い支援事業受託コンソーシアム((一社)TAKE-OFF、(一社)ぷらっと),こども未来部,1,2,13,151,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL096,子どもゲンキプロジェクト共同体((一社)宜野湾子どもゲンキ食堂、(一社)3ピース58、(一社)くじら寺子屋),こども未来部,1,2,13,152,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL097,一般社団法人みんなのももやま子ども食堂,こども未来部,1,2,13,153,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL098,一般社団法人UTT,こども未来部,2,2,13,154;158,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL099,「要支援家庭寄り添い支援業務」共同体((一社)カナカナ、(特非)沖縄上等プロジェクト),こども未来部,1,2,13,155,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL100,一般社団法人宮古島こどもこそだてワクワク未来会議,こども未来部,2,2,13,156;161,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL101,子育てサポート団体HUGs,こども未来部,1,2,13,157,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL102,沖縄子供の貧困緊急対策事業受託コンソーシアム((一社)TAKE-OFFと(一社)ぷらっとの共同体),こども未来部,1,2,13,159,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL103,社会福祉法人袋中園,こども未来部,1,1,1,164,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL104,特定非営利活動法人おきなわCAPセンター,こども未来部,2,1,1;13,165;168,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL105,社会福祉法人友興会ノアーズガーデン,こども未来部,1,1,1,166,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL106,一般社団法人日本児童相談業務評価機関,こども未来部,1,1,1,167,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL107,認定特定非営利活動法人エンパワメントかながわ,こども未来部,1,1,13,169,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL108,社会福祉法人ひんぷん会,こども未来部,1,4,1,170,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL109,社会福祉法人沖縄県社会福祉事業団,こども未来部,1,4,1,171,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL110,社会福祉法人国際福祉会,こども未来部,2,4,1,172;180,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL111,公立大学法人大阪,こども未来部,1,1,13,173,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL112,一般社団法人大学コンソーシアム沖縄,こども未来部,1,1,13,174,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL113,社会福祉法人偕生会,こども未来部,2,3;4,1;13,175;181,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL114,一般社団法人ある,こども未来部,1,1,1,176,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL115,一般社団法人おきなわ子ども未来ネットワーク,こども未来部,1,4,1,177,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL116,一般社団法人沖縄県里親会,こども未来部,3,1;4,1,178;179;184,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL117,社会福祉法人基督教児童福祉会,こども未来部,1,4,1,182,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL118,社会福祉法人豊友会,こども未来部,1,4,1,183,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL119,一般社団法人沖縄いのちにエールを贈る会,こども未来部,1,1,2,185,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL120,NPO法人沖縄県学童・保育支援センター,こども未来部,3,2,1;13,187;188;189,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL121,社会福祉法人日本保育協会,こども未来部,1,1,1,190,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL122,一般社団法人沖縄県助産師会,こども未来部,1,1,1,193,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL123,公益社団法人沖縄県小児保健協会,こども未来部,1,5,1,194,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL124,公益社団法人母子保健推進会議沖縄県母子保健推進員連絡協議会,こども未来部,1,5,1,195,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL125,NPO法人ひだまり,こども未来部,1,4,1,196,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL126,公益財団法人おきなわ女性財団,こども未来部,3,1,1;12,197;205;206,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL127,公益社団法人沖縄県母子寡婦福祉連合会,こども未来部,5,1;2;4,1,198;199;201;202;203,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL128,公益社団法人那覇市母子寡婦福祉会,こども未来部,1,2,1,200,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL129,NPO法人レインボーハートokinawa,こども未来部,1,1,10,204,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL130,公益財団法人おきなわ女性財団(沖縄県男女共同参画センター管理運営団体),こども未来部,1,3,12,207,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL131,公益社団法人沖縄看護協会,こども未来部,3,1,1,208;209;211,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL132,女性を元気にする会,こども未来部,1,1,12,210,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL133,一般社団法人沖縄県医師会,こども未来部,1,1,1,212,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL134,更生保護法人がじゅまる沖縄,こども未来部,1,1,1,213,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL018,NPO法人キャリエイト,企画部,1,1,5,21,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL019,公益社団法人沖縄県不動産鑑定士協会,企画部,4,1;5;6,16,22;23;24;25,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
S002PL020,公益財団法人沖縄県建設技術センター,企画部,1,1,3,26,source_label_x_department_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Department visibility is source-row cooccurrence, not organizational dependence or stable partnership."
