department_display_machine,source_row_count,share_of_616_percent,office_count,distinct_partner_display_alias_count,mechanism_count,issue_field_count,interpretation_limit
保健医療介護部,121,19.6,13,68,8,7,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
教育庁,101,16.4,8,81,10,9,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
生活福祉部,83,13.5,5,46,6,7,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
こども未来部,71,11.5,4,47,5,5,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
文化観光スポーツ部,67,10.9,7,48,4,4,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
土木建築部,58,9.4,13,31,6,12,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
商工労働部,25,4.1,7,17,7,3,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
環境部,23,3.7,4,20,4,2,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
警察本部,17,2.8,6,11,6,2,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
企画部,16,2.6,3,9,4,4,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
農林水産部,12,1.9,5,6,4,6,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
知事公室,11,1.8,3,10,3,2,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
総務部,9,1.5,3,7,3,3,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
病院事業局,1,0.2,1,1,1,1,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
県議会事務局,1,0.2,1,1,1,1,"Department-level visibility in one FY2024 official table; not spending, performance, or dependence."
