actor_id,canonical_name,actor_class_original,actor_class_term_status,analysis_family_v1,family_mapping_status,origin_type,evidence_level,review_status_original,review_status_term_status,human_decision,interpretation_limit
A001,Okinawa Environmental Justice Project,international_advocacy_actor,schema_term,跨国 NGO／国际倡议,rule_applied,mixed_or_network,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
X001,USO Okinawa,base_community_service_actor,schema_term,基地社区服务／慈善,rule_applied,us_origin,E3,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,international_advocacy_actor,schema_term,跨国 NGO／国际倡议,rule_applied,japan_domestic,E4,human_revised,schema_term,,analysis-only mapping; actor registry is unchanged
X002,Phoenix Corporation / Phoenix Park Hotel,local_business_sponsor,schema_term,资助／赞助／公共机构,rule_applied,corporate,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A003,ジュゴンネットワーク沖縄,local_civic_actor,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
X003,American Engineering Corporation AEC,corporate_sponsor,schema_term,资助／赞助／公共机构,rule_applied,corporate,E3,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A004,日本自然保護協会,domestic_japan_ngo,schema_term,日本国内 NGO／声援,rule_applied,japan_domestic,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),base_spouse_charity_network,schema_term,基地社区服务／慈善,rule_applied,us_origin,E4,human_revised,schema_term,,analysis-only mapping; actor registry is unchanged
A005,WWFジャパン,domestic_japan_ngo,schema_term,日本国内 NGO／声援,rule_applied,japan_domestic,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
X005,Naval Officers' Spouses' Club of Okinawa NOSCO,base_spouse_club,schema_term,基地社区服务／慈善,rule_applied,us_origin,E4,human_checked,schema_term,,analysis-only mapping; actor registry is unchanged
A006,グリーンピース・ジャパン,domestic_japan_ngo,schema_term,日本国内 NGO／声援,rule_applied,japan_domestic,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
X006,Kadena Officers' Spouses' Club KOSC,base_spouse_club,schema_term,基地社区服务／慈善,rule_applied,us_origin,E4,human_checked,schema_term,,analysis-only mapping; actor registry is unchanged
A007,ピースボート,domestic_japan_ngo,schema_term,日本国内 NGO／声援,rule_applied,japan_domestic,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
X007,Okinawa Enlisted Spouses' Club (OESC),base_spouse_club,schema_term,基地社区服务／慈善,rule_applied,us_origin,E4,human_checked,schema_term,,analysis-only mapping; actor registry is unchanged
A008,NGO非戦ネット,citizen_network,schema_term,冲绳本地公民行动,rule_applied,japan_domestic,E3,human_revised,schema_term,,analysis-only mapping; actor registry is unchanged
X008,American Red Cross Okinawa,base_community_service_actor,schema_term,基地社区服务／慈善,rule_applied,us_origin,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A009,Earthjustice,international_advocacy_actor,schema_term,跨国 NGO／国际倡议,rule_applied,us_origin,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
X009,Navy-Marine Corps Relief Society Okinawa,base_community_service_actor,schema_term,基地社区服务／慈善,rule_applied,us_origin,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A010,石垣島に軍事基地をつくらせない市民連絡会,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,human_revised,schema_term,,analysis-only mapping; actor registry is unchanged
X010,沖縄NGOセンター,local_international_cooperation_ngo,schema_term,国际合作／公共外交,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A011,石垣市住民投票を求める会,citizen_group,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,human_checked,schema_term,,analysis-only mapping; actor registry is unchanged
X011,JICA沖縄,public_institution_partner,schema_term,资助／赞助／公共机构,rule_applied,public_institution,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A012,宮古島いのちの水を守ろう！,citizen_group,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
X012,TOMODACHI Initiative,public_diplomacy_or_exchange_actor,schema_term,国际合作／公共外交,rule_applied,mixed_or_network,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A013,ミサイル基地いらない宮古島住民連絡会,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
X013,U.S. Consulate General Naha Okinawa Youth Council Program,public_diplomacy_grant_program,schema_term,国际合作／公共外交,rule_applied,us_origin,E4,human_checked,schema_term,,analysis-only mapping; actor registry is unchanged
A014,住民投票を成功させるための実行委員会,executive_committee,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E2,needs_local_retrieval,schema_term,,analysis-only mapping; actor registry is unchanged
X014,NED National Endowment for Democracy,funder_or_intermediary,schema_term,资助／赞助／公共机构,rule_applied,us_origin,E2,watchlist_only,out_of_schema_term,,analysis-only mapping; actor registry is unchanged
A015,与那国自衛隊配備反対意見広告実行委員会,executive_committee,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E2,needs_local_retrieval,schema_term,,analysis-only mapping; actor registry is unchanged
X015,Peace Winds Japan,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,japan_domestic,E4,watchlist_only,out_of_schema_term,,analysis-only mapping; actor registry is unchanged
A016,与那国島の明るい未来を願うイソバの会,citizen_group,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,human_checked,schema_term,,analysis-only mapping; actor registry is unchanged
X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),base_spouse_club,schema_term,基地社区服务／慈善,rule_applied,us_origin,E4,human_checked,schema_term,,analysis-only mapping; actor registry is unchanged
A017,沖縄対話プロジェクト,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
X017,Army Community Group of Okinawa (ACGO),base_spouse_club,schema_term,基地社区服务／慈善,rule_applied,us_origin,E3,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
A018,ノーモア沖縄戦 命どぅ宝の会,citizen_group,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,human_checked,schema_term,,analysis-only mapping; actor registry is unchanged
A020,日本環境法律家連盟（JELF）,lawyers_network,schema_term,法律／制度程序,rule_applied,japan_domestic,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A021,国際環境NGO FoE Japan,domestic_japan_ngo,schema_term,日本国内 NGO／声援,rule_applied,japan_domestic,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A022,NPO法人 ラムサール・ネットワーク日本,domestic_japan_ngo,schema_term,日本国内 NGO／声援,rule_applied,japan_domestic,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A023,美ら海にもやんばるにも基地はいらない市民の会,local_civic_actor,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A024,辺野古リレー,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A025,辺野古への基地建設を許さない実行委員会,executive_committee,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A026,ピース・ニュース,media_or_advocacy_actor,out_of_schema_term,媒体／倡议观察节点,rule_applied,japan_domestic,E4,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
A027,公共事業改革市民会議,citizen_network,schema_term,冲绳本地公民行动,rule_applied,japan_domestic,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A028,沖縄のための日米市民ネットワーク（JUCON）,international_advocacy_actor,schema_term,跨国 NGO／国际倡议,rule_applied,mixed_or_network,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A029,沖縄・生物多様性市民ネットワーク,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A030,市川三番瀬を守る会,domestic_japan_ngo,schema_term,日本国内 NGO／声援,rule_applied,japan_domestic,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A031,三番瀬のラムサール条約登録を実現する会,domestic_japan_ngo,schema_term,日本国内 NGO／声援,rule_applied,japan_domestic,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A032,Peace Philosophy Centre,international_advocacy_actor,schema_term,跨国 NGO／国际倡议,rule_applied,international,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A033,Friends of the Earth U.S.,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,us_origin,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A034,Korea Federation for Environmental Movements (KFEM),international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,international,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A035,Russian Social Ecological Union,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,international,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A036,Friends of the Siberian Forests,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,international,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A037,Centre for Environmental Justice,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,international,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A038,Sahabat Alam Malaysia,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,international,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A039,The Legal Rights and Natural Resources Center-Kasama sa Kalikasan,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,international,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A040,Forum for Protection of Public Interest (Pro Public),international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,international,E4,human_checked,schema_term,,analysis-only mapping; actor registry is unchanged
A041,Friends of the Earth Brisbane,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,international,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A042,Pacific Environment,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,us_origin,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A043,PENGON-FoE Palestine,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,international,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A044,Naturvernforbundet / Norwegian Society for the Conservation of Nature,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,international,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A045,Center for Biological Diversity,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,us_origin,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A046,Pro Natura,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,international,E4,human_checked,schema_term,,analysis-only mapping; actor registry is unchanged
A047,沖縄平和運動センター,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A048,沖縄一坪反戦地主会,citizen_group,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A049,基地・軍隊を許さない行動する女たちの会,citizen_group,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A050,沖縄弁護士会,lawyers_network,schema_term,法律／制度程序,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A051,「辺野古」県民投票の会,citizen_group,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A052,嘉手納基地爆音差止訴訟原告団,citizen_group,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,human_checked,schema_term,,analysis-only mapping; actor registry is unchanged
A053,普天間基地爆音訴訟団,citizen_group,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,human_checked,schema_term,,analysis-only mapping; actor registry is unchanged
A054,沖縄人権協会,local_civic_actor,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A055,泡瀬干潟を守る連絡会,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A056,沖縄環境ネットワーク,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
A057,沖縄意見広告運動,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A058,沖縄県統一連（沖縄県統一行動連絡会議）,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
A059,島ぐるみ会議,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A060,高江のヘリパッドいらない住民の会,citizen_group,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A061,日本野鳥の会,domestic_japan_ngo,schema_term,日本国内 NGO／声援,rule_applied,japan_domestic,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A062,日本湿地ネットワーク（JAWAN）,domestic_japan_ngo,schema_term,日本国内 NGO／声援,rule_applied,japan_domestic,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A063,一坪反戦地主会関東ブロック,citizen_group,schema_term,冲绳本地公民行动,rule_applied,japan_domestic,E3,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A064,外国軍事基地撤去国際ネットワーク（No Bases Network）,international_advocacy_actor,schema_term,跨国 NGO／国际倡议,rule_applied,international,E3,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
A065,南西諸島ピースネット,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
A066,新外交イニシアティブ（ND）,domestic_japan_ngo,schema_term,日本国内 NGO／声援,rule_applied,japan_domestic,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A067,辺野古土砂搬入反対全国協議会（辺野古土砂全協）,citizen_network,schema_term,冲绳本地公民行动,rule_applied,japan_domestic,E3,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A068,名護市民投票の会,citizen_group,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A069,沖縄ジュゴン環境アセスメント監視団,citizen_group,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
A070,Veterans for Peace Okinawa,international_advocacy_actor,schema_term,跨国 NGO／国际倡议,rule_applied,us_origin,E3,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
A071,沖縄平和市民連絡会,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
A072,沖縄から基地をなくし世界の平和を求める市民連絡会,citizen_network,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
A073,琉球沖縄国際支援プログラム,local_international_cooperation_ngo,schema_term,国际合作／公共外交,rule_applied,okinawa_local,E2,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
A074,沖縄県知事公室基地対策課,public_institution_partner,schema_term,资助／赞助／公共机构,rule_applied,public_institution,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A075,沖縄防衛局,public_institution_partner,schema_term,资助／赞助／公共机构,rule_applied,public_institution,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,local_civic_actor,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E3,needs_second_source,schema_term,,analysis-only mapping; actor registry is unchanged
A086,Turtle Island Restoration Network,international_ngo,schema_term,跨国 NGO／国际倡议,rule_applied,us_origin,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A087,NPO法人世界版「平和の礎」を提案する会,local_npo,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A088,特定非営利活動法人沖縄平和協力センター,local_npo,schema_term,冲绳本地公民行动,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A089,沖縄県教職員組合,labor_or_education_union,out_of_schema_term,劳工／教育组织,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
A090,沖縄県高等学校障害児学校教職員組合,labor_or_education_union,out_of_schema_term,劳工／教育组织,rule_applied,okinawa_local,E4,ai_seeded,schema_term,,analysis-only mapping; actor registry is unchanged
