anchor_id,case_id,metric,level,period_start,period_end,period_semantics,value,value_text,unit,currency,definition,denominator_id,source_receipt_ids,exact_locator,anchor_status,observed_local,gap_type,null_model,allowed_claim,prohibited_inference,review_status
W2B-A001,USO,consolidated_support_and_revenue,global_consolidated,2024-01-01,2024-12-31,year_ended,265050000,"USD 265.050 million",currency,USD,"USO's 2024 summary total for support and revenue; it combines the consolidated operating total with investment return and is not the IRS Form 990 line 12 total.",,W2B-SR002;W2B-SR003,"Audited statement PDF p.6; Form 990 wrapper PDF p.6, Total column",official_primary_candidate,,reporting_perimeter_difference,"None; retain as a consolidated scale anchor.","The USO consolidated 2024 financial summary reports USD 265.050 million in support and revenue.","Do not call this the Form 990 total revenue or allocate it to Japan or Okinawa.",ai_seeded
W2B-A002,USO,consolidated_operating_revenue_gains_and_support,global_consolidated,2024-01-01,2024-12-31,year_ended,247493000,"USD 247.493 million",currency,USD,"Total operating revenue, gains and other support in the audited consolidated statement.",,W2B-SR002,"PDF p.6, Consolidated Statement of Activities, Total column",official_primary_candidate,,none,"None.","The audited consolidated statement reports USD 247.493 million of operating revenue, gains and other support in 2024.","Do not add it again to W2B-A001; it is a component of the consolidated summary.",ai_seeded
W2B-A003,USO,consolidated_program_services_expense,global_consolidated,2024-01-01,2024-12-31,year_ended,204912000,"USD 204.912 million",currency,USD,"Gross total program-services expense across the consolidated reporting perimeter, including contributed materials, facilities and services.",W2B-A011,W2B-SR002;W2B-SR003,"Audited statement PDF pp.6 and 8; Form 990 wrapper PDF p.6",official_primary_candidate,,national_to_region_allocation_missing,"USD 204.912m divided by at least 11.3m reported uses is at most about USD 18.13 per use; equal division across the 250-center lower bound is at most USD 819,648 per center. Both are internal diagnostics, not service costs or local estimates.","The USO consolidated 2024 statement reports USD 204.912 million in gross program-services expense.","Do not interpret the diagnostic ratios as per-service cost, per-person benefit, or an Okinawa allocation.",ai_seeded
W2B-A004,USO,consolidated_operating_and_supporting_expense,global_consolidated,2024-01-01,2024-12-31,year_ended,258883000,"USD 258.883 million",currency,USD,"Total operating expenses in the audited consolidated statement: program services plus supporting services.",,W2B-SR002;W2B-SR003,"Audited statement PDF pp.6 and 8; Form 990 wrapper PDF p.6",official_primary_candidate,,reporting_perimeter_difference,"None.","The USO consolidated 2024 statement reports USD 258.883 million in total operating expenses.","Do not call this the IRS Form 990 total-expense figure or a regional budget.",ai_seeded
W2B-A005,USO,consolidated_uso_centers_program_expense,global_consolidated,2024-01-01,2024-12-31,year_ended,71027000,"USD 71.027 million",currency,USD,"Net program expense assigned to the USO Centers functional category after subtracting in-kind expense; it is not a sum of center-level cash budgets.",W2B-A010,W2B-SR002,"PDF p.8, USO Centers column, Functional expenses net; also p.6",official_primary_candidate,,national_to_center_allocation_missing,"Equal division across the 250-center lower bound is at most USD 284,108 per center; diagnostic only.","The audited 2024 statement assigns USD 71.027 million of net program expense to the USO Centers functional category.","Do not infer that every center received an equal amount or that this figure is cash-only.",ai_seeded
W2B-A006,USO,form990_total_revenue,legal_entity_USO_Inc,2024-01-01,2024-12-31,calendar_tax_year,168028301,"USD 168,028,301",currency,USD,"IRS Form 990 Part I line 12 current-year total revenue for United Service Organizations, Inc., EIN 13-1610451.",,W2B-SR003,"PDF p.7, IRS Form 990 Part I, line 12, Current Year",official_primary_candidate,,reporting_perimeter_difference,"None; compare only after preserving reporting perimeter.","USO, Inc.'s 2024 Form 990 reports USD 168,028,301 in total revenue.","Do not substitute this entity-level tax-return amount for the consolidated support-and-revenue total.",ai_seeded
W2B-A007,USO,form990_program_service_expense,legal_entity_USO_Inc,2024-01-01,2024-12-31,calendar_tax_year,111074246,"USD 111,074,246",currency,USD,"IRS Form 990 Part IX line 25 column B program-service expenses for United Service Organizations, Inc.",,W2B-SR003,"PDF p.18, IRS Form 990 Part IX, line 25, column B",official_primary_candidate,,reporting_perimeter_difference,"None.","USO, Inc.'s 2024 Form 990 reports USD 111,074,246 in program-service expenses.","Do not equate this entity-level tax-return measure with the USD 204.912 million consolidated program-services expense.",ai_seeded
W2B-A008,USO,form990_total_expense,legal_entity_USO_Inc,2024-01-01,2024-12-31,calendar_tax_year,163487334,"USD 163,487,334",currency,USD,"IRS Form 990 Part I line 18 and Part IX line 25 column A total expenses for United Service Organizations, Inc.",,W2B-SR003,"PDF p.7, Part I line 18; PDF p.18, Part IX line 25 column A",official_primary_candidate,,reporting_perimeter_difference,"None.","USO, Inc.'s 2024 Form 990 reports USD 163,487,334 in total expenses.","Do not equate this entity-level figure with the USD 258.883 million consolidated operating-expense figure.",ai_seeded
W2B-A009,USO,consolidated_reporting_perimeter,global_consolidated,2024-01-01,2024-12-31,year_ended,,"USO, Inc.; USO Foundation; domestic and overseas operating centers",text,,"Reporting perimeter stated by USO in the official 2024 financial-report wrapper.",,W2B-SR003,"PDF p.6, note above consolidated statement",official_primary_candidate,,none,"None.","USO states that the consolidated statements reflect USO, Inc., the USO Foundation, and domestic and overseas operating centers.","Do not assume the consolidated and Form 990 reporting perimeters are identical.",ai_seeded
W2B-A010,USO,global_center_count_lower_bound,global,2024-01-01,2024-12-31,calendar_year,250,"more than 250 / 250+",count_lower_bound,,"Organization-reported lower bound for operating centers worldwide; the impact report also uses 'locations' for its interactive map.",,W2B-SR003;W2B-SR004,"Form 990 wrapper PDF p.2; Global Impact Report PDF pp.12-14",official_primary_bounded,,center_location_terminology_overlap,"Use only as a lower-bound denominator for pressure tests.","USO reported operating more than 250 centers worldwide in 2024.","Do not treat 250 as an exact count or every listed location as a homogeneous center.",ai_seeded
W2B-A011,USO,program_and_service_uses_lower_bound,global,2024-01-01,2024-12-31,calendar_year,11300000,"over 11.3 million times",uses_lower_bound,,"Total times USO programs and services were accessed or used in 2024; an encounter/use count, not a unique-person count.",,W2B-SR003;W2B-SR004,"Form 990 wrapper PDF p.3; Global Impact Report PDF pp.12-13",official_primary_bounded,,none,"Can be used as a global use-count denominator, subject to the lower-bound sign.","USO reported more than 11.3 million program-and-service uses in 2024.","Do not call these 11.3 million unique beneficiaries or Okinawa uses.",ai_seeded
W2B-A012,USO,center_visits_lower_bound,global,2024-01-01,2024-12-31,calendar_year,7200000,"more than 7.2 million visits",visits_lower_bound,,"Number of times USO centers were visited worldwide; repeat visits are included.",,W2B-SR003;W2B-SR004,"Form 990 wrapper PDF p.3; Global Impact Report PDF p.13",official_primary_bounded,,none,"None.","USO reported more than 7.2 million center visits worldwide in 2024.","Do not call this a unique-person count or combine it additively with total uses.",ai_seeded
W2B-A013,USO,people_reached_lower_bound,global,2024-01-01,2024-12-31,calendar_year,950000,"950,000+",people_lower_bound,,"The impact report labels this as service members and spouses reached with USO programs; the financial-report wrapper uses service members and military families provided with programs and services.",,W2B-SR003;W2B-SR004,"Form 990 wrapper PDF p.3; Global Impact Report PDF p.13",official_primary_bounded,,population_label_wording_difference,"None.","USO reported reaching or providing programs to more than 950,000 service members and spouses or military families in 2024.","Do not mix this reach measure with visits or service uses; do not silently choose one population label as exact.",ai_seeded
