issue_id,severity,status,scope,category,summary,evidence,impact,recommended_action,owner_or_gate,blocks
"I001","BLOCKER","resolved","R3;R9 election;R5/R7;schema figures","git_whitespace","All nine originally scoped generated SVGs now receive deterministic trailing-space cleanup.","Final scan: R3=0; R9=0; R5/R7=0; schema=0 trailing-whitespace lines. All parse as XML; isolated double reruns are byte-stable.","Resolved; generated figures no longer create whitespace-noisy diffs.","Keep each generator's normalization and validation check.","module figure-generator owners","none"
"I002","BLOCKER","resolved","HR025;HR026;HR027;HR029;HR030;HR031","human_review_safety","All generators that own human task books preserve their declared human fields by stable object/review IDs and refuse unsafe loss where applicable.","Temporary injections survived two reruns for HR025, HR026, HR027 declared fields, HR029, HR030 and HR031; every second rerun had zero diff.","Resolved; routine regeneration no longer silently erases declared completed review fields.","Retain stable-key merge tests whenever task schemas change.","HR package owners","none"
"I003","BLOCKER","resolved","next-wave source integration","central_write_atomicity","The authorized central source-log write now validates the prospective state before an atomic same-directory replacement.","NW2H_FAIL_AFTER_SOURCE_VALIDATION returned rc=1 with source-log hash unchanged. A 247-row premerge copy plus NW2H_FAIL_BEFORE_ATOMIC_REPLACE returned rc=1, stayed at 247 rows and left no temp file.","Resolved; tested late failures no longer leave a partially committed central source log.","Keep the two failure-injection paths in regression QA.","source integration owner","none"
"I004","BLOCKER","resolved","R3 HR025 vs schema SF0400","cross_package_gate_conflict","AP123 now has one authoritative human gate: HR025. Schema freeze defers to that decision.","R3 retains AP123 in HR025; schema emits defer_to_HR025 and neither silently selects P007 nor creates a duplicate HR029 item.","Resolved; the schema layer cannot bypass the spatial-semantic human decision.","Run/merge HR025 before consuming the final schema freeze.","HR025 before HR029","none"
"I005","BLOCKER","resolved","HR027 registry expansion vs HR029 schema freeze","execution_order","Schema validation is dynamic for N actors and documentation explicitly orders HR027 before HR029.","The old 118/354 hard assertion is replaced by N x 3 actor-field validation; generated guidance states that registry decisions/merge precede final schema regeneration and HR029.","Resolved at generator level; accepted HR027 additions can be represented after regeneration.","Follow the declared operational order when human reviews return.","HR027 then HR029","none"
"I006","MAJOR","resolved","source proposal audit","human_field_semantics","The prefilled pseudo-human value blank_pending_human was removed from the source proposal audit.","The generator now uses machine_provisional_status and separately requires explicit claim/relation approval; no field implies a completed human merge decision.","Resolved; machine state can no longer be mistaken for human review.","Keep human-decision fields genuinely blank unless a reviewer acts.","source audit owner","none"
"I007","MAJOR","resolved","HR027;HR029;HR030","stable_id_design","Sequence-derived review identifiers were replaced or protected by stable business/object keys.","Examples include HR027-RV2C001 and HR030-S253-NW2FS006; HR029 uses stable candidate/review item identity. Injection reruns preserved declared fields.","Resolved; external review references survive deterministic regeneration.","Do not revert to ordinal-only IDs when adding rows.","HR027/HR029/HR030 owners","none"
"I008","MINOR","resolved","R9 and registry source proposal packages","historical_state_label","The module proposal files are explicitly identified as historical snapshots and linked to the bounded S248-S294 NW2-H integration mapping rather than mislabeled as the full current source log.","R9 README calls source_proposals_v1.csv a historical 21-row proposal snapshot and links ../next_wave_source_integration_v1/proposal_to_source_crosswalk_v1.csv. Registry README calls source_proposals_v2.csv historical and labels source_log_provenance_v2.csv as the S001-S294 batch snapshot. The integration README/validation now report the current 295-row S001-S295 source log while explicitly identifying S295 as a later HR-011 supplement outside the NW2-H batch.","Resolved; a package-local reader can trace the premerge snapshot to the authoritative batch mapping and then see the current 295-source baseline without implying claim approval or absorbing S295 into the historical batch.","Keep historical proposal rows immutable, retain the S248-S294 crosswalk and record later supplemental sources separately.","source crosswalk documentation","none"
"I009","MINOR","resolved","R9;registry;R5/R7;source integration source tables","approval_schema_consistency","All scoped source tables now use the controlled column relation_or_claim_approved with value no; provenance nuance is stored separately.","Read-only CSV check: R9 21/21 no; registry proposals 29/29 no; registry current provenance 29/29 no; R5/R7 189/189 no; integration proposal crosswalk 50/50 no; integration merge manifest 49/49 no. R5/R7 retains reused_existing_formal_observation__no_new_approval only in approval_provenance_scope, not as an approval value.","Resolved; generic joins can use one controlled field/value without mistaking provenance wording for approval.","Preserve relation_or_claim_approved=no as the controlled field and keep scope/status in separate columns.","source schema owners","none"
"I010","MINOR","open","all eight scripts","snapshot_provenance","Fixed package dates and snapshot guards aid reproducibility but require an explicit regeneration sequence after valid data growth.","Packages embed 2026-07-13 while the read-only QA baseline is now 118 actors / 295 sources / 222 actor-issue / 129 actor-place / 67 AEV. R3 and R5/R7 outputs have regenerated to the current inputs; the source integration package intentionally remains the bounded S248-S294 batch and treats S295 as a later supplement.","Future valid additions can require an intentional version bump, and a rerun can otherwise display an old build date or confuse a historical batch count with the current central total.","Separate package_snapshot_date from actual_run_date and document which guards are expected-version locks versus bounded historical-batch locks.","all package owners","future_rebuild"
