event_id,participant_no,participant_name_en,participant_category,origin_guess,actor_class_guess,matched_actor_id,match_status,role,relation_strength,source_id,source_detail,evidence_level,publishable_claim,notes
EV2020_OEJP_MMC_71,1,Diving Team Rainbow,Environmental organizations and groups in Okinawa,okinawa_local,environmental_ngo_or_group,,unmatched_registry_candidate,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,2,Dugong Network Okinawa,Environmental organizations and groups in Okinawa,okinawa_local,environmental_ngo_or_group,A003,exact_alias,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,3,Dugong no Sato,Environmental organizations and groups in Okinawa,okinawa_local,environmental_ngo_or_group,,unmatched_registry_candidate,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,4,Dugong Protection Foundation,Environmental organizations and groups in Okinawa,okinawa_local,environmental_ngo_or_group,A076,exact_alias,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,5,Okinawa Environmental Justice Project,Environmental organizations and groups in Okinawa,okinawa_local,environmental_ngo_or_group,A001,exact,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,6,Okinawa Environmental Network,Environmental organizations and groups in Okinawa,okinawa_local,environmental_ngo_or_group,A056,exact_alias,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,7,Okinawa Reefcheck and Research Group,Environmental organizations and groups in Okinawa,okinawa_local,environmental_ngo_or_group,,unmatched_registry_candidate,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,8,Okumagawa Basin Protection Foundation,Environmental organizations and groups in Okinawa,okinawa_local,environmental_ngo_or_group,,unmatched_registry_candidate,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,9,Protect Northernmost Dugong Team Zan,Environmental organizations and groups in Okinawa,okinawa_local,environmental_ngo_or_group,,unmatched_registry_candidate,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,10,Save Awasehigata Association (SAA),Environmental organizations and groups in Okinawa,okinawa_local,environmental_ngo_or_group,A055,exact_alias,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,11,Save the Dugong Campaign Center,Environmental organizations and groups in Okinawa,okinawa_local,environmental_ngo_or_group,A002,exact_alias,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,12,All Okinawa Council for Human Rights (AOCHR),"Peace, human rights and other organizations and groups in Okinawa",okinawa_local,peace_human_rights_or_other,A054,tentative_alias,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,13,"Association of Nightingales, Medical Professionals, and Students for the Protection of Life","Peace, human rights and other organizations and groups in Okinawa",okinawa_local,peace_human_rights_or_other,,unmatched_registry_candidate,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,14,East Asian Community Institute Ryukyu Okinawa Center,"Peace, human rights and other organizations and groups in Okinawa",okinawa_local,peace_human_rights_or_other,,unmatched_registry_candidate,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
EV2020_OEJP_MMC_71,15,Henoko Blue,"Peace, human rights and other organizations and groups in Okinawa",okinawa_local,peace_human_rights_or_other,,unmatched_registry_candidate,undersigned_organization_or_group,co_signatory_request,S006,"Letter of Request to the U.S. Marine Mammal Commission, July 10 2020, pages 5-7",E4 for event participation; actor identity may require separate verification,cautious,Co-signing/request participation only; does not prove stable alliance.
