event_id,event_name,event_year,action_type,actor_id,canonical_name,role,relation_strength,evidence_level,source_ref,interpretation_limit
EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,co_signing,A003,ジュゴンネットワーク沖縄,co_signer_or_participant,one_off_co_signatory,E3,S003,"co-signing is one-off event participation, not stable alliance"
EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,co_signing,A005,WWFジャパン,co_signer_or_participant,one_off_co_signatory,E4,S003,"co-signing is one-off event participation, not stable alliance"
EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,co_signing,A006,グリーンピース・ジャパン,co_signer_or_participant,one_off_co_signatory,E4,S003,"co-signing is one-off event participation, not stable alliance"
EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,co_signing,A061,日本野鳥の会,co_signer_or_participant,one_off_co_signatory,E4,S003,"co-signing is one-off event participation, not stable alliance"
EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,co_signing,A062,日本湿地ネットワーク（JAWAN）,co_signer_or_participant,one_off_co_signatory,E4,S003,"co-signing is one-off event participation, not stable alliance"
EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,co_signing,A004,日本自然保護協会,co_signer_or_participant,one_off_co_signatory,E4,S004,"co-signing is one-off event participation, not stable alliance"
EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,co_signing,A021,国際環境NGO FoE Japan,co_signer_or_participant,one_off_co_signatory,E4,S004,"co-signing is one-off event participation, not stable alliance"
EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,co_signing,A022,NPO法人 ラムサール・ネットワーク日本,co_signer_or_participant,one_off_co_signatory,E4,S004,"co-signing is one-off event participation, not stable alliance"
EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,co_signing,A023,美ら海にもやんばるにも基地はいらない市民の会,co_signer_or_participant,one_off_co_signatory,E4,S004,"co-signing is one-off event participation, not stable alliance"
EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,co_signing,A024,辺野古リレー,co_signer_or_participant,one_off_co_signatory,E4,S004,"co-signing is one-off event participation, not stable alliance"
