gap_id,actor_or_topic,related_anchor_ids,exhausted_question,queries_and_domains_checked,online_result,why_not_closed,needed_material,priority,task_destination,package_scope,claim_status,review_status,frontend_eligibility,central_writeback
NR05G001,A076 formation/legal form,H98_005;NR05OS002,"Exact 1999 formation month, charter, representatives and Japanese legal form.",complaint; Ryukyu dictionary; organization/legal case pages; general web,Year supported; October is a secondary lead; legal form unresolved.,Party pleading and dictionary are not the founding record.,"Founding charter/minutes, early newsletter or local newspaper report.",high,local_retrieval_or_new_primary,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05G002,A055 formation and Awase role boundary,H98_009;NR05OS003,Contemporaneous formation proof and exact organization/plaintiff/supporter relationship.,environment center; court judgment; JELF/JAWAN/Jichiro; newspaper,2001-01 formation directory claim and 2005 filing date found; organizational plaintiff status not found.,"Public coverage names spokespeople and movement, while caption uses residents/individuals.","Original complaints, movement minutes and founding charter.",high,local_retrieval_or_case_file,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05G003,A069 formation/continuity,NR05OS005,"Exact formation day, roster, legal status and activity after the early EIA period.",academic paper; archive catalog; EIA pages; web search,September 2003 secondary claim and a preparatory-material catalog locator.,The underlying 2003 item is not online; catalog metadata is not the document.,"Hosei archive item, founding statement, roster and subsequent newsletters.",high,archive_or_local_retrieval,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05G004,A015 Yonaguni opinion-ad committee,H98_015;NR05OS010,"Original ad, exact committee name, officers, participating organizations and survival.",JCP; Ryukyu/Okinawa/QAB; Yonaguni/Yaeyama web search; existing source archive,One party-newspaper report only.,No independent local source or primary ad found online.,"Yaeyama Mainichi/Yaeyama Nippo issue, ad image, committee material and town records.",highest,local_retrieval_tier2,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05G005,A096 Miyako early anti-deployment carrier,H98_013;NR05OS009,"Formation, officers, structure and continuity around/after the 2011 meeting.",Miyako Mainichi; group-name variants; current web,Near-contemporaneous event report found; organization history absent.,Event hosting is not a formation/continuity record.,"Flyer, minutes, local press sequence and organizer archive.",high,local_retrieval_tier2,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05G006,X010 ONC 1999 formation／2008 retrospective stage／2009 certification,H98_003;NR05OS001,Exact predecessor-name continuity and the semantics of the 2008 internal stage before 2009 certification.,ONC official; CLAIR interview; JICA report; NPO portal,Official certification is 2009-05-14; a later interview attributes NPO/current-name transition to 2008.,"2008 may denote resolution, application, name use or an imprecise retrospective date.",1999 charter/minutes; 2008 application/resolution/name-change records; 2009 certification file.,medium_high,new_primary_or_organization_archive,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05G007,A115 2008 request content and branch history,H98_010;NR05OS011,"Request text, prefectural response and 2000s Okinawa-branch continuity.",prefectural diary; national organization archive; web/news search,Exact occurrence found; content/outcome absent.,"Administrative diary is an index entry, not the submitted document.","Request, response, branch newsletter and meeting records.",medium_high,prefectural_file_or_branch_archive,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05G008,Okinawa NPO legal-status universe 1998-2012,H98_002,"Complete annual certifications, dissolutions/transfers and issue fields in Okinawa.","RIETI; Cabinet Office; Okinawa NPO Plaza newsletters, current法人 list and exit-event list",1999-2004 cumulative series and exact 2012 endpoint found. Current Okinawa hub also exposes a surviving-corporation table with certification dates/20 fields and a dissolution/cancellation/transfer table with exit dates.,"These online tables can build surviving cohorts and exit-event lower bounds, but exited corporations' certification dates are not complete in one table, so historical stock still requires entity-level portal recovery.","Next online wave: extract the two official tables, join surviving cohorts, then recover exited corporations' certification dates from NPO portal/entity records. Local retrieval is not yet justified.",high_online,online_followup_material_rich,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05G009,1998 fieldwork baseline replication,H98_001,Whether intermediary weakness/episodic activity characterized the wider Okinawa civic universe.,Ryukyu repository; J-STAGE; CiNii/J-STAGE literature leads,One contemporaneous course-fieldwork interpretation plus one heterogeneous environmental survey comparator.,Neither source is a population census; samples/questions differ.,"Comparable 1990s surveys, original instruments and NGO directories.",medium_high,literature_review_and_local_library,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05G010,A068→A019 lifecycle date,,Search-summary claim incorrectly attaching 2000 to the 1997 reorganization.,Senshu PDF full text; current organization page; central lifecycle table,PDF正文 states June 1997 推進協 and October 1997 developmental dissolution/new A019 carrier.,"Closed as a known exclusion, not an NR-05 anchor.",None for NR-05; do not reopen central LC002 absent new primary evidence.,do_not_dispatch,known_exclusion_only,research_only,candidate,ai_seeded,not_frontend_ready,no
