candidate_id,evidence_id,observed_name,actor_id,actor_name,record_context,period_or_date,role_as_recorded,source_receipt_id,exact_locator,evidence_effect,temporal_caution,review_status,fact_status
"W2D-PD001","PDS-E001","Brooke Epp","X004","American Welfare & Works Association (AWWA)","return_header_business_officer","tax period 2022-06-01/2023-05-31; signed 2024-03-01","AWWA Treasurer","PDS-SR001","ReturnHeader/BusinessOfficerGrp lines 23-27","Exact Epp spelling appears inside AWWA and anchors a current-at-filing AWWA role before the later Epps spelling.","Header role is a filing-point observation and does not prove service for the entire tax period; Part VII still lists Danielle Kessler as tax-period Treasurer.","ai_seeded","research_only_official_record_observation"
"W2D-PD001","PDS-E002","Brooke Epps","X004","American Welfare & Works Association (AWWA)","tax_period_part_vii","2023-06-01/2024-05-31","Financial Officer","PDS-SR002","IRS990/OfficerDirectorTrusteeEmplGrp lines 103-110","Provides the adjacent-period AWWA role with the near-name Epps spelling.","Tax-period listing is not an exact appointment start/end date.","ai_seeded","research_only_official_record_observation"
"W2D-PD001","PDS-E003","Brooke Epp","X006","Kadena Officers' Spouses' Club (KOSC)","return_header_and_principal_officer","tax period 2023-06-01/2024-05-31; signed 2025-03-06","President","PDS-SR004","ReturnHeader/BusinessOfficerGrp lines 34-40; IRS990/PrincipalOfficerNm line 54","Adds an exact-name KOSC role at the next filing point and makes a cross-actor continuity explanation substantially more plausible.","Part VII for this tax period lists Melissa Russell as President; the header therefore should be read as current at filing rather than retrojected across the tax period.","ai_seeded","research_only_official_record_observation"
"W2D-PD001","PDS-E004","Brooke Epp","X006","Kadena Officers' Spouses' Club (KOSC)","tax_period_part_vii","2024-06-01/2025-05-31","Outgoing President","PDS-SR005","IRS990/Form990PartVIISectionAGrp lines 226-233","Confirms the exact-name KOSC presidency in the succeeding tax period and fits the prior return-header succession signal.","Outgoing/Incoming labels describe the filing roster and still do not give exact appointment dates.","ai_seeded","research_only_official_record_observation"
"W2D-PD001","PDS-E005","Brooke Epp","context_only_no_actor_assignment","Kadena Air Base service context","official_government_story","official story event 2025-03-13; published 2025-03-19","909th ARS key support liaison","PDS-SR010","official article body and photo captions naming Brooke Epp","Places the exact name at Kadena in the same period as the KOSC filing and supplies independent official context.","The article does not mention AWWA or KOSC and cannot by itself close person identity across either organization.","ai_seeded","research_only_supplemental_context"
"W2D-PD002","PDS-E006","Jen Yapsing","X004","American Welfare & Works Association (AWWA)","tax_period_part_vii","2022-06-01/2023-05-31","Administrative Coordinator","PDS-SR001","IRS990/OfficerDirectorTrusteeEmplGrp lines 123-130","Establishes the first of two consecutive AWWA exact-name records.","Tax-period listing is not an exact appointment start/end date.","ai_seeded","research_only_official_record_observation"
"W2D-PD002","PDS-E007","Jennifer Yapshing","X005","Navy Officers' Spouses' Club Okinawa (NOSCO)","tax_period_part_vii","2022-07-01/2023-06-30","NOSCO VP of Operations","PDS-SR006","IRS990/Form990PartVIISectionAGrp lines 252-259","Creates a rare near-name cross-actor candidate in an almost fully overlapping period.","Jennifer/Jen and Yapsing/Yapshing are plausible variants but no filing explicitly treats them as aliases.","ai_seeded","research_only_official_record_observation"
"W2D-PD002","PDS-E008","Jen Yapsing","X004","American Welfare & Works Association (AWWA)","tax_period_part_vii","2023-06-01/2024-05-31","Administrative Coordinator","PDS-SR002","IRS990/OfficerDirectorTrusteeEmplGrp lines 111-118","Shows AWWA exact-name continuity for a second tax period.","AWWA continuity does not itself close the NOSCO near-name identity.","ai_seeded","research_only_official_record_observation"
"W2D-PD003","PDS-E009","Amber N Tracy","X004","American Welfare & Works Association (AWWA)","filer_in_care_of","tax period 2022-06-01/2023-05-31; return timestamp 2024-03-01","In care of filer","PDS-SR001","ReturnHeader/Filer/InCareOfNm line 13","Places the full name with middle initial in the AWWA filing context.","In-care-of is a filing contact field and is not an officer or board role.","ai_seeded","research_only_official_record_observation"
"W2D-PD003","PDS-E010","Amber N Tracy","X004","American Welfare & Works Association (AWWA)","books_in_care_of","tax period 2022-06-01/2023-05-31; return timestamp 2024-03-01","Books in care of","PDS-SR001","IRS990/BooksInCareOfDetail lines 155-165","Independently repeats the same full name in AWWA's books-custody detail and strengthens organizational association.","Books custody/contact does not establish board membership or an exact role term.","ai_seeded","research_only_official_record_observation"
"W2D-PD003","PDS-E011","AMBER TRACY","X007","Okinawa Enlisted Spouses' Club (OESC)","return_header_principal_officer_and_part_vii","tax period 2022-07-01/2023-06-30; signed 2024-04-22","President","PDS-SR007","ReturnHeader/BusinessOfficerGrp lines 33-39; PrincipalOfficerNm line 68; Part VII lines 243-250","Exact-name repetition across three official fields establishes a strong OESC presidency observation adjacent to the AWWA contact evidence.","The missing middle initial does not prove or disprove identity; tax-period and signing-point semantics remain distinct.","ai_seeded","research_only_official_record_observation"
"W2D-PD003","PDS-E012","Amber Tracy","X004","American Welfare & Works Association (AWWA)","tax_period_part_vii","2023-06-01/2024-05-31","President","PDS-SR002","IRS990/OfficerDirectorTrusteeEmplGrp lines 95-102","Adds an adjacent-period AWWA presidency and creates a plausible OESC-to-AWWA role sequence.","No single filing states that the OESC and AWWA names identify one person.","ai_seeded","research_only_official_record_observation"
"W2D-PD004","PDS-E013","Trinicia Kloepper","X004","American Welfare & Works Association (AWWA)","tax_period_part_vii","2022-06-01/2023-05-31","Publicity","PDS-SR001","IRS990/OfficerDirectorTrusteeEmplGrp lines 139-146","One side of an exact full-name same-period cross-actor candidate.","Exact full name is strong but not a unique identifier.","ai_seeded","research_only_official_record_observation"
"W2D-PD004","PDS-E014","Trinicia Kloepper","X006","Kadena Officers' Spouses' Club (KOSC)","tax_period_part_vii","2022-06-01/2023-05-31","Kadena Gift Corner Liaison","PDS-SR003","IRS990/Form990PartVIISectionAGrp lines 287-294","Exact full name and identical tax period make a dual-role explanation highly convergent.","The filing does not explicitly state concurrent service in AWWA.","ai_seeded","research_only_official_record_observation"
"W2D-PD004","PDS-E015","Trinicia Kloepper","X006","Kadena Officers' Spouses' Club (KOSC)","tax_period_part_vii","2023-06-01/2024-05-31","Kadena Gift Corner Liaison","PDS-SR004","IRS990/Form990PartVIISectionAGrp lines 274-281","Shows exact-name and exact-role continuity at KOSC for a second period.","Continuity at KOSC does not prove the earlier AWWA record is the same person at a unique-identifier standard.","ai_seeded","research_only_official_record_observation"
"W2D-PD004","PDS-E016","Trinicia Kloepper","context_only_no_actor_assignment","Whiteman Air Force Base family context","official_government_story","event 2014-07-02; published 2014-07-11","named military spouse in official photo caption","PDS-SR013","official article photo caption naming Trinicia Kloepper","Provides an older official exact-name military-family context independent of the IRS filings.","Different base and eight-year gap; it does not directly identify the 2022-2024 AWWA/KOSC filer.","ai_seeded","research_only_supplemental_context"
"W2D-PD005","PDS-E017","Lesilee Du Fresne","X007","Okinawa Enlisted Spouses' Club (OESC)","tax_period_part_vii","2023-07-01/2024-06-30","2nd Vice President","PDS-SR008","IRS990/Form990PartVIISectionAGrp lines 246-253","First adjacent-period OESC role with the spaced surname form.","Tax-period listing is not an exact appointment start/end date.","ai_seeded","research_only_official_record_observation"
"W2D-PD005","PDS-E018","Lesilee DuFresne","X007","Okinawa Enlisted Spouses' Club (OESC)","tax_period_part_vii","2024-07-01/2025-06-30","Advisor","PDS-SR009","IRS990/Form990PartVIISectionAGrp lines 266-274","Same organization plus adjacent period and role progression strongly support a spacing variant rather than a new person.","No filing explicitly declares the two strings aliases; this remains a principal identity decision.","ai_seeded","research_only_official_record_observation"
