task_id,queue_id,object_type,object_id,case_id,subject,evidence_level,source_refs,source_locator,needs_local_retrieval,review_question,impact_if_accept,impact_if_revise,impact_if_reject,decision,human_reviewer,review_date,decision_note
HR-017,R9Q-R9ST007,stage,R9ST007,R9C_YONAGUNI_2015,2012 opposition opinion-ad appeal,E2,R9S034,R9S034: 赤旗2012-08-31报道正文：意见广告执行委员会名称、共同代表与征集行动；需非政党来源交叉,yes,A015 仅由单一政党媒体支持；意见广告不是2015投票的正式请求或实施阶段，也不能证明与A014组织连续。,把R9ST007加入正式阶段表；全量时间线中该节点由空心改实心；brief可将“2012 opposition opinion-ad appeal”写为其当前证据等级下的正式阶段。,按人审修订R9ST007的日期、主体、结果或措辞后再决定是否进入正式阶段表；同步重绘节点标签/状态并改写brief对应事实。,R9ST007继续排除于正式阶段表，并从全量图的待审节点移出或转入拒绝说明；brief不得再把该事项作为程序阶段。,,,,
HR-017,R9Q-R9ST010,stage,R9ST010,R9C_YONAGUNI_2015,Opposition campaign (start unknown),E2,R9S032,R9S032: QAB 2015-02-23报道正文：委员会名称、上地国生委员长及投票结果语境,yes,不得把A014写成投票发起者或实施者；活动精确起日、成立、成员与持续性均未闭合。,把R9ST010加入正式阶段表；全量时间线中该节点由空心改实心；brief可将“Opposition campaign (start unknown)”写为其当前证据等级下的正式阶段。,按人审修订R9ST010的日期、主体、结果或措辞后再决定是否进入正式阶段表；同步重绘节点标签/状态并改写brief对应事实。,R9ST010继续排除于正式阶段表，并从全量图的待审节点移出或转入拒绝说明；brief不得再把该事项作为程序阶段。,,,,
HR-017,R9Q-R9ST012,stage,R9ST012,R9C_YONAGUNI_2015,632 support / 445 oppose,E3,R9S007,R9S007: 报道标题／导语：赞成632、反对445；正文：无效票、选举人与投票率,yes,未取得町选管官方结果表；数字可作有来源的保守记录，不能升级为E4。,把R9ST012加入正式阶段表；全量时间线中该节点由空心改实心；brief可将“632 support / 445 oppose”写为其当前证据等级下的正式阶段。,按人审修订R9ST012的日期、主体、结果或措辞后再决定是否进入正式阶段表；同步重绘节点标签/状态并改写brief对应事实。,R9ST012继续排除于正式阶段表，并从全量图的待审节点移出或转入拒绝说明；brief不得再把该事项作为程序阶段。,,,,
HR-017,R9Q-R9ST027,stage,R9ST027,R9C_ISHIGAKI_2018_2024,Status-confirmation chain filed,E3,R9S027;R9S029,R9S027: CALL4判决PDF：裁判书首页案号／当事人栏、前审摘要、主文与理由；精确页码待人审记录 | R9S029: CALL4案件页：原告、これまでの経緯、裁判の状況／最高裁通知日期各节,no,精确起诉日和那霸地裁官方判决全文未取得；不得与第一条义务付け诉讼合并。,把R9ST027加入正式阶段表；全量时间线中该节点由空心改实心；brief可将“Status-confirmation chain filed”写为其当前证据等级下的正式阶段。,按人审修订R9ST027的日期、主体、结果或措辞后再决定是否进入正式阶段表；同步重绘节点标签/状态并改写brief对应事实。,R9ST027继续排除于正式阶段表，并从全量图的待审节点移出或转入拒绝说明；brief不得再把该事项作为程序阶段。,,,,
HR-017,R9Q-R9ST028,stage,R9ST028,R9C_ISHIGAKI_2018_2024,First-chain appeal ends,E3,R9S026;R9S029,R9S026: 福冈高裁特别保存事件一览：令和2年（行コ）第3号、令和5年（行コ）第6号对应行 | R9S029: CALL4案件页：原告、これまでの経緯、裁判の状況／最高裁通知日期各节,no,官方保存表确认案号但不能替代判决全文；上诉起日未知。,把R9ST028加入正式阶段表；全量时间线中该节点由空心改实心；brief可将“First-chain appeal ends”写为其当前证据等级下的正式阶段。,按人审修订R9ST028的日期、主体、结果或措辞后再决定是否进入正式阶段表；同步重绘节点标签/状态并改写brief对应事实。,R9ST028继续排除于正式阶段表，并从全量图的待审节点移出或转入拒绝说明；brief不得再把该事项作为程序阶段。,,,,
HR-017,R9Q-R9ST030,stage,R9ST030,R9C_ISHIGAKI_2018_2024,Second-chain district judgment,E3,R9S027,R9S027: CALL4判决PDF：裁判书首页案号／当事人栏、前审摘要、主文与理由；精确页码待人审记录,no,现有依据为高裁判决所载前审信息；仍需那霸地裁官方判决全文。,把R9ST030加入正式阶段表；全量时间线中该节点由空心改实心；brief可将“Second-chain district judgment”写为其当前证据等级下的正式阶段。,按人审修订R9ST030的日期、主体、结果或措辞后再决定是否进入正式阶段表；同步重绘节点标签/状态并改写brief对应事实。,R9ST030继续排除于正式阶段表，并从全量图的待审节点移出或转入拒绝说明；brief不得再把该事项作为程序阶段。,,,,
HR-017,R9Q-R9ST031,stage,R9ST031,R9C_ISHIGAKI_2018_2024,Second-chain high-court judgment,E3,R9S026;R9S027,R9S026: 福冈高裁特别保存事件一览：令和2年（行コ）第3号、令和5年（行コ）第6号对应行 | R9S027: CALL4判决PDF：裁判书首页案号／当事人栏、前审摘要、主文与理由；精确页码待人审记录,no,CALL4收录裁判书不是法院托管E4；案号由官方保存表交叉确认。,把R9ST031加入正式阶段表；全量时间线中该节点由空心改实心；brief可将“Second-chain high-court judgment”写为其当前证据等级下的正式阶段。,按人审修订R9ST031的日期、主体、结果或措辞后再决定是否进入正式阶段表；同步重绘节点标签/状态并改写brief对应事实。,R9ST031继续排除于正式阶段表，并从全量图的待审节点移出或转入拒绝说明；brief不得再把该事项作为程序阶段。,,,,
HR-017,R9Q-R9ST032,stage,R9ST032,R9C_ISHIGAKI_2018_2024,Supreme Court decision; loss final,E2,R9S028;R9S029,R9S028: QAB报道正文：2024-09-26最高裁决定及败诉确定；处分用语须与原件核对 | R9S029: CALL4案件页：原告、これまでの経緯、裁判の状況／最高裁通知日期各节,no,取得最高裁一手决定前只用中性措辞；不得确定写成上告棄却或上告不受理。,把R9ST032加入正式阶段表；全量时间线中该节点由空心改实心；brief可将“Supreme Court decision; loss final”写为其当前证据等级下的正式阶段。,按人审修订R9ST032的日期、主体、结果或措辞后再决定是否进入正式阶段表；同步重绘节点标签/状态并改写brief对应事实。,R9ST032继续排除于正式阶段表，并从全量图的待审节点移出或转入拒绝说明；brief不得再把该事项作为程序阶段。,,,,
HR-017,R9Q-R9ST033,stage,R9ST033,R9C_ISHIGAKI_2018_2024,A011 dissolution meeting reported,E2,R9S019;R9S029,R9S019: OTV报道正文：最高裁终局措辞与2024-11-27解散集会；须与官方决定／组织材料核对 | R9S029: CALL4案件页：原告、これまでの経緯、裁判の状況／最高裁通知日期各节,yes,S051当前域名内容错配；组织沿革与解散仍需历史网页、会报或当地材料闭合。,把R9ST033加入正式阶段表；全量时间线中该节点由空心改实心；brief可将“A011 dissolution meeting reported”写为其当前证据等级下的正式阶段。,按人审修订R9ST033的日期、主体、结果或措辞后再决定是否进入正式阶段表；同步重绘节点标签/状态并改写brief对应事实。,R9ST033继续排除于正式阶段表，并从全量图的待审节点移出或转入拒绝说明；brief不得再把该事项作为程序阶段。,,,,
HR-017,R9Q-R9R001,role,R9R001,R9C_NAGO_1997,名護市民投票推進協議会 — initiative_and_signature_organizer,E4,R9S001,R9S001: 官方PDF pp.44–47：名护直接请求、签名、条例与投票程序,no,官方事件名与A068现规范名不一致；改名、alias或拆分由人工决定。,把R9R001加入正式角色表；正式阶段表不因此自动新增阶段；图仅在对应节点的主体说明需要时更新，brief可正式使用“名護市民投票推進協議会／initiative_and_signature_organizer”角色。,按人审修订R9R001的主体映射、角色类型或边界后再决定是否进入正式角色表；阶段表保持不变，涉及主体标签的图与brief同步修订。,R9R001继续排除于正式角色表；阶段节点可按独立证据保留，但图与brief不得再把该角色归给当前主体。,,,,
