candidate_id,action,original_stage_id,case_id,stage_type,date_start,date_end,process_action,formal_basis,decision_body_or_forum,outcome,source_refs,evidence_level,review_status,merge_bucket,interpretation_limit,notes
QAR9ST001,replace,R9ST005,R9C_NAGO_1997,result,1997-12-21,1997-12-21,"官方结果为赞成2562、条件付赞成11705、反对16254、条件付反对385","municipal referendum ordinance","Nago Election Administration Commission","合并赞成14267、合并反对16639；投票者31477；有效票30906；无效565；投票率82.45%",QAR9S001,E4,qa_verified,safe_merge,"百分比必须注明全体投票者或有效票分母","原总数正确；将主证从地方新闻升级为官方XLS"
QAR9ST002,replace,R9ST009,R9C_YONAGUNI_2015,campaign_mobilization,,2015-02-22,"反对侧委员会围绕部署、前线化和投票过程开展公开行动",public_campaign,"Public sphere / referendum campaign","同期报道确认委员会名称和上地国生委员长",QAR9S013,E2,needs_human_review,human_review,"不得把A014写成投票发起者或实施者；活动精确起日未知","删除无来源的2015-01-01；阶段可与条例修正并发"
QAR9ST003,replace,R9ST022,R9C_ISHIGAKI_2018_2024,council_rejection,2019-02-01,2019-02-01,"石垣市议会否决市长提交的住民投票条例案",municipal_ordinance_bill,"Ishigaki City Council","条例未成立、投票未实施",QAR9S002,E4,qa_verified,safe_merge,"市政府2月4日通知日不等于议会决定日","官方议案结果页确认2019-02-01"
QAR9ST004,replace,R9ST023,R9C_ISHIGAKI_2018_2024,second_council_rejection,2019-06-17,2019-06-17,"议员提出議案第2号住民投票条例案；市议会再次否决",councillor_proposed_municipal_ordinance_bill,"Ishigaki City Council","议员提案未成立",QAR9S003,E4,qa_verified,safe_merge,"不得写成市长第二次提交","该修正改变原brief中的制度机制"
QAR9ST005,replace,R9ST025,R9C_ISHIGAKI_2018_2024,district_court_result,2020-08-27,2020-08-27,"那霸地裁审理实施义务付け等请求","Administrative Case Litigation Act","Naha District Court","令和元年行ウ14号・15号之诉全部却下",QAR9S005,E4,qa_verified,safe_merge,"却下是程序性／适法性判断；不等于法院裁判部署政策是非","使用法院迁移后URL"
QAR9ST006,add_after,R9ST025,R9C_ISHIGAKI_2018_2024,first_chain_appeal,,2021-03-23,"实施义务付け等第一诉讼链进入福冈高裁那霸支部","Administrative Case Litigation Act","Fukuoka High Court Naha Branch","令和2年行コ3号已终结；精确主文待取得判决全文",QAR9S006,E4,needs_human_review,human_review,"官方保存表可确认案号但不能替代裁判全文；上诉起日未知","不得与令和3年行ウ5号的第二诉讼链混合"
QAR9ST007,replace,R9ST026,R9C_ISHIGAKI_2018_2024,ordinance_framework_change,2021-06-28,2021-06-28,"市议会通过议员提出的自治基本条例修正案，删除住民投票第27/28条",municipal_ordinance_amendment,"Ishigaki City Council","常设住民投票条款被删除","QAR9S004;R9S018",E4,qa_verified,safe_merge,"只写制度机会结构改变；不推断由诉讼直接导致","官方议事日程与市回顾材料交叉支持"
QAR9ST008,reject_and_split,R9ST027,R9C_ISHIGAKI_2018_2024,follow_on_litigation,2021-01-01,2024-09-30,"原记录把上诉与另诉合并为单一阶段",mixed_litigation,"High Court / Supreme Court","不得原样合并",,E0,qa_rejected,reject,"混合令和2年行コ3号与令和3年行ウ5号／令和5年行コ6号两条诉讼链","以下QAR9ST009-011为拆分候选"
QAR9ST009,add_split,R9ST027,R9C_ISHIGAKI_2018_2024,status_confirmation_district_result,2023-05-23,2023-05-23,"地位确认等第二诉讼链由那霸地裁判决","party/status-confirmation litigation","Naha District Court","令和3年行ウ5号；判决内容由高裁判决所载前审信息支持",QAR9S008,E3,needs_human_review,human_review,"需要那霸地裁官方判决全文与精确起诉日","不得与第一条义务付け诉讼混同"
QAR9ST010,add_split,R9ST027,R9C_ISHIGAKI_2018_2024,status_confirmation_high_court_result,2024-03-12,2024-03-12,"福冈高裁那霸支部审理地位确认等上诉","party/status-confirmation litigation","Fukuoka High Court Naha Branch","令和5年行コ6号判决",QAR9S008,E3,needs_human_review,human_review,"CALL4收录裁判书不是法院托管E4；案号可由官方保存表交叉确认","需要官方裁判书或法院认证副本"
QAR9ST011,add_split,R9ST027,R9C_ISHIGAKI_2018_2024,supreme_court_finalization,2024-09-26,2024-09-26,"最高裁决定后第二诉讼链败诉确定",supreme_court_procedure,"Supreme Court","地方媒体与组织侧案件页均称2024-09-26收到决定；案号与程序类型待核",QAR9S009,E2,needs_human_review,human_review,"在决定原件取得前不得确定写为上告棄却或上告不受理","采用中性终局表述"
