candidate_id,action,target_source_id,existing_source_id,case_id,source_tier,source_type,title,year,url,supports,evidence_level,review_status,merge_bucket,archive_action,notes
QAR9S001,add_or_map,R9S003,,R9C_NAGO_1997,primary_official,municipal_result_xls,"1997年12月21日名護市民投票結果",1997,https://www.city.nago.okinawa.jp/kurashi/2018071901216/file_contents/19971221simintouhyou.xls,"完整票数、选举人、投票者、有效无效票和投票率",E4,qa_verified,safe_merge,archive,"官方XLS核心总计一致；某当日投票小计有90票差异，不引用该小计"
QAR9S002,add,,,R9C_ISHIGAKI_2018_2024,primary_official,municipal_council_result,"令和元年第1回石垣市議会臨時会提出議案と議決結果",2019,https://www.city.ishigaki.okinawa.jp/soshiki/gikai/teireikairinnjikai/teisyutugianntokekka/reiwagannnenndo/1310.html,"第一次住民投票条例案于2019-02-01否决",E4,qa_verified,safe_merge,archive,"新增议会决定页；原R9S014旧通知页另映射S138"
QAR9S003,add,,,R9C_ISHIGAKI_2018_2024,primary_official,municipal_council_result,"令和元年第4回石垣市議会定例会提出議案と議決結果",2019,https://www.city.ishigaki.okinawa.jp/soshiki/gikai/teireikairinnjikai/teisyutugianntokekka/reiwagannnenndo/1314.html,"2019-06-17議員提出議案第2号及否决",E4,qa_verified,safe_merge,archive,"证明第二案不是市长再次提交"
QAR9S004,add,,,R9C_ISHIGAKI_2018_2024,primary_official,municipal_council_agenda,"令和3年第5回石垣市議会定例会議事日程",2021,https://www.city.ishigaki.okinawa.jp/material/files/group/33/r3-6-28gijinittei.pdf,"2021-06-28自治基本条例修正议案与议决",E4,qa_verified,safe_merge,archive,"与R9S018回顾材料交叉支持条款删除"
QAR9S005,update_url,R9S015,S137,R9C_ISHIGAKI_2018_2024,primary_official,court_judgment,"石垣市住民投票実施義務付け等請求事件判決",2020,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-89731.pdf,"14263有效签名、议会过程、令和元年行ウ14/15和全部却下",E4,qa_verified,safe_merge,rearchive,"旧/app/files URL 已迁移；R9S015应映射S137而非online-only"
QAR9S006,add,,,R9C_ISHIGAKI_2018_2024,primary_official,court_preservation_list,"福岡高等裁判所特別保存事件一覧",2025,https://www.courts.go.jp/fukuoka-h/vc-files/fukuoka-h/reiwa7.pdf,"令和2年行コ3号与令和5年行コ6号案号",E4,qa_verified,safe_merge,archive,"保存表确认案号；不能替代判决主文"
QAR9S007,retain,R9S016,,R9C_ISHIGAKI_2018_2024,primary_official,court_preservation_list,"那覇地方裁判所特別保存事件一覧",2024,https://www.courts.go.jp/naha/vc-files/naha/2024/chisai/minji/tokubetuhozon/R3kanketubunitiranhyou.pdf,"令和元年行ウ14/15及终局日",E4,qa_verified,safe_merge,archive,"原R9S016可保留"
QAR9S008,add,,,R9C_ISHIGAKI_2018_2024,primary_litigation_archive,court_judgment_copy,"令和5年行コ第6号判決",2024,https://www.call4.jp/file/pdf/202407/5f499d29696072751d0d60cc3a9077f5.pdf,"第二诉讼链高裁判决、前审令和3年行ウ5号与日期",E3,needs_human_review,human_review,archive,"CALL4托管而非法院官网；案号可与官方保存表交叉"
QAR9S009,add,,,R9C_ISHIGAKI_2018_2024,secondary_local,local_tv_news,"石垣住民投票訴訟 最高裁で敗訴確定",2024,https://www.qab.co.jp/news/20241007226830.html,"2024-09-26最高裁决定及败诉确定",E2,needs_human_review,human_review,archive,"与OTV程序措辞冲突；不据此确定棄却或不受理"
QAR9S010,add,,,R9C_ISHIGAKI_2018_2024,primary_positioned,organization_case_profile,"石垣市住民投票を求める裁判 CALL4案件页",2024,https://www.call4.jp/search.php?items_id=I0000141&items_id_PAL%5B%5D=match+comp&run=true&type=action,"组织自述的成立、代表、诉讼支持和最高裁通知日期",E3,needs_human_review,human_review,archive,"组织侧材料不等于法院对组织原告身份的确认"
