position_id,source_key,citation,year,source_kind,url_or_locator,locator,verification_status,prior_claim,our_possible_increment,forbidden_novelty_claim,evidence_limit,research_status,frontend_eligibility,central_writeback
LP001,NPO_ACT_HISTORY,"内閣府NPOホームページ「NPO法のこれまでの経緯」；「NPO制度の概要」；e-Gov法令検索「特定非営利活動促進法」",1998-2012,official_law_and_guidance,"https://www.npo-homepage.go.jp/about/seidokaisei-keii/sokushinhou-koremade | https://www.npo-homepage.go.jp/about/npo-kisochishiki/nposeido-gaiyou | https://laws.e-gov.go.jp/law/410AC1000000007?occasion_date=20250411","内閣府：1998-03-19成立、1998-12-01施行及2011修法；制度概要：法人格、情報公開、信用",official_pages_checked,"NPO法确立了法人认证与信息公开基础设施；制度设计把法人名义交易和公开信息与社会信用联系起来。","把法律身份、法定公开记录和组织事件记录拆开，检验法人化是否提高了材料留存，而不是直接推定运动能力。","NPO法导致组织专业化、寿命增长、行动强化或影响力提高。","e-Gov链接为现行整合文本，包含后续修法；制度目的与机制不是冲绳的经验效果。",research_only,not_frontend_ready,no
LP002,OKINAWA_21C_ANNEX,"沖縄県「沖縄21世紀ビジョン基本計画 付属資料」",2012,official_prefectural_plan,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/014/232/04fuzokusiryou.pdf,"2010年基準：認証NPO法人509、県とNPOの協働事業71；PDF内对应指标表",official_pdf_checked,"到2010年，冲绳县已用认证法人数量和县-NPO协作项目作为政策指标，说明部门层面的制度基础设施已可见。","将全县宏观制度背景与基地问责组织的个案沿革分开，检验哪些组织进入了这种记录制度。","全县认证法人数量证明基地相关actor也发生法人化，或证明其在所有NPO中的占比。","宏观总量不是基地议题分母；协作项目数也不是独立组织数、资助边数或政治立场。",research_only,not_frontend_ready,no
LP003,SUZUKI_1998,"鈴木規之「政策科学・国際関係論専攻における社会学的フィールドワークの可能性」『政策科学・国際関係論集』創刊号 109–150",1998,academic_full_text,https://u-ryukyu.repo.nii.ac.jp/record/2002381/files/No1p109.pdf,"pp.130–134；抽样限制见pp.149–150",full_text_checked,"作者在1990年代末已讨论冲绳NGO的脆弱性、中介组织不足，以及反基地行动向女性和环境领域延伸；还报告了一个学生NGO认知小调查。","用可核组织锚点检验当时的作者判断，并区分组织转型、制度记录和后来的数字可见性。","冲绳运动向女性／环境议题分化，或中介基础设施不足，是本项目首次发现。","100名琉大学生的小型教学调查不是随机总体调查；部门判断主要是作者解释，不能作为组织数量或因果证据。",research_only,not_frontend_ready,no
LP004,ASATO_IKEDA_2001,"安里直美・池田孝之「沖縄地域における参加型環境保全活動の実態と支援方策上の課題」『ランドスケープ研究』64(5):849–854",2001,academic_full_text,https://doi.org/10.5632/jila.64.849,"方法与对象：1996年问卷29份有效、1996–1998访谈；抽样排除基地相关且政党色彩浓的市民运动",full_text_checked,"研究已经识别环境保全团体的自然保全／生活环境类型、行政和市民协作，以及资金、成员、技术和固定核心不足。","保留其抽样边界，把环境保全样本与基地问责载体放入统一字段，寻找实际跨界、转型和负案例。","该研究证明环境NPO和基地问责运动天然分离，或已经测量NPO法的效果。","样本主动排除了部分基地相关政治运动；29份有效问卷来自目的性筛选，且主要数据早于NPO法施行。",research_only,not_frontend_ready,no
LP005,SPENCER_2003,"Caroline Spencer, “Meeting of the Dugongs and the Cooking Pots: Anti-Military Base Citizens’ Groups on Okinawa,” Japanese Studies 23(2):125–140",2003,academic_publisher_abstract,https://doi.org/10.1080/1037139032000129676,"出版社摘要：six anti-base citizens’ groups；1995、1997、2001事件；environmentalism、feminism、anti-militarism",publisher_abstract_checked,"六个反基地市民团体以及环保、女性主义和反军国主义视角进入运动，已经在2003年被明确研究。","在先行六团体框架之外，补有日期的法律身份、改名、案件轮次和材料留存比较。","环保／女性议题被反基地运动吸收，或议题多元化，是本项目的新发现。","本轮未取得全文；摘要不能支持六团体完整名单、法律身份、内部关系或因果机制。",research_only,not_frontend_ready,no
LP006,INOUE_2004,"Masamichi S. Inoue, “We Are Okinawans But of a Different Kind: New/Old Social Movements and the U.S. Military in Okinawa,” Current Anthropology 45(1)",2004,academic_publisher_abstract,https://doi.org/10.1086/379632,"出版社摘要：offshore-base dispute；ecology、peace、women’s issues、human rights；historical unity and contemporary diversity",publisher_abstract_checked,"生态、和平、女性和人权与反基地运动的关系及其多样性，已有民族志／理论研究定位。","以组织级日期、法律形态和文件渠道补充民族志解释，并检验哪些可见性来自资料制度。","生态、女性、人权作为反基地新语言是本项目首次识别。","本轮只核出版社摘要；争议个案的民族志解释不是全县组织总体统计。",research_only,not_frontend_ready,no
LP007,JICA_2000_OKINAWA,"国際協力事業団『平成11年度特定テーマ評価調査報告書「沖縄県との連携協力」』",2000,official_agency_report,https://openjicareport.jica.go.jp/pdf/11591823.pdf,"pp.17–19（PDF pp.23–24）：1996年調査、10数団体、法人／非法人、個人・単発活動、1999年協議会形成",official_full_text_checked,"1990年代末国际合作领域也并存法人、非法人、个人化和单一目的／一次性活动，并面临信息、网络与资金问题。","把该领域作为反例，比较不同议题领域在相似时期的法律身份与记录渠道，而不是预设基地领域独有事件化载体。","非正式或一次性组织载体只由基地问责产生，或同期一般NGO已经普遍稳定法人化。","JICA视角只覆盖国际合作部门；团体估计与活动描述不能代表冲绳全部民间组织。",research_only,not_frontend_ready,no
LP008,JICA_2003_PARTNERSHIP,"国際協力機構『地域に根ざしたNGOとの連携のために―草の根NGOとJICAとのパートナーシップ構築―』",2003,official_agency_report,https://openjicareport.jica.go.jp/pdf/11712098.pdf,"pp.34–35（PDF pp.39–40）：沖縄约40团体、小规模与资源问题、协作网络形成但当时无专任事务局／办公室",official_full_text_checked,"2000年代初的国际合作NGO中介基础设施仍在形成，规模、财政、人力、宣传与网络问题并存。","追踪中介网络从协作会到法人组织的分阶段变化，并与案件型问责载体作有界比较。","NPO制度化在2000年代初已完成，或一般NGO都是成熟稳定的法人组织。","项目合作报告具有机构政策视角，不是独立的全县组织普查，也不覆盖基地问责领域。",research_only,not_frontend_ready,no
LP009,ONC_HISTORY,"沖縄NGOセンター「団体概要」；自治体国際化協会 市民国際プラザ interview；沖縄県NPO法人認証名簿",1999-2009,organization_history_and_official_registry,"https://www.oki-ngo.org/about/directors | https://www.plaza-clair.jp/interview/contents/00115921.html | https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/890/1_r804npohou.pdf","1999-06協議会形成；interview称2008法人化／改名；県名簿列認証日2009-05-14",official_and_organization_pages_checked,"ONC展示了从协作网络到NPO法人的渐进组织化轨迹，而不是成立即法人。","把1999形成、改名决定、法人申请和官方认证拆成不同锚点，并把日期差异作为待核项。","一个组织的法人化证明整个冲绳NGO部门或基地actor都发生同样转型。","2008与2009可能分别指内部决议／改名和法律认证；无原始申请、登记或会议记录时不能自行合并日期语义。",research_only,not_frontend_ready,no
LP010,OKINAWA_NPO_WHITEPAPER_2012,"沖縄県NPO白書（出版说明页）",2012,commissioned_report_landing_page,https://machiwaku.com/20120404_770/,"2012-04-04出版；说明以县内NPO法人调查及2010年度事业报告为基础，正文37页、资料93页",landing_page_checked,"2012年前后已存在利用法定事业报告制作的NPO部门白书，显示法人部门具有系统性文献记录。","取得全文后，只用来建立法人部门的记录机制和可比指标，再与非法人事件记录匹配。","白书能够说明基地问责actor的法人比例、总体活动或组织边界。","本轮未取得正文；说明页只可作为报告存在与方法概况的locator，且调查对象按设计限于NPO法人。",research_only,not_frontend_ready,no
