review_item_id,object_type,object_id,principal_decision,central_human_decision,final_review_status,final_evidence_level,claim_status,scope_kind,central_action,decision_source_report
HR035-B02-ID-A007,actor_identity,A007,revise_identity,revise,human_revised,E4,,actor_identity,identity_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-ID-A017,actor_identity,A017,accept_identity,accept,human_checked,E4,,actor_identity,identity_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-ID-A018,actor_identity,A018,revise_identity,revise,human_revised,E4,,actor_identity,identity_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-ID-A049,actor_identity,A049,revise_identity,revise,human_revised,E3,,actor_identity,identity_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-ID-A066,actor_identity,A066,revise_identity,revise,human_revised,E4,,actor_identity,identity_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI016,actor_issue_fact,AI016,revise,revise,human_revised,E4,supported_bounded,event_specific,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI040,actor_issue_fact,AI040,accept,accept,human_checked,E4,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI042,actor_issue_fact,AI042,accept,accept,human_checked,E4,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI044,actor_issue_fact,AI044,revise,revise,human_revised,E4,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI119,actor_issue_fact,AI119,revise,revise,human_revised,E3,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI121,actor_issue_fact,AI121,revise,revise,human_revised,E3,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI157,actor_issue_fact,AI157,defer_second_source,defer,needs_second_source,E4,candidate,organizational_positioning,kept_as_candidate_needs_second_source,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI158,actor_issue_fact,AI158,defer_second_source,defer,needs_second_source,E4,candidate,organizational_positioning,kept_as_candidate_needs_second_source,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI159,actor_issue_fact,AI159,revise,revise,human_revised,E4,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI223,actor_issue_fact,AI223,accept,accept,human_checked,E4,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI225,actor_issue_fact,AI225,accept,accept,human_checked,E4,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI226,actor_issue_fact,AI226,accept,accept,human_checked,E4,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI232,actor_issue_fact,AI232,revise,revise,human_revised,E3,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI233,actor_issue_fact,AI233,revise,revise,human_revised,E4,supported_bounded,event_specific,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI234,actor_issue_fact,AI234,revise,revise,human_revised,E3,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI236,actor_issue_fact,AI236,revise,revise,human_revised,E4,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI237,actor_issue_fact,AI237,accept,accept,human_checked,E4,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
HR035-B02-AI240,actor_issue_fact,AI240,accept,accept,human_checked,E4,supported_bounded,organizational_positioning,fact_fields_updated,docs/human_review_return_HR035_batch02_v1.md
