claim_id,report_locator,metric_group,reported_value,verified_value,numeric_check_status,source_of_truth
RCA001,L008;P004,base_non_source,"{""actor_issue"":222,""actor_place"":129,""actors"":118,""aev"":67,""coaction"":169,""evidence_notes"":49,""legal_cases"":6,""legal_roles"":27,""relations"":43}","{""actor_issue"":222,""actor_place"":129,""actors"":118,""aev"":67,""coaction"":169,""evidence_notes"":49,""legal_cases"":6,""legal_roles"":27,""relations"":43}",match,data/interim/01_actor_registry_initial_v0.csv;data/interim/07_actor_issue_edges_initial_v0.csv;data/interim/08_actor_place_edges_initial_v0.csv;data/interim/15_funding_or_support_edges_sample_v0.csv;data/interim/06_evidence_notes_v0.csv;data/interim/09_actor_event_venue_edges_v0.csv;data/interim/25_coaction_event_participation_v0.csv;data/interim/17_legal_policy_procedure_cases_v0.csv;data/interim/18_legal_policy_actor_roles_v0.csv
RCA002,L008;P004,source_count,"{""sources"":295}","{""sources"":295}",match,data/interim/05_source_log_initial_v0.csv
RCA005,L008;P004,wave_status,"{""max_source_id"":295,""post_s247"":48,""s199_s247"":49,""s248_s294_archived"":40,""s248_s294_failed"":7,""s295_archived"":1,""s295_present"":1}","{""max_source_id"":295,""post_s247"":48,""s199_s247"":49,""s248_s294_archived"":40,""s248_s294_failed"":7,""s295_archived"":1,""s295_present"":1}",match,data/interim/05_source_log_initial_v0.csv;source_docs/source_archive/source_archive_manifest.csv
RCA013,L026;P013,origin,"{""international"":13,""japan_domestic"":24,""okinawa_local"":56,""us_based"":17}","{""international"":13,""japan_domestic"":24,""okinawa_local"":56,""us_based"":17}",match,data/interim/01_actor_registry_initial_v0.csv
RCA014,L026;P013,actor_evidence_review,"{""E2"":4,""E3"":26,""E4"":88,""ai_seeded"":74,""human_checked"":22,""human_revised"":4,""needs_local_retrieval"":2,""needs_second_source"":14,""watchlist_only"":2}","{""E2"":4,""E3"":26,""E4"":88,""ai_seeded"":74,""human_checked"":22,""human_revised"":4,""needs_local_retrieval"":2,""needs_second_source"":14,""watchlist_only"":2}",match,data/interim/01_actor_registry_initial_v0.csv
RCA017,L054;P019,class_counts,"{""citizen_group"":16,""citizen_network"":24,""international_advocacy_actor"":7,""international_ngo"":16,""japan_domestic_ngo"":11}","{""citizen_group"":16,""citizen_network"":24,""international_advocacy_actor"":7,""international_ngo"":16,""japan_domestic_ngo"":11}",match,data/interim/01_actor_registry_initial_v0.csv
RCA018,L056;P020,schema_counts,"{""actor_classes"":25,""analysis_families"":10,""out_schema_actors"":9,""out_schema_terms"":6}","{""actor_classes"":25,""analysis_families"":10,""out_schema_actors"":9,""out_schema_terms"":6}",match,outputs/R01_R02_actor_issue_v1/validation_metrics_v1.csv;outputs/R01_R02_actor_issue_v1/actor_class_controlled_mapping_v1.csv;outputs/R01_R02_actor_issue_v1/actor_class_audit_118_v1.csv
RCA021,L066;P025,actor_issue_counts,"{""edges"":222}","{""edges"":222}",match,data/interim/07_actor_issue_edges_initial_v0.csv
RCA023,L070;P027,actor_issue_counts,"{""actors"":118,""candidate"":163,""connected"":101,""edges"":222,""human"":59,""isolated"":17,""issues"":26}","{""actors"":118,""candidate"":163,""connected"":101,""edges"":222,""human"":59,""isolated"":17,""issues"":26}",match,outputs/R01_R02_actor_issue_v1/validation_metrics_v1.csv
RCA024,L070;P027,actor_issue_scopes,"{""case"":40,""event"":74,""positioning"":43,""undecided"":65}","{""case"":40,""event"":74,""positioning"":43,""undecided"":65}",match,data/interim/07_actor_issue_edges_initial_v0.csv;outputs/R01_R02_actor_issue_v1/cross_issue_actors_v1.csv
RCA025,L072;P028,bridge_counts,"{""double_human"":16,""multi_issue"":72,""positioning"":10}","{""double_human"":16,""multi_issue"":72,""positioning"":10}",match,outputs/R01_R02_actor_issue_v1/cross_issue_actors_v1.csv;outputs/R01_R02_actor_issue_v1/validation_metrics_v1.csv
RCA027,L080;P032,coaction_identity,"{""2010_total"":67,""2015_total"":31,""2020_total"":71,""total"":169}","{""2010_total"":67,""2015_total"":31,""2020_total"":71,""total"":169}",match,data/interim/25_coaction_event_participation_v0.csv;outputs/R05_coaction_v1/event_catalog_v0.csv
RCA033,L098;P041,r4_fact_counts,"{""Ishigaki"":4,""Miyako"":2}","{""Ishigaki"":4,""Miyako"":2}",match,outputs/R04_sakishima_frame_corpus_v0/entity_frame_safe_matrix_v0.csv;outputs/R04_sakishima_frame_corpus_v0/hr016_review_items_v0.csv
RCA036,L108;P046,r4_yonaguni_sources,"{""autonomy"":2,""environment"":0,""frontline"":6,""life_safety"":2}","{""autonomy"":2,""environment"":0,""frontline"":6,""life_safety"":2}",match,outputs/R04_sakishima_frame_corpus_v0/three_place_safe_source_matrix_v0.csv;outputs/R04_sakishima_frame_corpus_v0/entity_frame_safe_matrix_v0.csv
RCA038,L112;P048,r3_semantics,"{""advocacy"":60,""event"":5,""hq"":4,""institution"":6,""site"":37,""unclear"":17}","{""advocacy"":60,""event"":5,""hq"":4,""institution"":6,""site"":37,""unclear"":17}",match,data/interim/32_actor_place_semantic_candidates_v1.csv;outputs/R03_spatial_dossier_v1/actor_place_semantic_summary_v1.csv
RCA039,L116;P050,aev,"{""analytical"":4,""co_signing"":33,""human"":63,""litigation"":12,""opinion_ad"":1,""pathway_role"":4,""public_rally"":2,""referendum"":4,""request_letter"":11,""rows"":67}","{""analytical"":4,""co_signing"":33,""human"":63,""litigation"":12,""opinion_ad"":1,""pathway_role"":4,""public_rally"":2,""referendum"":4,""request_letter"":11,""rows"":67}",match,data/interim/09_actor_event_venue_edges_v0.csv
RCA040,L118;P051,coaction_identity,"{""2010_alias"":10,""2010_event_only"":41,""2010_registry"":16,""2015_alias"":0,""2015_event_only"":0,""2015_registry"":31,""2020_alias"":12,""2020_event_only"":43,""2020_registry"":16,""alias"":22,""event_only"":84,""registry"":63,""total"":169}","{""2010_alias"":10,""2010_event_only"":41,""2010_registry"":16,""2015_alias"":0,""2015_event_only"":0,""2015_registry"":31,""2020_alias"":12,""2020_event_only"":43,""2020_registry"":16,""alias"":22,""event_only"":84,""registry"":63,""total"":169}",match,data/interim/25_coaction_event_participation_v0.csv;outputs/R05_coaction_v1/event_catalog_v0.csv
RCA041,L120;P052,heterogeneous,"{""actions"":15,""input_rows"":148,""units"":39,""venues"":9}","{""actions"":15,""input_rows"":148,""units"":39,""venues"":9}",match,outputs/R05_R07_heterogeneous_repertoire_v1/input_layer_audit_v1.csv;outputs/R05_R07_heterogeneous_repertoire_v1/repertoire_event_action_venue_units_v1.csv
RCA042,L122;P053,repeat_counts,"{""overlap_2010_2015"":10,""overlap_2010_2020"":8,""overlap_2015_2020"":3,""repeat_actors"":15}","{""overlap_2010_2015"":10,""overlap_2010_2020"":8,""overlap_2015_2020"":3,""repeat_actors"":15}",match,outputs/R05_coaction_v1/repeat_participation_bridges_v0.csv;outputs/R05_coaction_v1/event_overlap_v0.csv
RCA045,L128;P056,referendum,"{""additional_roles"":9,""additional_stages"":9,""formal_roles"":25,""formal_stages"":24}","{""additional_roles"":9,""additional_stages"":9,""formal_roles"":25,""formal_stages"":24}",match,data/interim/20_referendum_process_stages_v0.csv;outputs/R09_referendum_process_v0/actor_process_roles_v0.csv;outputs/R09_referendum_process_v0/process_stages_reviewed_all_v0.csv;outputs/R09_referendum_process_v0/actor_process_roles_reviewed_all_v0.csv
