"step_id","order","input_scope","operation","current_count","expected_output","write_target","gate","status"
"USS-001","1","service source proposals","preserve proposal rows and normalize URLs","38","38 proposal receipts","planning workspace only","proposal IDs unique","designed"
"USS-002","2","accountability source proposals","preserve proposal rows and normalize URLs","7","7 proposal receipts","planning workspace only","proposal IDs unique","designed"
"USS-003","3","accepted or revised actor-directory pages","extract verification URLs without importing stance or relation claims","58","58 directory receipts before overlap removal","planning workspace only","directory decision mapping exact","designed"
"USS-004","4","all proposal and directory receipts","deduplicate by normalized URL plus document owner date record type and locator","58 candidate references in current union pre-audit","57 normalized URLs","frozen source plan","manual review of near-duplicate documents","designed"
"USS-005","5","normalized URLs versus central source log","reuse exact central sources","57","4 exact existing URLs plus candidates","frozen source plan","source ownership and document identity match","designed"
"USS-006","6","ProPublica interface URLs","pair or replace with IRS TEOS or official XML receipts","9","official filing receipts where available","frozen source plan","tax period and form identity match","required_before_write"
"USS-007","7","remaining new URL candidates","assign contiguous S-IDs only after freeze","<=53","exact count pending official-record substitution and dedupe","data/interim/05_source_log_initial_v0.csv","separate central writeback approval","blocked"
"USS-008","8","new source rows","initialize workflow fields","pending","review_status=ai_seeded; relation_or_claim_approved=no","data/interim/05_source_log_initial_v0.csv","zero claim approval leakage","blocked"
"USS-009","9","S056 S082 S097","apply locator or capture overlays without replacing archive bytes","3","bounded metadata and capture records","source overlays","old archive hashes unchanged","designed"
"USS-010","10","newly merged source log","run source archive as a separate operation","pending","archive receipts and manifest update","source_docs/source_archive","central merge complete and approved","blocked"
