literature_id,citation,year,theme,prior_contribution,project_increment,novelty_boundary,source_url,verification_status,source_package,package_scope,frontend_eligibility,central_writeback
W2E-LP001,内閣府NPOホームページ「NPO法のこれまでの経緯」；「NPO制度の概要」；e-Gov法令検索「特定非営利活動促進法」,1998-2012,NPO_ACT_HISTORY,NPO法确立了法人认证与信息公开基础设施；制度设计把法人名义交易和公开信息与社会信用联系起来。,把法律身份、法定公开记录和组织事件记录拆开，检验法人化是否提高了材料留存，而不是直接推定运动能力。,NPO法导致组织专业化、寿命增长、行动强化或影响力提高。,https://www.npo-homepage.go.jp/about/seidokaisei-keii/sokushinhou-koremade | https://www.npo-homepage.go.jp/about/npo-kisochishiki/nposeido-gaiyou | https://laws.e-gov.go.jp/law/410AC1000000007?occasion_date=20250411,official_pages_checked,nr05_literature_positioning_v1,research_only,not_frontend_ready,no
W2E-LP003,鈴木規之「政策科学・国際関係論専攻における社会学的フィールドワークの可能性」『政策科学・国際関係論集』創刊号 109–150,1998,SUZUKI_1998,作者在1990年代末已讨论冲绳NGO的脆弱性、中介组织不足，以及反基地行动向女性和环境领域延伸；还报告了一个学生NGO认知小调查。,用可核组织锚点检验当时的作者判断，并区分组织转型、制度记录和后来的数字可见性。,冲绳运动向女性／环境议题分化，或中介基础设施不足，是本项目首次发现。,https://u-ryukyu.repo.nii.ac.jp/record/2002381/files/No1p109.pdf,full_text_checked,nr05_literature_positioning_v1,research_only,not_frontend_ready,no
W2E-LP005,"Caroline Spencer, “Meeting of the Dugongs and the Cooking Pots: Anti-Military Base Citizens’ Groups on Okinawa,” Japanese Studies 23(2):125–140",2003,SPENCER_2003,六个反基地市民团体以及环保、女性主义和反军国主义视角进入运动，已经在2003年被明确研究。,在先行六团体框架之外，补有日期的法律身份、改名、案件轮次和材料留存比较。,环保／女性议题被反基地运动吸收，或议题多元化，是本项目的新发现。,https://doi.org/10.1080/1037139032000129676,publisher_abstract_checked,nr05_literature_positioning_v1,research_only,not_frontend_ready,no
W2E-LP006,"Masamichi S. Inoue, “We Are Okinawans But of a Different Kind: New/Old Social Movements and the U.S. Military in Okinawa,” Current Anthropology 45(1)",2004,INOUE_2004,生态、和平、女性和人权与反基地运动的关系及其多样性，已有民族志／理论研究定位。,以组织级日期、法律形态和文件渠道补充民族志解释，并检验哪些可见性来自资料制度。,生态、女性、人权作为反基地新语言是本项目首次识别。,https://doi.org/10.1086/379632,publisher_abstract_checked,nr05_literature_positioning_v1,research_only,not_frontend_ready,no
W2E-LP013,"Jonathan Taylor, “Environment and Security Conflicts: The U.S. Military in Okinawa,” The Geographical Bulletin 48(1):3–13",2006,TAYLOR_2006,小型环保团体成立、解散、改名、成员变化导致谱系重建困难，以及边野古汇合生态、和平、女性、反基地和历史话语，2006年已经被提出。,用来源分级和日期锚点把法人化、改名、案件团、实行委员会、继承关系与材料留存拆开，而不是再次描述流动性。,组织频繁改名／生灭或边野古跨议题汇合，是本项目首次发现。,https://digitalcommons.kennesaw.edu/thegeographicalbulletin/vol48/iss1/1/,full_text_checked,nr05_literature_positioning_v1,research_only,not_frontend_ready,no
W2E-L002,"宮西香穂里 (Kaori Miyanishi) (2012), 沖縄軍人妻の研究",2012,garrison_society_family_service,"Military-family life, support institutions, spouse networks, good-neighbor activities, and local interaction reproduce an everyday social world around the bases while also containing conflict and ambivalence","Direct basis for treating spouse clubs, family services, and community contact as organizational infrastructure; does not prove their political effect","Publisher page, contents, ISBN 9784876982370, and issue date 2012-11 verified",https://www.kyoto-up.or.jp/book.php?isbn=9784876982370,bibliography_verified,us_presence_literature_positioning_v1,research_only,not_frontend_ready,no
W2E-L003,"Masamichi S. Inoue (2004), ‘We are Okinawans but of a different kind’: New/old social movements and the U.S. Military in Okinawa",2004,anti_base_social_movements,"Okinawan mobilization combines historical continuity with contemporary diversity across ecology, peace, women, and human-rights agendas; class and material conditions remain central","Issue diversification is established scholarship; the database can add longitudinal actor, role, and relation evidence rather than claim discovery of diversity",University research portal and DOI verified,https://scholars.uky.edu/en/publications/we-are-okinawans-but-of-a-different-kind-newold-social-movements-/,bibliography_verified,us_presence_literature_positioning_v1,research_only,not_frontend_ready,no
W2E-L004,"Claudia Junghyun Kim (2021), Dugong v. Rumsfeld: social movements and the construction of ecological security",2021,transnational_environmental_accountability,"Movement actors constructed ecological security and turned local struggles into transnational causes, although symbolic resonance and diffusion were partial",The project can reconstruct the actor-role-venue-output pathway and compare institutional outcomes; environmental translation itself is not a new finding,SAGE article page and DOI verified,https://journals.sagepub.com/doi/10.1177/1354066120950013,bibliography_verified,us_presence_literature_positioning_v1,research_only,not_frontend_ready,no
W2E-L005,"Claudia Junghyun Kim (2023), Base Towns: Local Contestation of the U.S. Military in Korea and Japan",2023,base_town_mobilization,Broad mobilization becomes possible when activists politicize quotidian disruption with locally resonant frames and local political allies; some strategies can also reinforce the presumed inevitability of U.S. presence,"Makes local-damage framing and local political mediation prior findings; database contribution is organizational infrastructure, comparison, and typed mechanisms",Oxford Academic book page and DOI verified,https://academic.oup.com/book/44893,bibliography_verified,us_presence_literature_positioning_v1,research_only,not_frontend_ready,no
W2E-L008,"Johanna O. Zulueta (2020), Transnational Identities on Okinawa’s Military Bases: Invisible Armies",2020,garrison_society_labor_migration,The base is reproduced through civilian labor and transnational migration as well as through military personnel,Defines an important boundary: an NGO database captures only part of garrison reproduction and should identify labor/migration nodes as contextual or future layers,Springer book page and DOI verified,https://link.springer.com/book/10.1007/978-981-32-9787-6,bibliography_verified,us_presence_literature_positioning_v1,research_only,not_frontend_ready,no
