spine_id,lane,date_start,date_end,date_precision,period_band,actor_ids,actor_or_interface,event_type,event_summary,observed_output,interface_or_venue,source_receipt_ids,source_relationship,evidence_level,review_status,claim_status,interpretation_role,competing_explanation,claim_limit,historical_identity_status,figure_priority,package_scope,frontend_eligibility,central_writeback
W2E-H001,accountability,1982,1982,year,1972_1997,A052,嘉手納基地爆音差止訴訟原告団,litigation_entry,The first Kadena noise-litigation round was filed in 1982.,A durable plaintiff-group/case record begins.,Japanese court/litigation system,W2E-S010,official_organization_retrospective_human_reviewed,E4,human_checked,supported_bounded,Long-running litigation creates a stable documentary backbone.,Later organizational continuity is reconstructed retrospectively.,Do not assume identical plaintiffs across rounds.,central_actor_round_bounded,1,research_only,not_frontend_ready,no
W2E-H002,accountability,1995,1995,year,1972_1997,A049,基地・軍隊を許さない行動する女たちの会,organization_formation,The group formed after the 1995 U.S.-military sexual-violence incident.,A women/human-rights carrier became publicly identifiable.,movement organization,W2E-S009,academic_secondary_human_reviewed,E3,human_revised,supported_bounded,Women/human-rights framing becomes an organizational carrier.,A secondary study may compress the formation process.,No legal-form or full-period continuity claim.,central_actor_identity_reviewed,1,research_only,not_frontend_ready,no
W2E-H003,accountability,1995,1995,year,1972_1997,A111,沖縄県女性団体連絡協議会,base_related_womens_mobilization,A long-standing women's network is retrospectively documented in 1995 base-removal mobilization.,Women-network mobilization entered the base-accountability repertoire.,street mobilization/public claim,W2E-S011,local_news_retrospective_human_reviewed,E4,human_checked,supported_bounded,Older civic infrastructure could be reactivated around base violence.,The retrospective source may select emblematic episodes.,Event participation is not a permanent alliance with A049.,central_actor_historical_event_bounded,0,research_only,not_frontend_ready,no
W2E-H004,accountability,1997-06-27,1997-10-06,day_range,1972_1997,A068,ヘリポート基地建設の是非を問う名護市民投票推進協議会,referendum_direct_request,"The council initiated a Local Autonomy Act direct request, submitted signatures and obtained an ordinance after council redesign.","17,539 valid signatures and an enacted four-choice ordinance.",municipal direct-request and council procedure,W2E-S014,official_primary_human_reviewed,E4,human_revised,supported_bounded,Local autonomy translated opposition into a formal vote procedure.,Institutional actors changed the question design.,Signature participation is not organization membership.,central_actor_time_bounded,1,research_only,not_frontend_ready,no
W2E-H005,accountability,1997-12-21,1997-12-24,day_range,1972_1997,A068,1997名護市民投票,referendum_result_and_executive_response,The referendum produced an opposition majority; three days later the mayor accepted the project and resigned.,A vote record and a divergent executive decision.,municipal referendum and mayoral decision,W2E-S012;W2E-S013,official_primary_human_reviewed,E4,human_checked,supported_bounded,Formal participation and executive authority remained distinct.,The vote may still have political effects not captured by legal binding force.,Do not describe the vote as a legal veto or as meaningless.,case_event_not_new_actor,1,research_only,not_frontend_ready,no
W2E-H006,accountability,1998,1998,year,1998_2012,A019,ヘリ基地反対協議会,organization_reorganization,The 1997 referendum carrier was reorganized into a distinct successor organization around 1998.,A successor carrier preserved issue continuity without identity merger.,movement organization,W2E-S012;W2E-S014,official_chronology_plus_human_lifecycle_review,E4,human_revised,supported_bounded,Movement functions can persist through organizational reorganization.,Exact dissolution and formation decisions remain incompletely documented.,A068 and A019 remain separate actors; no simple rename.,central_successor_relation_bounded,1,research_only,not_frontend_ready,no
W2E-H007,accountability,2002,2003,year_range,1998_2012,A053,普天間基地爆音訴訟団,litigation_round,Residents filed the first Futenma noise-litigation cases across 2002 and 2003.,Court filings produced a durable case chronology.,Japanese court,W2E-NR05S008;W2E-NR05S009,official_case_record_plus_retrospective,E4,ai_seeded,candidate,Court records preserve rounds more precisely than current organization summaries.,Organization pages may use launch year while judgments distinguish filings.,A round is not a new actor and does not imply identical plaintiffs.,central_actor_round_candidate,0,research_only,not_frontend_ready,no
W2E-H008,accountability,2003-09-25,2003-09-25,day,1998_2012,A009;A020;A045;A076;A086,Okinawa Dugong v. Rumsfeld parties/counsel,transnational_litigation_entry,Named organizations and counsel entered a U.S. federal NHPA venue.,A U.S. complaint and case record.,U.S. federal court,W2E-NR05S010;W2E-NR05S011,contemporaneous_primary,E4,ai_seeded,candidate,English-language legal procedure creates an unusually durable transnational trace.,Visibility may reflect legal hosting and publication capacity.,Case co-presence is not a stable alliance; A002/A019 remain non-parties.,case_specific_roles,1,research_only,not_frontend_ready,no
W2E-H009,accountability,2004-02-03,2004-03-30,day_range,1998_2012,,913名申請人（個人集合）,administrative_nonentry,"A pollution-mediation application was accepted, heard three times and dismissed for lack of statutory jurisdiction.",An official nonentry/dismissal record.,Okinawa Prefecture Pollution Review Board,W2E-NR05S012,official_retrospective,E4,ai_seeded,candidate,Institutional design can make exclusion itself visible.,Jurisdictional exclusion is not evidence of weak claims or weak mobilization.,Do not actorize the 913 applicants or attach a named organization without the file.,anonymous_collective_not_actorized,1,research_only,not_frontend_ready,no
W2E-H010,accountability,2004-04-19,2004-04-19,day,1998_2012,A019,ヘリ基地反対協議会,onsite_action,A documented Henoko sit-in/maritime-obstruction episode began.,A dated on-site action anchor.,Henoko fishing port,W2E-NR05S013;W2E-NR05S014,retrospective_plus_secondary,E3,ai_seeded,candidate,On-site repertoires leave weaker organization records than courts and formal procedures.,Several carriers may have shared the site.,Do not backfill the entire later sit-in history into one unchanged actor.,central_actor_event_candidate,0,research_only,not_frontend_ready,no
W2E-H011,accountability,2004-06-10,2004-06-10,day,1998_2012,A004,日本自然保護協会,eia_formal_comment,NACS-J submitted a dated opinion on the EIA method statement.,A formal environmental-procedure record.,Japanese environmental-impact assessment,W2E-NR05S015,contemporaneous_primary,E4,ai_seeded,candidate,Scientific/environmental claims gain durable dates through procedural submission.,The hosted archive favors organizations with publication capacity.,A formal comment is not project suspension or acceptance.,central_actor_procedural_role_candidate,1,research_only,not_frontend_ready,no
W2E-H012,accountability,2005-05-20,2005-05-20,day,1998_2012,,泡瀬第一波公金訴訟（个人原告）,public_funds_litigation,Individual residents filed the first Awase public-funds lawsuit.,A court case; A055 appears only as movement/support actor.,Naha District Court,W2E-NR05S016;W2E-NR05S017,court_record_plus_near_period_report,E4,ai_seeded,candidate,Legal procedure separates plaintiff identity from movement support.,Public spokespeople can be mistaken for organizational plaintiffs.,Do not encode A055 as organizational plaintiff.,individual_plaintiffs_not_actorized,0,research_only,not_frontend_ready,no
W2E-H013,accountability,2008-02-14,2008-02-14,day,1998_2012,A115,新日本婦人の会沖縄県本部,administrative_request,The prefectural branch made a request concerning a U.S.-Marine sexual-assault case.,A dated prefectural administrative-diary entry.,Okinawa Prefectural Government,W2E-NR05S018,contemporaneous_primary,E4,ai_seeded,candidate,Administrative diaries preserve occurrence while often omitting claim text and outcome.,The branch may have a longer offline history.,Do not transfer the action to the national parent or infer outcome.,branch_event_candidate,0,research_only,not_frontend_ready,no
W2E-H014,accountability,2010-05-14,2010-05-14,day,1998_2012,A005,WWF Japan and 67 listed domestic organizations,joint_statement_event,A 67-organization Henoko statement was issued/submitted.,A complete dated participant list.,organization-hosted statement/national ministries,W2E-NR05S019,contemporaneous_primary,E4,ai_seeded,candidate,Hosted lists expand visible participation while overstating durable network density if read as alliances.,Organizer hosting creates a source-cluster effect.,"Co-signing is event participation, not stable alliance.",event_hyperedge_not_dyadic_alliance,1,research_only,not_frontend_ready,no
W2E-H015,accountability,2011-04-28,2011-04-28,day,1998_2012,A052,嘉手納基地爆音差止訴訟原告団,litigation_round,The third Kadena noise-litigation round was filed.,A new round in a continuing plaintiff-group history.,Japanese court,W2E-NR05S020,official_organization_retrospective,E4,ai_seeded,candidate,Case rounds preserve continuity and participant turnover as separate questions.,Current official histories may simplify internal changes.,No new actor and no identical-plaintiff inference.,central_actor_round_candidate,0,research_only,not_frontend_ready,no
W2E-H016,accountability,2011-06-23,2011-06-23,day,1998_2012,A096,下地島空港の軍事利用に反対する会,public_meeting,A096 hosted a meeting opposing a proposed SDF use of Shimojishima Airport.,A dated event but weak continuity evidence.,Miyako/Shimojishima public meeting,W2E-NR05S021,secondary_local,E3,ai_seeded,candidate,Sakishima action is event-visible before its organizations become historically traceable.,The carrier may predate the meeting or be temporary.,Use only as minimum activity date.,central_actor_event_candidate,1,research_only,not_frontend_ready,no
W2E-H017,accountability,2012,2012,year,1998_2012,A053,普天間基地爆音訴訟団,litigation_round,"The second Futenma noise-litigation round began, with related filings extending into 2013.",A second-round case chronology.,Japanese court,W2E-NR05S008;W2E-NR05S009,official_case_record_plus_retrospective,E4,ai_seeded,candidate,A 2012 boundary anchor connects the historical spine to current case infrastructure.,Website and judgment use different compression.,Keep 2013 carryover visible; no new actor.,central_actor_round_candidate,0,research_only,not_frontend_ready,no
W2E-H018,accountability,2012-08-25,2012-08-25,day,1998_2012,A015,与那国島への自衛隊配備に反対する意見広告実行委員会,temporary_committee_formation,A party newspaper reported a founding press conference for an anti-deployment opinion-ad committee.,A single event/identity lead.,Yonaguni opinion-ad campaign,W2E-NR05S022,lead,E2,needs_local_retrieval,candidate,Eventized Sakishima carriers are where online continuity breaks most sharply.,The committee may be temporary and the source is not independent.,No registry/genealogy change without the original ad and local press.,central_actor_identity_deferred,1,research_only,not_frontend_ready,no
W2E-H019,service_care,1972,1972,year,1972_1997,X004,American Women's Welfare Association / AWWA,umbrella_formation_retrospective,Two later public histories place the AWWA umbrella in 1972 but disagree over five versus six coordinating clubs and do not resolve the 1971 council lineage.,A dated umbrella-function hypothesis and an explicit genealogy conflict.,military-spouse charity coordination,W2E-S006;W2E-S008;W2E-S005,official_public_affairs_retrospectives_plus_pre_reversion_archive,E3,ai_seeded,needs_local_retrieval,Service-side coordination is historically deep but its organization identity is not closed.,"The 1972 event may be a rename, reorganization or new umbrella after reversion.",Do not create predecessor/successor edges or freeze member counts.,central_actor_current_identity_historical_genealogy_open,1,research_only,not_frontend_ready,no
W2E-H020,service_care,1972-04-13,1972-05,bounded_range,1972_1997,,国際社会事業団沖縄代表部→国際福祉沖縄事務所,governance_and_legal_transition,The legal/name conversion is dated to 13 April 1972; the subsequent board initiative shifted toward Okinawan leadership in May.,A bounded legal/name transition followed by a documented governance change.,international welfare institution,W2E-S001;W2E-S003,official_archive_reconstruction,E4,ai_seeded,candidate,Reversion reorganized a base-linked welfare interface rather than simply ending it.,"This may combine localization, funding substitution and institutional rupture.",No central actor ID or automatic continuity edge.,research_interface_no_actorization,1,research_only,not_frontend_ready,no
W2E-H021,service_care,1979,1979,year,1972_1997,,国際福祉沖縄事務所,care_to_rights_proposal,The office issued an Okinawa proposal that converted accumulated stateless-child cases into nationality-law and reciprocal-support demands.,A formal policy/rights claim distributed beyond Okinawa.,proposal/public-policy arena,W2E-S001;W2E-S003;W2E-S004,official_archive_plus_legislative_primary,E4,ai_seeded,candidate,Care cases were aggregated and translated into rights claims.,The proposal was one input among national and international legal changes.,Do not claim sole causality for the 1985 reform.,research_interface_no_actorization,1,research_only,not_frontend_ready,no
W2E-H022,service_care,1980-05,1980-08,bounded_range,1972_1997,,国際福祉相談所,scope_expansion_and_organizational_rename,The service scope broadened in May 1980; the legal/name conversion followed in August.,A bounded scope change followed by a legal/name transition.,social-welfare corporation,W2E-S001;W2E-S002;W2E-S003,official_retrospective,E4,ai_seeded,candidate,Service organizations can change scope and identity while preserving functions.,"A rename may hide changes in staff, finance and governance.",Time-bound aliases only; no registry mutation.,research_interface_no_actorization,0,research_only,not_frontend_ready,no
W2E-H023,service_care,1981-03,1981-03,month,1972_1997,,国際福祉相談所,administrative_petition,The office petitioned municipalities that had not applied national health insurance to stateless/foreign-national children.,A care-derived administrative request.,municipal administrations,W2E-S001,official_archive_reconstruction,E4,ai_seeded,candidate,Translation from individual welfare cases to administrative rights did not require an anti-base label.,Municipal responses varied and are not fully reconstructed.,Do not infer universal compliance or political alignment.,research_interface_no_actorization,0,research_only,not_frontend_ready,no
W2E-H024,service_care,1983-03-15,1983-03-15,day,1972_1997,,国際福祉相談所,national_ministry_hearing,Two representatives presented views at a Justice Ministry hearing on an interim nationality-law proposal.,Entry into a national legislative-policy process.,Ministry of Justice hearing,W2E-S001,official_archive_reconstruction,E4,ai_seeded,candidate,The care-to-rights pathway reached a national institutional venue.,The record does not isolate which argument changed the draft.,Entry and testimony are not a causal effect estimate.,research_interface_no_actorization,1,research_only,not_frontend_ready,no
W2E-H025,service_care,1984-04-06,1984-04-20,day_range,1972_1997,,国際福祉相談所／瀧岡直美,diet_testimony_and_deliberation,"A consultation-office caseworker testified to the Diet; in later committee debate, one legislator explicitly called the 1979 Okinawa proposal one origin of the reform work.",A named witness and an explicitly acknowledged agenda input in the legislative record.,House of Representatives Justice Committee,W2E-S001;W2E-S004,official_legislative_primary_plus_archive,E4,ai_seeded,candidate,A welfare institution entered and informed a formal national rights-accountability agenda.,Multiple national actors and treaty/equality pressures also shaped reform.,Do not attribute the statute or an independent causal share to a single witness or organization.,person_role_not_actor_registry,1,research_only,not_frontend_ready,no
W2E-H026,service_care,1985-01-01,1985-01-01,day,1972_1997,,日本国籍法改正,policy_change_context,"The nationality-law reform took effect after the documented proposal, hearings and Diet testimony.","A substantive policy change temporally connected to, but not uniquely attributable to, the office's work.",national legislation,W2E-S001;W2E-S004,official_primary_plus_retrospective,E4,ai_seeded,candidate,This is a rare historical candidate for service/care work reaching beyond record creation.,"CEDAW preparation, broader equality politics and other actors were major causes.",ATTRIBUTION remains bounded; no sole-causality claim.,policy_context_not_actor_edge,1,research_only,not_frontend_ready,no
W2E-H027,service_care,1992,1999,year_range,1972_1997,X004,AWWA,aggregate_local_giving,A 2000 USMC compilation reports annual aggregate contributions to Japanese recipients for most years 1992-1999.,A multi-year service/resource trace without ultimate-recipient rows.,military public-affairs record,W2E-S006,official_public_affairs_retrospective,E3,ai_seeded,candidate,Service-side resource channels predate current websites and Form 990 extraction.,"Definitions, member composition and publicity selection may vary by year.","No recipient network, annual total or funding-source inference without the original ledger.",central_actor_historical_aggregate_candidate,0,research_only,not_frontend_ready,no
W2E-H028,service_care,1997,1997,year,1972_1997,,国際福祉相談所／平田正代,base_responsibility_claim,A public-history reconstruction reports an explicit claim that base conditions generated most cases even while operational cooperation with U.S. military offices was sometimes necessary.,A candidate care-to-base-accountability articulation.,public speech/publication,W2E-S007,secondary_reconstruction,E3,ai_seeded,needs_local_retrieval,Historical welfare practice was not inherently nonpolitical.,This may be a late leadership statement rather than a stable organizational position.,Underlying speech/publication required before quotation.,person_statement_no_actorization,1,research_only,not_frontend_ready,no
W2E-H029,service_care,1998-03-31,1998-03-31,day,1998_2012,,国際福祉相談所→てぃるる相談室（功能交接）,closure_and_function_handoff,The office closed; an official chronology says a consultation function continued as a program of the Okinawa Women's Foundation.,Institutional termination with bounded functional continuation.,welfare/counseling administration,W2E-S001;W2E-S002;W2E-S003,official_retrospective,E4,ai_seeded,candidate,Functions can survive organizational closure through institutional handoff.,"People, records and responsibilities may have dispersed unevenly.",Do not encode successor identity or unchanged governance.,research_interface_closed_function_handoff_only,1,research_only,not_frontend_ready,no
W2E-H030,service_care,1999,1999,year,1998_2012,,Amer-Asian School and U.S. Marine units,direct_material_support_lead,A 2000 public-affairs compilation reports visits and school-material support after the consultation office closed.,A later military-side material/contact trace in a related welfare field.,school/community support,W2E-S006,official_public_affairs_retrospective,E2,ai_seeded,candidate,"A service interface remained, but not as proven institutional succession.",The story was selected for good-neighbor publicity and concerns a different institution.,"No funding edge, actor ID or continuity from the consultation office.",research_endpoint_lead,1,research_only,not_frontend_ready,no
