tracer_observation_id,observation_type,period_or_date,subject,value,unit,source_receipt_ids,evidence_status,dedupe_or_boundary,leg_layer,review_status
MT001,official_filing_metric,2022-12-31,total_revenue_usd,,USD,W2A2-SR003,research_only_explicit_gap,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.,LEG0,ai_seeded
MT002,official_filing_metric,2022-12-31,total_expenses_usd,,USD,W2A2-SR003,research_only_explicit_gap,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.,LEG0,ai_seeded
MT003,official_filing_metric,2022-12-31,grants_and_similar_paid_usd,,USD,W2A2-SR003,research_only_explicit_gap,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.,LEG0,ai_seeded
MT004,official_filing_metric,2022-12-31,net_assets_or_fund_balances_eoy_usd,,USD,W2A2-SR003,research_only_explicit_gap,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.,LEG0,ai_seeded
MT005,official_filing_metric,2023-12-31,total_revenue_usd,329563,USD,W2A2-SR001,research_only_official_filing_observation,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.,LEG0,ai_seeded
MT006,official_filing_metric,2023-12-31,total_expenses_usd,323742,USD,W2A2-SR001,research_only_official_filing_observation,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.,LEG0,ai_seeded
MT007,official_filing_metric,2023-12-31,grants_and_similar_paid_usd,125218,USD,W2A2-SR001,research_only_official_filing_observation,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.,LEG0,ai_seeded
MT008,official_filing_metric,2023-12-31,net_assets_or_fund_balances_eoy_usd,169916,USD,W2A2-SR001,research_only_official_filing_observation,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.,LEG0,ai_seeded
MT009,official_filing_metric,2024-12-31,total_revenue_usd,308545,USD,W2A2-SR002,research_only_official_filing_observation,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.,LEG0,ai_seeded
MT010,official_filing_metric,2024-12-31,total_expenses_usd,313553,USD,W2A2-SR002,research_only_official_filing_observation,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.,LEG0,ai_seeded
MT011,official_filing_metric,2024-12-31,grants_and_similar_paid_usd,92102,USD,W2A2-SR002,research_only_official_filing_observation,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.,LEG0,ai_seeded
MT012,official_filing_metric,2024-12-31,net_assets_or_fund_balances_eoy_usd,160538,USD,W2A2-SR002,research_only_official_filing_observation,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.,LEG0,ai_seeded
MT013,cash_grant,2023-12-31,AMERICAN WELFARE AND WORKS ASSOCIATION,41183,USD,W2A2-SR001,research_only_official_filing_candidate,component_of_grant_line_total,LEG0,ai_seeded
MT014,cash_grant,2024-12-31,AMERICAN WELFARE AND WORKS ASSOCIATION,19669,USD,W2A2-SR002,research_only_official_filing_candidate,component_of_grant_line_total,LEG0,ai_seeded
MT015,cash_and_or_in_kind_aggregate,2023-12-31,American and Japanese recipients (aggregate),126000,USD,W2A2-SR018,research_only_narrative_observation,overlap_with_MTS_2023_grant_line_do_not_add,LEG0,ai_seeded
MT016,donation_via_intermediary,2024-02-22,"Lions Clubs International, Okinawa intermediary",10000,USD,W2A2-SR018;W2A2-SR019,research_only_narrative_observation,possible_component_of_MTS_2024_unitemized_grant_remainder,LEG0,ai_seeded
MT017,grant_aggregate,2023-12-31,organizations in and around Okinawa (self-page aggregate),110000,USD,W2A2-SR016,research_only_narrative_observation,definition_conflict_with_DVIDS_126k_do_not_choose_or_add,LEG0,ai_seeded
MT018,current_board_snapshot,observed 2026-08-22,current officers and board roster,,,W2A2-SR017,organization_self_page_snapshot,Observation date is not a filing term and does not replace Part VII.,LEG0,ai_seeded
