change_note_id,change_type,trigger,revised_treatment,impact_on_results,requires_principal_decision,status,date
W2A-CN001,official_source_upgrade,MTS third-party IRS display,Two official IRS bulk XML filings replace the display for FY2023/FY2024 amounts; FY2022 remains index-only.,No third-party amount is promoted.,no,applied_research_only,2026-08-22
W2A-CN002,coverage_boundary,five organizations × three periods,Keep 14/15 official XML slots and one AWWA index-only gap; do not fill from third-party values.,Trend claims for AWWA remain two-period.,no,applied_research_only,2026-08-22
W2A-CN003,identity_transaction_split,English recipient descriptor resembled a Japanese entity,"Record identity candidate, recipient-side acknowledgment and exact amount/period closure as separate fields.",Six candidates located; three acknowledgments; zero exact row closures.,yes,applied_research_only,2026-08-22
W2A-CN004,dedupe_rule,MTS self/DVIDS/IRS totals differ,Retain each source-bounded observation and prohibit addition or silent selection.,No synthetic MTS annual total is produced.,no,applied_research_only,2026-08-22
W2A-CN005,channel_overlap,MTS 2024 Lions donation may sit inside an IRS residual,Keep the dated route as a narrative candidate and mark possible overlap.,The USD 10k is not added on top of the IRS grant line.,no,applied_research_only,2026-08-22
W2A-CN006,person_identity,exact and near-name repetitions,Create string keys only and route cross-actor/near-name candidates to principal review.,No confirmed person bridge is produced.,yes,applied_research_only,2026-08-22
W2A-CN007,missing_semantics,MOSCO FY2025 grants element absent,"Keep blank and separate the USD 7,500 program expense description from payment semantics.",No MOSCO→AWWA cash flow is produced.,no,applied_research_only,2026-08-22
W2A-CN008,standing_defer,"KOSC USD 2,580 sits in an individual-assistance group",Carry the principal's defer; include only as a held filing component for reconciliation.,It closes arithmetic but creates no organization relation.,no,applied_research_only,2026-08-22
W2A-CN009,period_alignment,inbound and outbound filings use unlike tax periods,Show dated steps without earmarking or annual aggregation.,Five inbound observations cannot be summed as one annual AWWA inflow.,no,applied_research_only,2026-08-22
W2A-CN010,failed_fetch,Ishigaki municipal PDF URL returned HTML,Retain the artifact hash as a failed retrieval receipt but do not use it for identity evidence.,Himawari identity relies on the operator newsletter in this package.,no,applied_research_only,2026-08-22
