flow_observation_id,provider_case,source_actor_id,source_actor_name,target_id,target_name,target_kind,period_start,period_end,event_date,amount,currency,amount_semantics,resource_type,purpose,reporting_layer,reconciliation_component,dedupe_group_id,dedupe_status,included_as_relation_candidate,endpoint_identity_status,transaction_closure,source_receipt_ids,source_anchor_ids,exact_locator,evidence_level,review_status,fact_status,leg_layer,allowed_claim,prohibited_inference
RF001,AWWA,X004,American Welfare & Works Association (AWWA),AGG_JAPAN_ORGS,Japanese organizations,recipient_bucket,2022-06-01,2023-05-31,,91838,USD,filing_reported_aggregate_bucket,cash_grant_bucket,AWWA Schedule O grant bucket,aggregate_bucket,yes,AWWA-2023-05-31-GRANTS,component_of_grant_line_total,no,aggregate_not_actor,bucket_only,W2A-SR001,W2A-A066,"XML local-name XPath /Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail[FormAndLineReferenceDesc='Part I, line 10']/ExplanationTxt",official_irs_xml,ai_seeded,research_only_official_filing_bucket,LEG0,"AWWA reports USD 91,838 in this named allocation bucket for this tax period.",Do not actorize this bucket or add named rows to it; named rows are a subset.
RF002,AWWA,X004,American Welfare & Works Association (AWWA),AGG_BASE_ORGS,U.S.-military-base-affiliated organizations,recipient_bucket,2022-06-01,2023-05-31,,33320,USD,filing_reported_aggregate_bucket,cash_grant_bucket,AWWA Schedule O grant bucket,aggregate_bucket,yes,AWWA-2023-05-31-GRANTS,component_of_grant_line_total,no,aggregate_not_actor,bucket_only,W2A-SR001,W2A-A067,"XML local-name XPath /Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail[FormAndLineReferenceDesc='Part I, line 10']/ExplanationTxt",official_irs_xml,ai_seeded,research_only_official_filing_bucket,LEG0,"AWWA reports USD 33,320 in this named allocation bucket for this tax period.",Do not actorize this bucket or add named rows to it; named rows are a subset.
RF003,AWWA,X004,American Welfare & Works Association (AWWA),AGG_JAPAN_ORGS,Japanese organizations,recipient_bucket,2023-06-01,2024-05-31,,64077,USD,filing_reported_aggregate_bucket,cash_grant_bucket,AWWA Schedule O grant bucket,aggregate_bucket,yes,AWWA-2024-05-31-GRANTS,component_of_grant_line_total,no,aggregate_not_actor,bucket_only,W2A-SR002,W2A-A068,"XML local-name XPath /Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail[FormAndLineReferenceDesc='Part I, line 10']/ExplanationTxt",official_irs_xml,ai_seeded,research_only_official_filing_bucket,LEG0,"AWWA reports USD 64,077 in this named allocation bucket for this tax period.",Do not actorize this bucket or add named rows to it; named rows are a subset.
RF004,AWWA,X004,American Welfare & Works Association (AWWA),AGG_BASE_ORGS,U.S.-military-base-affiliated organizations,recipient_bucket,2023-06-01,2024-05-31,,30812,USD,filing_reported_aggregate_bucket,cash_grant_bucket,AWWA Schedule O grant bucket,aggregate_bucket,yes,AWWA-2024-05-31-GRANTS,component_of_grant_line_total,no,aggregate_not_actor,bucket_only,W2A-SR002,W2A-A069,"XML local-name XPath /Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail[FormAndLineReferenceDesc='Part I, line 10']/ExplanationTxt",official_irs_xml,ai_seeded,research_only_official_filing_bucket,LEG0,"AWWA reports USD 30,812 in this named allocation bucket for this tax period.",Do not actorize this bucket or add named rows to it; named rows are a subset.
RF005,AWWA,X004,American Welfare & Works Association (AWWA),RECIP_DESC_A070,Children Kana-san Okinawa,filing_recipient_descriptor,2022-06-01,2023-05-31,,15287,USD,filing_reported_named_program_service_amount,cash_grant_candidate,filing program-service recipient description,named_subcomponent_of_japan_bucket,no,AWWA-2023-05-31-JAPAN,subset_of_japanese_organizations_bucket,yes_pending_identity_review,descriptor_crosswalk_pending_principal,provider_filing_only,W2A-SR001,W2A-A070,XML local-name XPath /Return/ReturnData/IRS990EZ/ProgramSrvcAccomplishmentGrp[1]/DescriptionProgramSrvcAccomTxt + GrantsAndAllocationsAmt,official_irs_xml,ai_seeded,research_only_recipient_candidate,LEG0,"The filing pairs the descriptor 'Children Kana-san Okinawa' with USD 15,287 for this tax period.",The English descriptor is not yet an approved Japanese legal entity crosswalk; no recipient-side amount/period closure is implied.
RF006,AWWA,X004,American Welfare & Works Association (AWWA),RECIP_DESC_A071,Okinawa Nanbu Rehabilitation and Medical Center,filing_recipient_descriptor,2022-06-01,2023-05-31,,14870,USD,filing_reported_named_program_service_amount,cash_grant_candidate,filing program-service recipient description,named_subcomponent_of_japan_bucket,no,AWWA-2023-05-31-JAPAN,subset_of_japanese_organizations_bucket,yes_pending_identity_review,descriptor_crosswalk_pending_principal,provider_filing_only,W2A-SR001,W2A-A071,XML local-name XPath /Return/ReturnData/IRS990EZ/ProgramSrvcAccomplishmentGrp[2]/DescriptionProgramSrvcAccomTxt + GrantsAndAllocationsAmt,official_irs_xml,ai_seeded,research_only_recipient_candidate,LEG0,"The filing pairs the descriptor 'Okinawa Nanbu Rehabilitation and Medical Center' with USD 14,870 for this tax period.",The English descriptor is not yet an approved Japanese legal entity crosswalk; no recipient-side amount/period closure is implied.
RF007,AWWA,X004,American Welfare & Works Association (AWWA),RECIP_DESC_A072,NPO ARU,filing_recipient_descriptor,2022-06-01,2023-05-31,,13986,USD,filing_reported_named_program_service_amount,cash_grant_candidate,filing program-service recipient description,named_subcomponent_of_japan_bucket,no,AWWA-2023-05-31-JAPAN,subset_of_japanese_organizations_bucket,yes_pending_identity_review,descriptor_crosswalk_pending_principal,provider_filing_only,W2A-SR001,W2A-A072,XML local-name XPath /Return/ReturnData/IRS990EZ/ProgramSrvcAccomplishmentGrp[3]/DescriptionProgramSrvcAccomTxt + GrantsAndAllocationsAmt,official_irs_xml,ai_seeded,research_only_recipient_candidate,LEG0,"The filing pairs the descriptor 'NPO ARU' with USD 13,986 for this tax period.",The English descriptor is not yet an approved Japanese legal entity crosswalk; no recipient-side amount/period closure is implied.
RF008,AWWA,X004,American Welfare & Works Association (AWWA),RECIP_DESC_A073,Ambitious,filing_recipient_descriptor,2023-06-01,2024-05-31,,13423,USD,filing_reported_named_program_service_amount,cash_grant_candidate,filing program-service recipient description,named_subcomponent_of_japan_bucket,no,AWWA-2024-05-31-JAPAN,subset_of_japanese_organizations_bucket,yes_pending_identity_review,descriptor_crosswalk_pending_principal,provider_filing_only,W2A-SR002,W2A-A073,XML local-name XPath /Return/ReturnData/IRS990EZ/ProgramSrvcAccomplishmentGrp[1]/DescriptionProgramSrvcAccomTxt + GrantsAndAllocationsAmt,official_irs_xml,ai_seeded,research_only_recipient_candidate,LEG0,"The filing pairs the descriptor 'Ambitious' with USD 13,423 for this tax period.",The English descriptor is not yet an approved Japanese legal entity crosswalk; no recipient-side amount/period closure is implied.
RF009,AWWA,X004,American Welfare & Works Association (AWWA),RECIP_DESC_A074,Himawari Day Care on Ishigaki Island,filing_recipient_descriptor,2023-06-01,2024-05-31,,13378,USD,filing_reported_named_program_service_amount,cash_grant_candidate,filing program-service recipient description,named_subcomponent_of_japan_bucket,no,AWWA-2024-05-31-JAPAN,subset_of_japanese_organizations_bucket,yes_pending_identity_review,descriptor_crosswalk_pending_principal,provider_filing_only,W2A-SR002,W2A-A074,XML local-name XPath /Return/ReturnData/IRS990EZ/ProgramSrvcAccomplishmentGrp[2]/DescriptionProgramSrvcAccomTxt + GrantsAndAllocationsAmt,official_irs_xml,ai_seeded,research_only_recipient_candidate,LEG0,"The filing pairs the descriptor 'Himawari Day Care on Ishigaki Island' with USD 13,378 for this tax period.",The English descriptor is not yet an approved Japanese legal entity crosswalk; no recipient-side amount/period closure is implied.
RF010,AWWA,X004,American Welfare & Works Association (AWWA),RECIP_DESC_A075,Okinawa Southern Medical Center,filing_recipient_descriptor,2023-06-01,2024-05-31,,13072,USD,filing_reported_named_program_service_amount,cash_grant_candidate,filing program-service recipient description,named_subcomponent_of_japan_bucket,no,AWWA-2024-05-31-JAPAN,subset_of_japanese_organizations_bucket,yes_pending_identity_review,descriptor_crosswalk_pending_principal,provider_filing_only,W2A-SR002,W2A-A075,XML local-name XPath /Return/ReturnData/IRS990EZ/ProgramSrvcAccomplishmentGrp[3]/DescriptionProgramSrvcAccomTxt + GrantsAndAllocationsAmt,official_irs_xml,ai_seeded,research_only_recipient_candidate,LEG0,"The filing pairs the descriptor 'Okinawa Southern Medical Center' with USD 13,072 for this tax period.",The English descriptor is not yet an approved Japanese legal entity crosswalk; no recipient-side amount/period closure is implied.
