candidate_id,actor_id,source_refs,merge_scope,human_review_task
C001,A087,S103,identity_only_ai_seeded,HR-010
C002,A088,S104,identity_only_ai_seeded,HR-010
C003,A089,S105,identity_only_ai_seeded,HR-010
C004,A090,S106,identity_only_ai_seeded,HR-010
C005,A091,S107;S108,identity_only_ai_seeded,HR-010
C006,A092,S109,identity_only_ai_seeded,HR-010
C007,A093,S110,identity_only_ai_seeded,HR-010
C008,A094,S111,identity_only_ai_seeded,HR-010
C013,A095,S112;S113,identity_only_ai_seeded,HR-010
C014,A096,S112,identity_only_ai_seeded,HR-010
C016,A097,S114,identity_only_ai_seeded,HR-010
C017,A098,S115,identity_only_ai_seeded,HR-010
C018,A099,S116;S117,identity_only_ai_seeded,HR-010
C019,A100,S118;S119,identity_only_ai_seeded,HR-010
C020,A101,S120,identity_only_ai_seeded,HR-010
C021,A102,S121,identity_only_ai_seeded,HR-010
C022,A103,S122;S123,identity_only_ai_seeded,HR-010
C024,A104,S124,identity_only_ai_seeded,HR-010
C025,A105,S125,identity_only_ai_seeded,HR-010
C035,A106,S126;S127,identity_only_ai_seeded,HR-010
