matrix_row_id,fact_observation_id,entry_domain,entry_mode,entry_actor_id,entry_actor_name,origin_type,local_object,event_or_project,venue_or_entry_point,target,place,role,evidence_level,source_refs,review_status,directionality,political_stance_boundary,interpretation_limit
R11M001,OBS_AEV0002,advocacy,advocacy_joint_statement,A005,WWFジャパン,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,WWF Japan 67-group Henoko / dugong statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S003,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M002,OBS_AEV0003,advocacy,advocacy_joint_statement,A006,グリーンピース・ジャパン,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,WWF Japan 67-group Henoko / dugong statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S003,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M003,OBS_AEV0004,advocacy,advocacy_joint_statement,A061,日本野鳥の会,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,WWF Japan 67-group Henoko / dugong statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S003,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M004,OBS_AEV0005,advocacy,advocacy_joint_statement,A062,日本湿地ネットワーク（JAWAN）,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,WWF Japan 67-group Henoko / dugong statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S003,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M005,OBS_AEV0006,advocacy,advocacy_joint_statement,A004,日本自然保護協会,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M006,OBS_AEV0007,advocacy,advocacy_joint_statement,A021,国際環境NGO FoE Japan,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M007,OBS_AEV0008,advocacy,advocacy_joint_statement,A022,NPO法人 ラムサール・ネットワーク日本,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M008,OBS_AEV0012,advocacy,advocacy_joint_statement,A026,ピース・ニュース,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M009,OBS_AEV0013,advocacy,advocacy_joint_statement,A027,公共事業改革市民会議,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M010,OBS_AEV0014,advocacy,advocacy_joint_statement,A028,沖縄のための日米市民ネットワーク（JUCON）,mixed_or_network,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M011,OBS_AEV0016,advocacy,advocacy_joint_statement,A030,市川三番瀬を守る会,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M012,OBS_AEV0017,advocacy,advocacy_joint_statement,A031,三番瀬のラムサール条約登録を実現する会,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M013,OBS_AEV0018,advocacy,advocacy_joint_statement,A032,Peace Philosophy Centre,international,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M014,OBS_AEV0019,advocacy,advocacy_joint_statement,A033,Friends of the Earth U.S.,us_origin,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M015,OBS_AEV0020,advocacy,advocacy_joint_statement,A034,Korea Federation for Environmental Movements (KFEM),international,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M016,OBS_AEV0021,advocacy,advocacy_joint_statement,A035,Russian Social Ecological Union,international,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M017,OBS_AEV0022,advocacy,advocacy_joint_statement,A036,Friends of the Siberian Forests,international,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M018,OBS_AEV0023,advocacy,advocacy_joint_statement,A037,Centre for Environmental Justice,international,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M019,OBS_AEV0024,advocacy,advocacy_joint_statement,A038,Sahabat Alam Malaysia,international,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M020,OBS_AEV0025,advocacy,advocacy_joint_statement,A039,The Legal Rights and Natural Resources Center-Kasama sa Kalikasan,international,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M021,OBS_AEV0026,advocacy,advocacy_joint_statement,A040,Forum for Protection of Public Interest (Pro Public),international,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M022,OBS_AEV0027,advocacy,advocacy_joint_statement,A041,Friends of the Earth Brisbane,international,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M023,OBS_AEV0028,advocacy,advocacy_joint_statement,A042,Pacific Environment,us_origin,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M024,OBS_AEV0029,advocacy,advocacy_joint_statement,A043,PENGON-FoE Palestine,international,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M025,OBS_AEV0030,advocacy,advocacy_joint_statement,A044,Naturvernforbundet / Norwegian Society for the Conservation of Nature,international,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M026,OBS_AEV0031,advocacy,advocacy_joint_statement,A045,Center for Biological Diversity,us_origin,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M027,OBS_AEV0032,advocacy,advocacy_joint_statement,A046,Pro Natura,international,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M028,OBS_AEV0033,advocacy,advocacy_joint_statement,A061,日本野鳥の会,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,NACSJ / Peace Boat 31-NGO emergency Henoko statement,public_statement_forum,Henoko base construction plan,Henoko; Oura Bay,co_signer_or_participant,E4,S004,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M029,OBS_AEV0034,advocacy,international_institution_request,A001,Okinawa Environmental Justice Project,mixed_or_network,Henoko/Oura Bay base-construction and dugong issue,OEJP / MMC civil-society request and report,us_federal_advisory_or_scientific_body,U.S. Marine Mammal Commission,Henoko; Oura Bay,co_signer_or_participant,E4,S006,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M030,OBS_AEV0035,advocacy,international_institution_request,A020,日本環境法律家連盟（JELF）,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,OEJP / MMC civil-society request and report,us_federal_advisory_or_scientific_body,U.S. Marine Mammal Commission,Henoko; Oura Bay,co_signer_or_participant,E4,S006,human_checked,observed role/relation only; no causal direction beyond source,event_or_case_specific_only,"co-signing is one-off event participation, not stable alliance"
R11M031,OBS_R8R001,legal,international_legal,A045,Center for Biological Diversity,us_origin,Henoko/Oura Bay base-construction and dugong issue,Okinawa Dugong v. Rumsfeld / Center for Biological Diversity v. Esper,us_federal_court,U.S. Department of Defense,Henoko; Oura Bay,plaintiff,E4,S128;S129,human_checked,observed role/relation only; no causal direction beyond source,case_specific_legal_role_only,Party role is case-specific and does not by itself prove a stable alliance.
R11M032,OBS_R8R002,legal,international_legal,A086,Turtle Island Restoration Network,us_origin,Henoko/Oura Bay base-construction and dugong issue,Okinawa Dugong v. Rumsfeld / Center for Biological Diversity v. Esper,us_federal_court,U.S. Department of Defense,Henoko; Oura Bay,plaintiff,E4,S128,human_checked,observed role/relation only; no causal direction beyond source,case_specific_legal_role_only,Party role is case-specific.
R11M033,OBS_R8R003,legal,international_legal,A020,日本環境法律家連盟（JELF）,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,Okinawa Dugong v. Rumsfeld / Center for Biological Diversity v. Esper,us_federal_court,U.S. Department of Defense,Henoko; Oura Bay,plaintiff,E4,S128;S062,human_checked,observed role/relation only; no causal direction beyond source,case_specific_legal_role_only,"HR-014: A020 is a named plaintiff in this Dugong case, not counsel. This case-specific plaintiff role does not transfer to Awase or other litigation."
R11M034,OBS_R8R005,legal,international_legal,A009,Earthjustice,us_origin,Henoko/Oura Bay base-construction and dugong issue,Okinawa Dugong v. Rumsfeld / Center for Biological Diversity v. Esper,us_federal_court,U.S. Department of Defense,Henoko; Oura Bay,counsel,E4,S062,human_checked,observed role/relation only; no causal direction beyond source,case_specific_legal_role_only,HR-014: Earthjustice is counsel in this case and is not a named plaintiff.
