candidate_id,place_id,current_place_name,proposed_canonical_name,current_place_type,proposed_place_type,current_region_label,proposed_parent_place_id,proposed_aliases,actor_place_edge_count,requires_human_review,hr_item_id,reason,interpretation_limit
SF0408,P001,Okinawa Prefecture,Okinawa Prefecture,prefecture,prefecture,Okinawa,,Okinawa Prefecture;Okinawa;沖縄県,40,no,,Project-wide container; not an event site.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0409,P002,Henoko,Henoko,site,site,Nago,P017,Henoko;辺野古,45,no,,Conflict locality nested under Nago for Phase-1 hierarchy.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0410,P003,Oura Bay,Oura Bay,site,site,Nago,P017,Oura Bay;Ōura Bay;大浦湾,6,no,,Marine conflict site nested under Nago for Phase-1 hierarchy.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0411,P004,Futenma,Futenma,base_site,site,Ginowan,P018,Futenma;普天間,2,yes,HR029-020,"Must denote the Futenma issue/locality layer, not duplicate MCAS Futenma P010.","Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0412,P005,Kadena,Kadena Air Base,base_site,base_site,Kadena/Chatan/Okinawa City,P001,Kadena;Kadena Air Base;嘉手納基地,4,yes,HR029-021,Current name Kadena can mean municipality or air base; current notes indicate the base.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0413,P006,Camp Schwab,Camp Schwab,base_site,base_site,Nago/Henoko,P017,Camp Schwab;キャンプ・シュワブ,1,no,,Military installation nested under Nago.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0414,P007,Camp Foster,Camp Foster,base_site,base_site,Central Okinawa,P001,Camp Foster;キャンプ・フォスター,4,no,,Installation spans the central-island field; prefecture is the safe parent.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0415,P008,Camp Hansen,Camp Hansen,base_site,base_site,Central/Northern Okinawa,P001,Camp Hansen;キャンプ・ハンセン,1,no,,Installation spans multiple local areas; prefecture is the safe parent.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0416,P009,Camp Kinser,Camp Kinser,base_site,base_site,Urasoe,P001,Camp Kinser;キャンプ・キンザー,1,no,,Urasoe is not a current place node; prefecture is the available parent.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0417,P010,MCAS Futenma,MCAS Futenma,base_site,base_site,Ginowan,P018,MCAS Futenma;Marine Corps Air Station Futenma;普天間飛行場,1,no,,Physical installation distinct from P004 Futenma issue/locality layer.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0418,P011,Yonaguni,Yonaguni Town,municipality,municipality,Sakishima,P001,Yonaguni;Yonaguni Town;与那国町;与那国島,6,yes,HR029-022,"Town, island and shorthand labels must remain queryable but not silently treated as identical spatial levels.","Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0419,P012,Ishigaki,Ishigaki City,municipality,municipality,Sakishima,P001,Ishigaki;Ishigaki City;石垣市;石垣島,4,yes,HR029-023,City and island labels overlap in sources and need an explicit alias-scope decision.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0420,P013,Miyako,Miyakojima City,municipality,municipality,Sakishima,P001,Miyako;Miyakojima City;宮古島市;宮古島,4,yes,HR029-024,"Miyako can denote city, island or regional field; the current row is typed municipality.","Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0421,P014,JICA Okinawa,JICA Okinawa,institutional_site,institutional_site,Urasoe/Okinawa,P001,JICA Okinawa;JICA Okinawa Center;JICA沖縄;沖縄国際センター,2,no,,Institutional facility; Urasoe is not a current parent node.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0422,P015,U.S. Consulate General Naha,U.S. Consulate General Naha,institutional_site,institutional_site,Naha,P020,U.S. Consulate General Naha;在沖米国総領事館,1,no,,Institutional facility nested under Naha.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0423,P016,Takae,Takae,site,site,Northern Okinawa / Yanbaru,P001,Takae;高江,1,no,,Local site; Higashi municipality is not a current parent node.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0424,P017,Nago,Nago,municipality,municipality,Northern Okinawa,P001,Nago;Nago City;名護市,1,no,,Municipality under Okinawa Prefecture.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0425,P018,Ginowan,Ginowan,municipality,municipality,Central Okinawa,P001,Ginowan;Ginowan City;宜野湾市,5,no,,Municipality under Okinawa Prefecture.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0426,P019,Awase,Awase,site,site,Okinawa City,P001,Awase;泡瀬;泡瀬干潟,1,no,,Conflict site; Okinawa City is not a current parent node.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0427,P020,Naha,Naha,municipality,municipality,Southern Okinawa,P001,Naha;Naha City;那覇市,4,no,,Municipality and prefectural capital.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
SF0428,P021,Sakishima Islands,Sakishima Islands,region,region,Okinawa,P001,Sakishima Islands;先島諸島;先島,1,no,,HR-025-approved regional node for sources explicitly naming Sakishima as a whole; never fan out to P011/P012/P013.,"Hierarchy is an analytical containment proposal, not proof of jurisdiction or identical spatial extent."
