"source_key","title","source_type","url","date_or_period","supports","source_limit","package_scope","frontend_eligibility"
"H2P-S01","Marine Thrift Shop Grants","organization_first_party","https://marinethriftshopokinawa.org/grants/","current_page_observed_2026-07-20","MTS grant procedure; AWWA membership/contribution wording; recent recipient/project labels; 2023 self-reported aggregate","Recent labels lack dates, row amounts and stable endpoint semantics; duplicate labels are preserved.","research_only","excluded_research_only"
"H2P-S02","Marine Thrift Shop Form 990 and Schedule I display","irs_derived_filing_interface","https://philanthropy.org/990/report/383924106/marine-thrift-shop","FY2021-FY2024","Named grant rows and amounts transcribed from IRS filings","Third-party display of IRS data; original filing links remain the authoritative audit target.","research_only","excluded_research_only"
"H2P-S03","Marine Thrift Shop donates $10,000","official_military_public_affairs","https://www.dvidshub.net/news/465683/marine-thrift-shop-donates-10000-support-okinawa-childrens-hospitals","2024-02-22","Direct MTS to Lions donation; AWWA normally decides recipient eligibility; exceptional bypass via G-7 and Lions conduit; 2023 aggregates","Official public-affairs account; its strategic/community framing is not independent evaluation and does not prove political intent.","research_only","excluded_research_only"
"H2P-S04","Okinawa International Women's Club welfare page","organization_first_party","https://oiwc.weebly.com/welfare.html","2015-2016_to_2023-2024","Named public recipient rosters, requested items and annual totals","The page skips years, contains spelling variants and at least one suspected duplicate; it is not a complete annual ledger.","research_only","excluded_research_only"
"H2P-S05","OIWC 2024-2025 charitable donation application guide","organization_first_party_pdf","https://oiwc.weebly.com/uploads/2/1/6/5/21657192/%E5%AF%84%E4%BB%98%E9%87%91%E7%94%B3%E8%AB%8B%E6%A1%88%E5%86%85_-2024.pdf","2024-2025","1953 formation statement; eligibility; in-kind grant process; prior-year 18-recipient statement","The prior-year count conflicts with 13 names visible on the welfare page; no automatic completeness assumption.","research_only","excluded_research_only"
"H2P-S06","OIWC mission and current membership pages","organization_first_party","https://oiwcoki.wixsite.com/oiwc;https://oiwc.weebly.com/membership.html","current_pages_observed_2026-07-20","Open island-wide women's membership; international friendship and welfare mission; 65-plus-year continuity claim","Current self-description does not establish every historical membership category or exact legal continuity.","research_only","excluded_research_only"
"H2P-S07","Okinawa Prefectural Archives OIWC and women's-club photographs","official_archive_catalog","https://www2.archives.pref.okinawa.jp/opa/OPA600_RESULT_BUNSYO.aspx?cont_cd=A000022655&keyword_hit=&lang=jp&src_keyword=;https://www2.archives.pref.okinawa.jp/opa/SearchPics.aspx?cont_cd=A000022653","1963-1971","Named Okinawan and American OIWC participants; welfare bazaar; 1971 Ryukyuan-American Welfare Council and nine affiliated clubs","USCAR-origin captions document events and named roles but reflect an official-publicity archive; event participation is not genealogy proof.","research_only","excluded_research_only"
"H2P-S08","American Women's Welfare Association community history","contributed_community_history","https://okinawahai.com/american-womens-welfare-association/amp/","published_around_2010","1952 Ryukyu American Welfare Council and 1972 AWWA reorganization narrative; member and shop mechanism","Contributed article is not a charter or legal history; predecessor/successor identity requires independent human review.","research_only","excluded_research_only"
"H2P-S09","International Welfare Consultation Office records guide","official_archive_collection_guide","https://www.archives.pref.okinawa.jp/okinawa_related/10752","1958-1998_collection_history","Formation, renamings, closure, functions, 1979 proposal and archive holdings","The guide's statement that the proposal moved the state and led to the 1985 law change is an archive-curator retrospective causal claim, not causal identification.","research_only","excluded_research_only"
"H2P-S10","Noiri 2022 on mixed-race children surveys and support","peer_reviewed_or_academic_journal_pdf","https://www.jstage.jst.go.jp/article/sswj/19.20/0/19.20_35/_pdf/-char/ja","2022","Halfway Home, spouse-club funding of ISS Okinawa, local welfare professionalization, post-reversion institutional handoff and friction","Secondary synthesis drawing on commemorative histories; organization genealogy and funding chain need original records for central use.","research_only","excluded_research_only"
"H2P-S11","Oyakawa 2024 IMADR essay on Masayo Hirata","scholarly_public_history_essay","https://imadr.net/newsletter/no-217/p2/","2024","ISSO casework, 1979 proposal, policy demands, 1997 public base-responsibility statement and archival limits","Authorial reconstruction; quotations and organizational causality require checking underlying records before report-level certainty.","research_only","excluded_research_only"
"H2P-S12","Oyakawa 2026 International Welfare in Postwar Okinawa","academic_repository_article","https://okinawauniversity.repo.nii.ac.jp/records/2000204","2026","ISSO/ISAO and Chubu District Social Welfare Council women; multi-institutional care network; locally grounded international welfare","Directly prior scholarship: this package must not claim discovery of the welfare-rights link.","research_only","excluded_research_only"
"H2P-S13","Noiri 2016 Japanese-style multicultural society and Okinawa","peer_reviewed_article","https://www.jstage.jst.go.jp/article/iesj/44/0/44_47/_article/-char/ja/","2016","Prior framing of mixed-race children, base context and survey/problem construction","Establishes prior field; does not by itself map current service-recipient networks.","research_only","excluded_research_only"
"H2P-S14","Itokazu 2025 child poverty and base-maintenance policy","peer_reviewed_article","https://www.jstage.jst.go.jp/article/stad/6/0/6_81/_article","2025","Prior argument connecting Okinawa child-poverty NPO policy formation with the U.S. base issue","Competing macro interpretation; it does not establish that a named charity recipient supports base policy.","research_only","excluded_research_only"
"H2P-S15","FY2024 Okinawa Prefecture NPO collaboration source universe","official_source_universe_local_file","outputs/R10_official_collaboration_universe_v1/official_collaboration_source_universe_v1.csv","FY2024","616 official source rows used for bounded recipient-name crosswalk","Partner strings and machine labels are not registry actors; project cost is not actor payment.","research_only","excluded_research_only"
"H2P-S16","Clinton Presidential Records: USMC Good Neighbor Efforts on Okinawa","official_archival_government_compilation","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2008/2008-0703-F/42-t-7585792-20080703f-003-007-2014.pdf","compiled_2000-07_with_1992-2000_observations","Contemporaneous USMC compilation naming AWWA structure and aggregate Japanese-recipient totals; late-1999 Amer-Asian School visits and material donation","Internal/public-affairs compilation prepared to show good-neighbor activity; not independent evaluation. Unit, school and organization continuity require separate proof.","research_only","excluded_research_only"
"H2P-S17","H2 service-universe welfare interface candidate table","prior_research_package_local_file","outputs/research_wave_h2_service_universe_v1/welfare_interface_candidates_v1.csv","prior_wave_current_to_2026-07-20","Six bounded AWWA-to-local-welfare recipient observations and their source URLs","Candidate research observations only; H2WI003 already overlaps F029/HR018-24 and must not create a duplicate human-review task.","research_only","excluded_research_only"
