record_id,record_scope,event_id,event_name,event_year,actor_or_counterpart_id,actor_or_counterpart_name,entity_type,action_type,venue_id,target_type,target_id_or_name,role,pathway_stage,evidence_level,source_id,reviewer_status,interpretation_limit,notes
AEV0001,event,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A003,ジュゴンネットワーク沖縄,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,domestic_environmental_statement,E3,S003,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0002,event,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A005,WWFジャパン,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,domestic_environmental_statement,E4,S003,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0003,event,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A006,グリーンピース・ジャパン,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,domestic_environmental_statement,E4,S003,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0004,event,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A061,日本野鳥の会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,domestic_environmental_statement,E4,S003,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0005,event,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A062,日本湿地ネットワーク（JAWAN）,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,domestic_environmental_statement,E4,S003,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0006,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A004,日本自然保護協会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0007,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A021,国際環境NGO FoE Japan,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0008,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A022,NPO法人 ラムサール・ネットワーク日本,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0009,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A023,美ら海にもやんばるにも基地はいらない市民の会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0010,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A024,辺野古リレー,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0011,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A025,辺野古への基地建設を許さない実行委員会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
