comparison_id,dimension,MCIPAC_rule,Kadena_rule,comparison_result,allowed_interpretation,missing_scope,source_ids,package_scope,frontend_status,central_writeback
BGR-C01,private_legal_position,"NFE; not a federal agency; not a NAFI; private individuals operate/control internally","self-sustained group outside federal official capacity; functions separate from official military duties; local OI does not use full not-NAFI wording",same_core_boundary_different_local_wording,"Both regimes separate the PO from a government unit; quote each regime's exact formulation","named actor legal instruments",BGR-SR001;BGR-SR002,research_only,not_frontend_ready,no
BGR-C02,operating_authorization,"CG/DC written permission to operate on MCIPAC-MCBB facilities/areas","18 MSG written consent; authorization may be withdrawn",parallel_gatekeeping_different_chain,"Both create installation-specific operating permission through different command chains","named authorization letters and dates",BGR-SR001;BGR-SR002,research_only,not_frontend_ready,no
BGR-C03,internal_governance_boundary,"NFE is established, operated and controlled by individuals outside federal capacity","18 MSG supervision is limited to authorization/withdrawal and does not dictate internal activities or structure",Kadena_more_explicit,"Access authority and internal organization must be represented as separate layers","actor-specific bylaws or exceptional instruments",BGR-SR001;BGR-SR002,research_only,not_frontend_ready,no
BGR-C04,program_administration,"MCCS processes requests, maintains cognizance and may audit","18 FSS administers/monitors; FSR maintains electronic files and coordinates approval",parallel_administration_different_offices,"MCCS/FSS are administrative interfaces, not parent organizations","actual actor-specific monitoring and audit actions",BGR-SR001;BGR-SR002,research_only,not_frontend_ready,no
BGR-C05,compliance_records,"annual budget plus quarterly financial statement, minutes, checklist and contact list submitted to MCCS","electronic file includes bylaws, revalidation, quarterly bank/income-expense records, receipts, officers, minutes, insurance/audit/tax materials",both_create_recurring_record_streams,"The rules establish recurring governance/financial reporting beyond IRS filings","retention period, completeness, releaseability and named files",BGR-SR001;BGR-SR002,research_only,not_frontend_ready,no
BGR-C06,suspension_or_revocation,"probation, suspension and revocation for late reports or violations; repeated offenses can permanently revoke installation authorization","document failures trigger escalating suspension; the fourth occurrence is stated as 'Dissolution of the PO'; 18 MSG can withdraw authorization",parallel_sanctions_different_sequences,"Both tie compliance to installation governance, but Kadena additionally states fourth-occurrence 'Dissolution of the PO'; preserve that textual asymmetry","actual sanctions, procedural records, and the Kadena clause's legal effect outside installation recognition/status",BGR-SR001;BGR-SR002,research_only,not_frontend_ready,no
BGR-C07,facility_use,"continuous DoD space use requires real-estate license; occasional use separately authorized","event locations require facility-manager approval/building coordination; no general permanent-room/lease clause in the local OI",asymmetric_public_detail,"MCIPAC supports a general continuous-license rule; Kadena supports event approval only in this source","named rooms, leases, rents and permanent-space instruments",BGR-SR001;BGR-SR002,research_only,not_frontend_ready,no
BGR-C08,support_cost,"continuous-use utilities/materials/services and other costs are reimbursable; limited logistics is conditional; own equipment is the default","18 FSS equipment/services/support are assessed normal fees and charges",cost_recovery_visible_in_both,"Public rules support cost recovery/normal charges, not an assumption of free support","named fees, payments, waivers and transaction values",BGR-SR001;BGR-SR002,research_only,not_frontend_ready,no
BGR-C09,continuous_resale,"category exceptions include used-goods thrift shops and authorized gift shops","KOSC Gift Corner and Kadena Enlisted Spouses Club Thrift Store are expressly authorized",generic_exception_vs_named_authorization,"Resale permission is a distinct institutional position that can be modeled separately from money flows","current continuity, room/lease, revenue, exclusivity and X007 identity",BGR-SR001;BGR-SR002,research_only,not_frontend_ready,no
BGR-C10,government_finance_boundary,"POs are self-sustaining; no NAFI financial assistance; limited lawful support remains possible","POs are self-sustained; 18 FSS use is normally charged; the local OI does not enumerate all higher-level support exceptions",same_no_automatic_subsidy_different_detail,"Neither local rule supports coding command/MCCS/FSS as a funder of a named PO","actor-specific awards, appropriated-fund support or waived fees",BGR-SR001;BGR-SR002,research_only,not_frontend_ready,no
