event_id,participant_key,participant_no,source_name,canonical_name,actor_id,candidate_actor_id,identity_status,identity_review_status,origin_type,actor_class,action_type,role,relation_strength,target_institution,source_refs,source_locator,evidence_level,event_observation_status,hr020_queue_ids,interpretation_limit
EV2010_WWF_67,EV2010_WWF_67:P001,1,JUCON ネットワーク,沖縄のための日米市民ネットワーク（JUCON）,A028,,registry_actor,accepted_current_registry_match,mixed_or_network,international_advocacy_actor,joint_statement,listed_endorser,repeated_public_participation_2_events,Prime Minister; Minister of Defense; Minister for Foreign Affairs,S003,archived raw.html lines 437-439; h3 賛同団体 and following paragraph,E4,accepted_source_list_observation,,"Publicly listed participation in this event only; not evidence of a stable alliance, membership, funding, or continuing coordination."
EV2010_WWF_67,EV2010_WWF_67:P002,2,グリーンピース・ジャパン,グリーンピース・ジャパン,A006,,registry_actor,accepted_current_registry_match,japan_domestic,domestic_japan_ngo,joint_statement,listed_endorser,repeated_public_participation_2_events,Prime Minister; Minister of Defense; Minister for Foreign Affairs,S003,archived raw.html lines 437-439; h3 賛同団体 and following paragraph,E4,accepted_source_list_observation,,"Publicly listed participation in this event only; not evidence of a stable alliance, membership, funding, or continuing coordination."
EV2010_WWF_67,EV2010_WWF_67:P003,3,ピースボート,ピースボート,A007,,registry_actor,accepted_current_registry_match,japan_domestic,domestic_japan_ngo,joint_statement,listed_endorser,repeated_public_participation_2_events,Prime Minister; Minister of Defense; Minister for Foreign Affairs,S003,archived raw.html lines 437-439; h3 賛同団体 and following paragraph,E4,accepted_source_list_observation,,"Publicly listed participation in this event only; not evidence of a stable alliance, membership, funding, or continuing coordination."
EV2010_WWF_67,EV2010_WWF_67:P004,4,WWFジャパン,WWFジャパン,A005,,registry_actor,accepted_current_registry_match,japan_domestic,domestic_japan_ngo,joint_statement,listed_endorser,repeated_public_participation_2_events,Prime Minister; Minister of Defense; Minister for Foreign Affairs,S003,archived raw.html lines 437-439; h3 賛同団体 and following paragraph,E4,accepted_source_list_observation,,"Publicly listed participation in this event only; not evidence of a stable alliance, membership, funding, or continuing coordination."
EV2010_WWF_67,EV2010_WWF_67:P005,5,（財）日本自然保護協会,日本自然保護協会,A004,,registry_actor,accepted_current_registry_match,japan_domestic,domestic_japan_ngo,joint_statement,listed_endorser,repeated_public_participation_3_events,Prime Minister; Minister of Defense; Minister for Foreign Affairs,S003,archived raw.html lines 437-439; h3 賛同団体 and following paragraph,E4,accepted_source_list_observation,,"Publicly listed participation in this event only; not evidence of a stable alliance, membership, funding, or continuing coordination."
EV2010_WWF_67,EV2010_WWF_67:P006,6,（財）日本野鳥の会,日本野鳥の会,A061,,registry_actor,accepted_current_registry_match,japan_domestic,domestic_japan_ngo,joint_statement,listed_endorser,single_event_registry_participation,Prime Minister; Minister of Defense; Minister for Foreign Affairs,S003,archived raw.html lines 437-439; h3 賛同団体 and following paragraph,E4,accepted_source_list_observation,,"Publicly listed participation in this event only; not evidence of a stable alliance, membership, funding, or continuing coordination."
EV2010_WWF_67,EV2010_WWF_67:P007,7,沖縄環境ネットワーク,沖縄環境ネットワーク,A056,,registry_actor,accepted_current_registry_match,okinawa_local,citizen_network,joint_statement,listed_endorser,repeated_public_participation_2_events,Prime Minister; Minister of Defense; Minister for Foreign Affairs,S003,archived raw.html lines 437-439; h3 賛同団体 and following paragraph,E4,accepted_source_list_observation,,"Publicly listed participation in this event only; not evidence of a stable alliance, membership, funding, or continuing coordination."
EV2010_WWF_67,EV2010_WWF_67:P008,8,沖縄・生物多様性市民ネットワーク,沖縄・生物多様性市民ネットワーク,A029,,registry_actor,accepted_current_registry_match,okinawa_local,citizen_network,joint_statement,listed_endorser,repeated_public_participation_2_events,Prime Minister; Minister of Defense; Minister for Foreign Affairs,S003,archived raw.html lines 437-439; h3 賛同団体 and following paragraph,E4,accepted_source_list_observation,,"Publicly listed participation in this event only; not evidence of a stable alliance, membership, funding, or continuing coordination."
EV2010_WWF_67,EV2010_WWF_67:P009,9,高江「ヘリパッドいらない」住民の会,高江のヘリパッドいらない住民の会,A060,,registry_actor,accepted_current_registry_match,okinawa_local,citizen_group,joint_statement,listed_endorser,repeated_public_participation_2_events,Prime Minister; Minister of Defense; Minister for Foreign Affairs,S003,archived raw.html lines 437-439; h3 賛同団体 and following paragraph,E4,accepted_source_list_observation,,"Publicly listed participation in this event only; not evidence of a stable alliance, membership, funding, or continuing coordination."
EV2010_WWF_67,EV2010_WWF_67:P010,10,ヘリ基地いらない二見以北十区の会,,,,alias_pending,needs_human_review,okinawa_local,organization_or_group_unspecified,joint_statement,listed_endorser,pending_identity_not_scored,Prime Minister; Minister of Defense; Minister for Foreign Affairs,S003,archived raw.html lines 437-439; h3 賛同団体 and following paragraph,E4,accepted_source_list_observation,HR020-07,"Publicly listed participation in this event only; not evidence of a stable alliance, membership, funding, or continuing coordination."
