candidate_id,domain,object_id,object_name,field_name,current_value,proposed_value,candidate_disposition,affected_row_count,source_tables,reason,risk_if_wrong,requires_human_review,hr_item_id,machine_status,interpretation_limit
SF0001,actor_field,A001,Okinawa Environmental Justice Project,actor_class,international_advocacy_actor,international_advocacy_actor,freeze_as_is,1,01_actor_registry_initial_v0.csv,Freeze the analytical actor-class vocabulary while preserving actor-specific classification review.,A wrong class changes ecology counts and figure composition.,no,,freeze_candidate,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation."
SF0002,actor_field,A001,Okinawa Environmental Justice Project,legal_status_guess,informal_or_project,legal_form_unresolved,freeze_as_unresolved,1,01_actor_registry_initial_v0.csv,Move legal-form surface strings into controlled codes; unresolved codes do not assert法人格.,A wrong normalization could turn a guess into a false legal-status claim.,no,,freeze_candidate,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation."
SF0003,actor_field,A001,Okinawa Environmental Justice Project,origin_type,mixed_or_network,mixed_or_network,freeze_as_is,1,01_actor_registry_initial_v0.csv,All seven observed origin codes already form a closed controlled set.,A wrong origin changes local/mainland/international layer comparisons.,no,,freeze_candidate,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation."
SF0004,actor_field,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,actor_class,international_advocacy_actor,international_advocacy_actor,freeze_as_is,1,01_actor_registry_initial_v0.csv,Freeze the analytical actor-class vocabulary while preserving actor-specific classification review.,A wrong class changes ecology counts and figure composition.,no,,freeze_candidate,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation."
SF0005,actor_field,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,legal_status_guess,任意団体,informal_association,mechanical_normalize,1,01_actor_registry_initial_v0.csv,Move legal-form surface strings into controlled codes; unresolved codes do not assert法人格.,A wrong normalization could turn a guess into a false legal-status claim.,no,,freeze_candidate,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation."
SF0006,actor_field,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,origin_type,japan_domestic,japan_domestic,freeze_as_is,1,01_actor_registry_initial_v0.csv,All seven observed origin codes already form a closed controlled set.,A wrong origin changes local/mainland/international layer comparisons.,no,,freeze_candidate,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation."
SF0007,actor_field,A003,ジュゴンネットワーク沖縄,actor_class,local_civic_actor,local_civic_actor,freeze_as_is,1,01_actor_registry_initial_v0.csv,Freeze the analytical actor-class vocabulary while preserving actor-specific classification review.,A wrong class changes ecology counts and figure composition.,no,,freeze_candidate,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation."
SF0008,actor_field,A003,ジュゴンネットワーク沖縄,legal_status_guess,unclear,legal_form_unresolved,freeze_as_unresolved,1,01_actor_registry_initial_v0.csv,Move legal-form surface strings into controlled codes; unresolved codes do not assert法人格.,A wrong normalization could turn a guess into a false legal-status claim.,no,,freeze_candidate,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation."
SF0009,actor_field,A003,ジュゴンネットワーク沖縄,origin_type,okinawa_local,okinawa_local,freeze_as_is,1,01_actor_registry_initial_v0.csv,All seven observed origin codes already form a closed controlled set.,A wrong origin changes local/mainland/international layer comparisons.,no,,freeze_candidate,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation."
SF0010,actor_field,A004,日本自然保護協会,actor_class,domestic_japan_ngo,domestic_japan_ngo,freeze_as_is,1,01_actor_registry_initial_v0.csv,Freeze the analytical actor-class vocabulary while preserving actor-specific classification review.,A wrong class changes ecology counts and figure composition.,no,,freeze_candidate,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation."
